,AM1,B3LYP,DFTB,PM3,PM3MM,PM6,REFERENCE
4c1,1.241839767012304,0.15685327895523196,0.11324827573508232,0.3716466269381758,0.37498542392122475,4.6407347579351175,0.33039730211976004
2h1,,,,4.957281425377225,4.957281425377224,,
4h3,4.675569558999991,9.508427617900974,88.92492789900051,,,,10.869747763542707
2e,,,,4.2940440869999925,4.2940440869999925,,
4e,5.312105816888623,,90.00826154638818,3.678713750532998,3.678713750532998,5.755512548000008,
e3,,7.277849382030792,,,,,8.600000177347
2h3,,8.811823101839636,,,,,10.216414330324557
oe,,15.097239031049776,,,,,16.100000295527
oh5,6.723822465086329,15.348886510928978,90.99433119132371,,,6.931464414000001,16.345787567911703
e1,6.438431148185083,13.611498508146884,,7.1178345869999955,7.1178345869999955,,14.585321128754334
e5,5.950535748696541,13.608807394387643,90.89278548230459,3.574126915989292,3.574126915989292,3.5546773786667996,14.764253283894579
oh1,7.112187006000007,13.579293733761952,,5.535712640686326,5.377752129999997,7.238943823999994,14.643729336583466
1s3,3.0462493573603346,6.046573879409019,3.114972165943123,4.117492196170639,4.117492196170639,3.0342419779386343,5.949364415305224
b14,6.397611728581904,9.79111684056748,,3.327052718000001,3.327052718000001,,9.595422138794547
2so_0,1.2663842525462448,5.586195310356999,,1.690255050172313,1.690420560600753,1.6759080648198177,3.7686697707422757e-07
2so_1,1.2957990146261056,3.9899717640867927,2.635053671741801,1.3976241781446732,1.5609543006593949,2.022021539089106,3.89999981045
14b,4.884236048915337,9.874314587207557,88.43612246882202,3.778597893791586,3.7785978937915847,4.793348160017102,10.617861640018667
3ob,2.3242766589256965,8.084617829369284,2.5493877029503507,1.6020577064042543,1.6359794674404866,3.113441947548937,7.898309423632334
3s1_0,,8.48465259828352,2.7009154762717813,1.6600109512534038,1.683550971095227,,7.842367330621107
1s5_0,2.475358725727261,8.030175018053741,3.401736924671623,2.8295706931451843,2.8294427538398357,2.106381178403343,7.659109422510777
os2_0,4.638239064029893,10.447574869454927,2.733911818107466,3.603111841124473,3.621220102435116,,10.350297409777667
5s1,,7.674377012168897,3.797804922815258,2.6187764992835945,2.6184868721813244,8.80144123399999,8.262642314019912
3s1_1,5.211462245000004,9.915503527227179,4.244283875220514,3.3430020237193125,3.3430020237193125,8.979653789999993,0.0
25b,1.4759011680000131,7.524993972027572,3.43225878075725,1.427839452607047,1.44139698783323,,7.900000082648999
b25,4.641672247512773,11.185246553239653,,3.4618049728623492,2.958381631416166,3.984660169858933,11.536331134024648
os2_1,3.0420410338502846,9.432099023474255,2.9782172329156706,2.8576756684383375,2.774716121493189,4.555602954089697,8.477835432375258
1s5_1,2.9219849062380514,8.205182831190935,4.204432578450119,3.701120806907785,3.7011208069077854,4.421026366627105,7.900000082649
3h4,7.9091234360000024,13.114422095906082,90.67880641025978,,,,13.207033032120203
3h2,5.610187432386834,11.79041863944664,90.0270440289228,7.007217490927113,7.007217490927115,4.511669476341733,12.78330094952148
1h2,5.17131428092208,11.943282384756298,90.16573744321798,5.783339179980075,5.783339179980075,,12.098037334188108
5ho,5.180526014643534,14.300325485381244,89.8457687089495,5.165750383120509,5.165750383120509,,15.662653584435821
1e,,14.120637819456062,91.10758670913582,,,,14.467115854077658
eo,8.178952305999994,,,,,5.824538538000008,
3e,,,,,6.913266653,,
e4,,,,,,,
5e,5.302047503807507,11.507537088505385,89.79312230386819,4.663368272846092,4.663368272846092,1.822231172606417,12.116664198084854
e2,5.249740293999991,12.975631102055857,,5.864071604999995,5.901277341756955,3.2806170520000064,13.500000212724
5h4,,,,4.870918125646199,5.685231540000008,,
1c4_0,0.38909502915918126,7.23102294023389,0.4934020786864285,1.391064522906979,1.390323860084829,0.3647421871621749,0.0
1c4_1,0.7139521825709866,3.38653308092426,1.1926213895317814,3.2002713283669646,3.2285254185499457,1.2929638679581226,2.675420865983587
