method,REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.0,0.0006275089984156921,0.0012550179968313841,0.008785126013489446,0.0025100359936627683,0.0,0.004025638982161164,0.0,0.0,0.0,0.0
2so,5.200000165606,5.42544281399926,5.560984757978078,5.4166576880214405,5.197029538005232,5.434855449011166,3.1923473049044313,1.942767864000001,2.0707797000000006,2.0707797000000006,1.4828037670000003
1s3,5.200000165606,5.431090394985001,5.560357248979662,5.478153570008858,5.151848890012293,5.443013066026239,3.1952744972013747,1.942767864000001,2.070152191,2.0707797000000006,1.483431276
bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.4831173552381496
1s5,6.1999997630240005,6.037891597986776,6.236184441985511,6.228654334004522,5.720999553002116,6.1652759250218585,2.9025977250603194,2.0381492320000008,2.4485401179999995,2.4485401179999995,2.0023812190000005
5s1,6.1999997630240005,6.03726408898836,6.238066968980758,6.229281843002938,5.719744535005285,6.146450655033718,2.9047254273379144,2.0381492320000008,2.4485401179999995,2.4485401179999995,2.0023812190000005
3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.4837448642381499
os2,5.200000165606,5.428253137383158,5.560984757978078,5.45744577302547,5.1976570470036485,5.434855449011166,3.1927547079278833,1.942767864000001,2.072034718,2.072034718,1.4840587850000004
3s1,5.200000165606,5.431717903983418,5.56349479400741,5.478781079007273,5.146201308990882,5.444895593021487,3.1955854259585594,1.942767864000001,2.070152191,2.071407209000001,1.483431276
1c4,0.0,0.0,0.0,0.0,0.0,0.0,0.0046577189517281,0.0,0.0,0.0,0.0
