method,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,0.0,0.0
2h1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,0.0,0.0
e1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a,n/a,n/a
e5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a,n/a,n/a
e3,0.0,1.19216,0.79369,0.64999,0.70396,0.83072,3.57105,n/a,6.51595,6.5172,6.43374
oh5,0.0,0.55016,0.37352,0.0507,0.07642,0.60351,2.90554,n/a,n/a,n/a,n/a
oh1,0.0,0.55895,0.3798,0.02121,0.03808,0.61292,2.9093,n/a,n/a,n/a,n/a
bo3,0.0,0.06132,0.1495,0.05666,0.13416,0.07893,2.31411,3.64004,n/a,3.35578,3.70279
25b,0.0,0.52963,0.26106,0.22592,0.67835,0.40036,3.22311,4.498,4.09953,4.09953,4.38567
14b,0.0,0.53465,0.25791,0.16568,0.63882,0.39597,3.22635,4.498,4.09953,4.09953,4.38567
b14,0.0,0.53465,0.25917,0.16441,0.64509,0.39723,3.22698,4.498,4.09953,4.09953,4.38567
b25,0.0,0.52963,0.26357,0.21649,0.67333,0.3966,3.22635,4.498,4.09953,4.09953,4.38567
3ob,0.0,0.06132,0.1495,0.05788,0.13353,0.07893,2.316,3.64004,n/a,n/a,3.70279
1ho,0.0,0.55958,0.37917,0.02429,0.03808,0.61103,2.9134,n/a,n/a,n/a,n/a
5ho,0.0,0.54389,0.38231,0.03619,0.07765,0.60538,2.90867,n/a,n/a,n/a,n/a
3e,0.0,1.19216,0.79369,0.64999,0.70396,0.83072,3.57168,n/a,6.5172,6.5172,6.43374
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a,n/a,n/a
1e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a,n/a,n/a
1h2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,0.0,0.0
5h4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0,0.0,0.0
