method,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.0,0.0,0.0,0.00548,0.0,0.0,0.00316,0.0,0.0,0.0,0.0
2so,0.0,0.1833,0.2404,0.12304,0.13925,0.17765,1.91426,2.96617,2.55327,2.55327,n/a
1s3,0.0,0.18644,0.24166,0.14816,0.15745,0.18141,1.91258,2.96617,2.55327,2.55327,n/a
bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1s5,0.0,0.20261,0.04195,0.09279,0.60671,0.10597,3.47025,4.23748,3.52588,3.52526,4.32031
5s1,0.0,0.20261,0.04074,0.09214,0.60734,0.11162,3.46899,4.23748,3.52588,3.52588,4.32031
3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
os2,0.0,0.18424,0.2404,0.14629,0.13925,0.17703,1.91175,2.96617,2.55327,2.55327,n/a
3s1,0.0,0.18644,0.24228,0.14755,0.16056,0.18141,1.91227,2.96617,2.55327,2.55327,n/a
1c4,0.0,0.0,0.0,0.0,0.0,0.0,0.00316,0.0,0.0,0.0,0.0
