method,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
4c1,0.0,0.0012550179968313841,0.0012550179968313841,0.005647580985741229,0.0018825269952470762,0.0,0.002683673894476963,0.01745166463921101,0.0,0.0,0.0,0.0
2so,5.799999798555,5.983298315017601,6.040401634016108,5.923057450991346,5.660758689011531,5.97765073399619,3.8857447499045623,3.695897670262279,2.8338306439999994,3.2467315659999945,3.2467315659999945,n/a
1s3,5.799999798555,5.98643586000968,6.041656652012939,5.948157810999313,5.642560928021806,5.981415788022354,3.8874182549999685,3.67877001614509,2.8338306439999994,3.2467315659999945,3.2467315659999945,n/a
bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.865833603000001
1s5,6.899999857722,6.697403556998147,6.858045860984931,6.8072176320062505,6.293287761019688,6.794039943003852,3.429730041765289,3.3064139927046114,2.662520686999998,3.374115893,3.3747434020000004,2.5796894990000023
5s1,6.899999857722,6.697403556998147,6.859300879017432,6.807845141004666,6.292660252021272,6.78839236201811,3.4310001520430395,3.3030887886392226,2.662520686999998,3.374115893,3.374115893,2.5796894990000023
3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2.8661471912381513
os2,5.799999798555,5.9842354219783225,6.040401634016108,5.946275284004066,5.660758689011531,5.977023224997774,3.888239735321765,3.705022982912814,2.8338306439999994,3.2467315659999945,3.2467315659999945,n/a
3s1,5.799999798555,5.98643586000968,6.042284161011355,5.947530302000898,5.639423382994058,5.981415788022354,3.887731510978773,3.687156962448611,2.8338306439999994,3.2467315659999945,3.2467315659999945,n/a
1c4,0.0,0.0,0.0,0.0,0.0,0.0,0.0028661692710091773,0.016458055683623244,0.0,0.0,0.0,0.0
