method,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.924690632000001,4.924690632000001,4.405113180000003
2h1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.924690632000001,4.924690632000001,4.405113180000003
e1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.8675873130000005,n/a,n/a,n/a
e5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.8675873130000005,n/a,n/a,n/a
e3,10.900000129921,9.672423726013262,10.078422048986967,10.340093302004036,10.14493800299738,9.995590861017748,7.602581132962626,n/a,5.126748530000002,5.126748530000002,4.774715981000003
oh5,10.500000165452,10.004375986995568,10.895438766993044,10.44865235897964,10.527090983995619,10.077167031025805,7.735930286952302,n/a,n/a,n/a,n/a
oh1,10.500000165452,10.003748477997151,10.894183748996213,10.434219651980408,10.536503619007524,10.075912012993305,7.7353007828141145,n/a,n/a,n/a,n/a
bo3,6.1999997630240005,6.081189719020137,6.29015021599194,6.157118308006785,6.011536220017646,6.044794197005018,3.7230108969992823,2.371356510999999,n/a,2.7240165689999984,2.277857670000001
25b,7.100000153711,6.552448978007424,6.839848099995206,6.867458495996836,6.412514471004027,6.6792057960084215,3.7384839827417506,2.4629728249999987,2.945527245999998,2.945527245999998,2.578434481000001
14b,7.100000153711,6.549938942013761,6.841730626990453,6.904481526974702,6.436359813015163,6.680460814005253,3.735550436304239,2.4629728249999987,2.945527245999998,2.945527245999998,2.578434481000001
b14,7.100000153711,6.549938942013761,6.840475608993621,6.905736545007203,6.432594759024669,6.679833305006837,3.7345996960421286,2.4629728249999987,2.945527245999998,2.945527245999998,2.578434481000001
b25,7.100000153711,6.552448978007424,6.837965572999959,6.874988603977824,6.416907034028607,6.680460814005253,3.736188585999452,2.4629728249999987,2.945527245999998,2.945527245999998,2.578434481000001
3ob,6.1999997630240005,6.081189719020137,6.29015021599194,6.157118308006785,6.012163729016063,6.044794197005018,3.7217558790002214,2.371356510999999,n/a,n/a,2.277857670000001
1ho,10.500000165452,10.003748477997151,10.894183748996213,10.433592142981993,10.536503619007524,10.075912012993305,7.734048425000369,n/a,n/a,n/a,n/a
5ho,10.500000165452,10.005003495993982,10.893556239997798,10.443004777993899,10.52834600202812,10.077167031025805,7.735930286952302,n/a,n/a,n/a,n/a
3e,10.900000129921,9.672423726013262,10.078422048986967,10.340093302004036,10.14493800299738,9.995590861017748,7.602581132962626,n/a,5.126748530000002,5.126748530000002,4.774715981000003
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.8675873130000005,n/a,n/a,n/a
1e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.8675873130000005,n/a,n/a,n/a
1h2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.924690632000001,4.924690632000001,4.405113180000003
5h4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.924690632000001,4.924690632000001,4.405113180000003
