File Name,new_cluster_group,boltzmann_weighting,cluster_group_H298 (Hartrees)
oxane-oh1-freeze_am1-TS_am1.log,6,1.0,4.8675873130000005
oxane-4c1-freeze_am1-TS_am1.log,8,1.0,4.8675873130000005
oxane-1s3-freeze_am1-TS_am1.log,16,1.0,2.371356510999999
oxane-25b-freeze_am1-TS_am1.log,17,1.0,2.4629728249999987
oxane-1s5-freeze_am1-TS_am1.log,18,1.0,2.4629728249999987
oxane-os2-freeze_am1-TS_am1.log,19,1.0,2.4629728249999987
oxane-o3b-freeze_am1-TS_am1.log,20,1.0,2.4629728249999987
oxane-3s1-freeze_am1-TS_am1.log,21,1.0,2.371356510999999
oxane-b25-freeze_am1-TS_am1.log,29,1.0,4.8675873130000005
oxane-3h2-freeze_am1-TS_am1.log,30,1.0,4.8675873130000005
