File Name,new_cluster_group,boltzmann_weighting,cluster_group_H298 (Hartrees)
puck10,e3,0.5,10.900000129921
puck22,e3,0.5,10.900000129921
puck12,oh5,1.0,10.500000165452
puck13,oh1,1.0,10.500000165452
puck19,bo3,1.0,6.1999997630240005
puck20,25b,1.0,7.100000153711
puck15,14b,1.0,7.100000153711
puck16,b14,1.0,7.100000153711
puck18,b25,1.0,7.100000153711
puck17,3ob,1.0,6.1999997630240005
puck14,1ho,1.0,10.500000165452
puck11,5ho,1.0,10.500000165452
puck09,3e,0.5,10.900000129921
puck21,3e,0.5,10.900000129921
