LM1,TS,LM2,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,DFTB3,AM1,PM3,PM3MM,PM6
4c1,e1,5s1,0,0,0,0,0,0,0,0,1,0,0,0
2so,bo3,1s3,1,1,1,1,1,1,1,1,1,0,1,0
4c1,e5,1s5,0,0,0,0,0,0,0,0,1,0,0,0
1s3,14b,1s5,1,1,1,1,1,0,1,1,1,1,1,0
5s1,b14,3s1,1,1,1,1,1,1,1,1,1,1,1,0
2so,25b,5s1,1,1,1,1,0,1,1,1,1,1,1,0
1s5,b25,os2,1,1,1,1,1,1,1,1,1,1,1,0
1s5,1e,1c4,0,0,0,0,0,0,0,0,1,0,0,0
os2,3ob,3s1,1,1,1,1,1,1,1,1,1,0,0,0
5s1,5e,1c4,0,0,0,0,0,0,0,0,1,0,0,0
1s3,1ho,1c4,1,1,1,1,1,1,1,0,0,0,0,0
4c1,oh1,3s1,1,1,1,1,1,1,1,0,0,0,0,0
4c1,e3,1s3,1,1,1,0,1,0,1,0,0,1,1,0
4c1,oh5,os2,1,1,1,1,1,1,1,0,0,0,0,0
os2,3e,1c4,1,0,1,0,0,0,1,1,0,1,1,0
3s1,3e,1c4,1,1,0,0,1,0,1,1,0,0,0,0
2so,5ho,1c4,1,1,0,0,1,1,1,0,0,0,0,0
4c1,e3,2so,1,0,0,0,0,0,1,1,0,0,0,0
5s1,5h4,1c4,0,0,0,0,0,0,0,0,0,1,1,1
4c1,2h1,5s1,0,0,0,0,0,0,0,0,0,1,1,1
4c1,4h5,1s5,0,0,0,0,0,0,0,0,0,1,1,1
1s5,1h2,1c4,0,0,0,0,0,0,0,0,0,1,1,1
4c1,e3,bo3,0,0,0,0,0,0,0,0,0,0,0,1
bo3,25b,5s1,0,0,0,0,0,0,0,0,0,0,0,1
bo3,14b,1s5,0,0,0,0,0,0,0,0,0,0,0,1
5s1,b14,3ob,0,0,0,0,0,0,0,0,0,0,0,1
1s5,b25,3ob,0,0,0,0,0,0,0,0,0,0,0,1
3ob,3e,1c4,0,0,0,0,0,0,0,0,0,0,0,1
