method,REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
4h5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.2858864699999994,4.2858864699999994,4.368090149
2h3,n/a,n/a,n/a,n/a,n/a,n/a,6.92142426999992,n/a,n/a,n/a,n/a
2h1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.2858864699999994,4.2858864699999994,4.368090149
4h3,n/a,n/a,n/a,n/a,n/a,n/a,6.936484485999796,n/a,n/a,n/a,n/a
e1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.555087831000001,n/a,n/a,n/a
e5,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.555087831000001,n/a,n/a,n/a
e3,10.500000165452,9.30784099700633,9.706309211999049,9.850008773028609,9.79604299902218,9.669286181021183,6.928858616327955,2.9599599529999994,3.984054641,3.9827996230000013,4.066258320000001
oh5,10.200000035223,9.649833401998958,10.57352664998539,10.149330566021959,10.123602697015576,9.596495137026613,7.294250787167948,n/a,n/a,n/a,n/a
oh1,10.200000035223,9.641048275985467,10.579801740005216,10.178823489018836,10.161880745990272,9.58708250201471,7.290553553217995,n/a,n/a,n/a,n/a
bo3,6.5999997274930005,6.538643780006609,6.749486804009328,6.656615472029787,6.46585273601204,6.5210735280153,4.28588647000049,2.9599599529999994,n/a,3.244221530000001,2.897209053000001
25b,7.500000118180001,6.970369971986698,7.2389438239863395,7.274084328004627,6.8216503390054815,7.099636826017028,4.276884482056213,3.002003056,3.4004712710000002,3.4004712710000002,3.1143271670000003
14b,7.500000118180001,6.965349899999373,7.242081368978418,7.334325191995213,6.861183406012679,7.104029389005938,4.2736365773911364,3.002003056,3.4004712710000002,3.4004712710000002,3.1143271670000003
b14,7.500000118180001,6.965349899999373,7.240826350981586,7.3355802100277145,6.854908315992852,7.102774371009106,4.273002418042151,3.002003056,3.4004712710000002,3.4004712710000002,3.1143271670000003
b25,7.500000118180001,6.970369971986698,7.236433787992676,7.283496963016533,6.826670410992807,7.103401880007522,4.273649878238322,3.002003056,3.4004712710000002,3.4004712710000002,3.1143271670000003
3ob,6.5999997274930005,6.538643780006609,6.749486804009328,6.657870490026618,6.466480245010455,6.5210735280153,4.284003942999669,2.9599599529999994,n/a,n/a,2.897209053000001
1ho,10.200000035223,9.640420766987052,10.579174231006801,10.175685944026757,10.161880745990272,9.588965029009955,7.286260123695593,n/a,n/a,n/a,n/a
5ho,10.200000035223,9.656108491983113,10.58231177599888,10.163763273021189,10.122347679018745,9.594612610031367,7.291219628869603,n/a,n/a,n/a,n/a
3e,10.500000165452,9.30784099700633,9.706309211999049,9.850008773028609,9.79604299902218,9.669286181021183,6.928231107328424,2.9599599529999994,3.9827996230000013,3.9827996230000013,4.066258320000001
5e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.555087831000001,n/a,n/a,n/a
1e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.555087831000001,n/a,n/a,n/a
1h2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.2858864699999994,4.2858864699999994,4.368090149
3h2,n/a,n/a,n/a,n/a,n/a,n/a,6.92079676100039,n/a,n/a,n/a,n/a
3h4,n/a,n/a,n/a,n/a,n/a,n/a,6.935856977000266,n/a,n/a,n/a,n/a
5h4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4.2858864699999994,4.2858864699999994,4.368090149
