method,REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.0,0.0,0.0,0.00894,0.00316,0.0,0.00463,0.0,0.0,0.0,0.0
2so,0.0,0.22543,0.36098,0.21666,0.00316,0.23486,2.00765,3.25723,3.12922,3.12922,n/a
1s3,0.0,0.23108,0.36036,0.27815,0.04817,0.24302,2.00472,3.25723,3.12985,3.12922,n/a
bo3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1s5,0.0,0.16211,0.03619,0.02864,0.479,0.03479,3.29736,4.16185,3.75146,3.75146,4.19762
5s1,0.0,0.16273,0.03808,0.02933,0.48026,0.05357,3.29526,4.16185,3.75146,3.75146,4.19762
3ob,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,0.0
os2,0.0,0.22829,0.36098,0.25745,0.00316,0.23486,2.00724,3.25723,3.12797,3.12797,n/a
3s1,0.0,0.23171,0.3635,0.27878,0.05376,0.24489,2.00441,3.25723,3.12985,3.12859,n/a
1c4,0.0,0.0,0.0,0.0,0.0,0.0,0.00493,0.0,0.0,0.0,0.0
