,REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,AM1,PM3,PM3MM,PM6
4c1,0.0,0.0006275089984156921,0.0012550179968313841,0.008785126013489446,0.0025100359936627683,0.0,0.0,0.0,0.0,0.0
oh5,,,,,,,,,,
4h3,,,,,,,,,,
2h1,,,,,,,,,,
4h5,,,,,,,,,,
2h3,,,,,,,,,,
oh1,,,,,,,,,,
2e,,,,,,,,,,
oe,,,,,,,,,,
e3,,,,,,,,,,
e1,,,,,,,,,,
e5,,,,,,,,,,
4e,,,,,,,,,,
2so,5.200000165606,5.42544281399926,5.560984757978078,5.4166576880214405,5.197029538005232,5.434855449011166,1.942767864000001,2.0707797000000006,2.0707797000000006,1.4828037670000003
1s3,5.200000165606,5.431090394985001,5.560357248979662,5.478153570008858,5.151848890012293,5.443013066026239,1.942767864000001,2.070152191,2.0707797000000006,1.483431276
bo3,,,,,,,,,,1.4831173552381496
b25,,,,,,,,,,
b14,,,,,,,,,,
1s5,6.1999997630240005,6.037891597986776,6.236184441985511,6.228654334004522,5.720999553002116,6.1652759250218585,2.0381492320000008,2.4485401179999995,2.4485401179999995,2.0023812190000005
5s1,6.1999997630240005,6.03726408898836,6.238066968980758,6.229281843002938,5.719744535005285,6.146450655033718,2.0381492320000008,2.4485401179999995,2.4485401179999995,2.0023812190000005
25b,,,,,,,,,,
3ob,,,,,,,,,,1.4837448642381499
14b,,,,,,,,,,
os2,5.200000165606,5.428253137383158,5.560984757978078,5.45744577302547,5.1976570470036485,5.434855449011166,1.942767864000001,2.072034718,2.072034718,1.4840587850000004
3s1,5.200000165606,5.431717903983418,5.56349479400741,5.478781079007273,5.146201308990882,5.444895593021487,1.942767864000001,2.070152191,2.071407209000001,1.483431276
5e,,,,,,,,,,
e4,,,,,,,,,,
1e,,,,,,,,,,
eo,,,,,,,,,,
e2,,,,,,,,,,
3e,,,,,,,,,,
3h2,,,,,,,,,,
1h2,,,,,,,,,,
5h4,,,,,,,,,,
1ho,,,,,,,,,,
3h4,,,,,,,,,,
5ho,,,,,,,,,,
1c4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
