,AM1,APFD,B3LYP,BMK,M06L,PBEPBE,PM3,PM3MM,PM6
4c1,0.02559,0.01065,0.00632,0.00707,0.00796,0.01049,0.06162,0.06208,0.03536
2h3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2h1,n/a,n/a,n/a,n/a,n/a,n/a,0.18488,0.18488,0.20268
4h5,n/a,n/a,n/a,n/a,n/a,n/a,0.18488,0.18488,0.20268
4h3,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
oe,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
2e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e1,0.0882,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e5,0.0882,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
4e,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
oh1,n/a,0.09529,0.12321,0.09844,0.12841,0.17413,n/a,n/a,n/a
oh5,n/a,0.0955,0.12272,0.09874,0.13394,0.17493,n/a,n/a,n/a
e3,n/a,0.05857,0.06301,n/a,0.05348,n/a,0.00837,0.00837,0.00447
1s3,0.00949,0.00758,0.00987,0.02415,0.00548,0.02693,0.1103,0.11469,n/a
1s5,0.0088,0.00866,0.00866,0.00922,0.00894,0.00894,0.0088,0.0088,0.0088
bo3,0.01761,0.01378,0.00316,0.01378,0.0,0.0,n/a,0.03924,0.17073
os2,0.01803,0.0171,0.01125,0.02828,0.00796,0.02543,0.11084,0.11807,n/a
25b,0.0719,0.04347,0.04123,0.02966,n/a,0.04123,0.04775,0.04775,0.17251
b14,0.07197,0.04183,0.04123,0.02966,0.01049,0.04012,0.04775,0.04775,0.17257
14b,0.07204,0.04171,0.04123,0.02966,0.01095,n/a,0.04764,0.04764,0.1726
b25,0.0719,0.04183,0.04123,0.03082,0.01183,0.0405,0.04775,0.04775,0.17254
3ob,0.01761,0.01378,0.00316,0.01378,0.0,0.0,n/a,n/a,0.17948
2so,0.01975,0.01871,0.01304,0.03058,0.00922,0.0272,0.1145,0.11331,n/a
5s1,0.0088,0.00894,0.00894,0.00922,0.00894,0.00866,0.0088,0.00894,0.0088
3s1,0.01049,0.00796,0.00975,0.02497,0.00548,0.0272,0.10991,0.10932,n/a
3e,n/a,0.05857,0.06301,n/a,0.05348,n/a,0.00837,0.00837,0.00447
1ho,n/a,0.09529,0.12329,0.09844,0.12834,0.17424,n/a,n/a,n/a
5ho,n/a,n/a,0.12284,n/a,0.13439,0.17464,n/a,n/a,n/a
e4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1e,0.0882,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
e2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
5e,0.0882,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
eo,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1h2,n/a,n/a,n/a,n/a,n/a,n/a,0.18488,0.18488,0.20268
5h4,n/a,n/a,n/a,n/a,n/a,n/a,0.18488,0.18488,0.20266
3h4,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
3h2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1c4,0.02579,0.01072,0.00658,0.00775,0.00796,0.01025,0.06181,0.06199,0.03559
