,AM1,APFD,B3LYP,BMK,M06L,PBEPBE,PM3,PM3MM,PM6,REFERENCE
4c1,0.01683,0.00707,0.00158,0.00606,0.00224,0.00408,0.03256,0.03275,0.01943,0.0
4h5,,,,,,,0.18488,0.18488,0.20268,
4h3,,,,,,,,,,
2h1,,,,,,,0.18488,0.18488,0.20268,
2h3,,,,,,,,,,
2e,,,,,,,,,,
oe,,,,,,,,,,
e1,0.0882,,,,,,,,,
e5,0.0882,,,,,,,,,
4e,,,,,,,,,,
e3,,0.00949,0.00775,,0.01581,,0.05848,0.05848,0.06856,0.0
oh1,,0.03564,0.0228,0.04494,0.04754,0.09685,,,,0.0
oh5,,0.03619,0.01924,0.03899,0.05235,0.09534,,,,0.0
2so,0.00577,0.00483,0.00418,0.01378,0.00183,0.01255,0.07681,0.06234,,0.0
1s3,0.00516,0.00346,0.00283,0.01107,0.00141,0.01354,0.06218,0.05559,,0.0
bo3,0.01378,0.01,0.0,0.01,0.00548,0.00632,,0.03536,0.07649,0.0
25b,0.10927,0.00775,0.00447,0.01049,,0.00447,0.01304,0.01304,0.20988,0.0
14b,0.11104,0.00548,0.00316,0.01225,0.02881,,0.01225,0.01225,0.21161,0.0
5s1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1s5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b14,0.11104,0.00548,0.00316,0.01225,0.02898,0.00316,0.01225,0.01225,0.21161,0.0
b25,0.11104,0.00548,0.00316,0.01095,0.02757,0.00316,0.01225,0.01225,0.21164,0.0
3ob,0.01378,0.01,0.0,0.01,0.00548,0.00632,,,0.07945,0.0
3s1,0.00548,0.00387,0.00283,0.01162,0.00141,0.01204,0.07639,0.07609,,0.0
os2,0.00577,0.00374,0.00346,0.01129,0.00158,0.01235,0.06197,0.06486,,0.0
5ho,,,0.02,,0.0532,0.09524,,,,0.0
1ho,,0.0355,0.02302,0.04494,0.04754,0.09711,,,,0.0
3e,,0.00837,0.00548,,0.01414,,0.05857,0.05857,0.06863,0.0
1e,0.0882,,,,,,,,,
5e,0.0882,,,,,,,,,
e2,,,,,,,,,,
e4,,,,,,,,,,
eo,,,,,,,,,,
3h4,,,,,,,,,,
1h2,,,,,,,0.18488,0.18488,0.20268,
5h4,,,,,,,0.18488,0.18488,0.20266,
3h2,,,,,,,,,,
1c4,0.01683,0.00796,0.00158,0.00775,0.00224,0.00408,0.0326,0.03267,0.01949,0.0
