,AM1,APFD,B3LYP,BMK,M06L,PBEPBE,PM3,PM3MM,PM6,REFERENCE
4c1,0.0,0.00316,0.00387,0.00837,0.01851,0.00447,0.00224,0.00158,0.0,0.0
2h1,,,,,,,0.0,0.0,0.0,
4h5,,,,,,,0.0,0.0,0.0,
2h3,,,,,,,,,,
4h3,,,,,,,,,,
e5,0.0,,,,,,,,,
2e,,,,,,,,,,
oe,,,,,,,,,,
e1,0.0,,,,,,,,,
4e,,,,,,,,,,
e3,,0.78992,1.18651,,0.67572,,6.51595,6.5172,6.43311,0.0
oh1,,0.38356,0.55331,0.01732,0.01,0.60601,,,,0.0
oh5,,0.37729,0.54452,0.0469,0.04817,0.5966,,,,0.0
2so,3.25744,0.36728,0.23097,0.2707,0.02665,0.23989,3.13173,3.12818,,0.0
1s3,3.25681,0.36588,0.23611,0.28338,0.01761,0.24662,3.12943,3.1355,,0.0
bo3,3.64004,0.15326,0.05568,0.06042,0.10592,0.07204,,3.35578,5.14098,0.0
25b,4.498,0.25729,0.52398,0.22215,,0.39346,4.09953,4.09953,4.38505,0.0
14b,4.498,0.25415,0.529,0.1619,0.61058,,4.09953,4.09953,4.38505,0.0
1s5,4.16135,0.03421,0.16052,0.0584,0.43575,0.02784,3.75033,3.75372,4.19674,0.0
5s1,4.1616,0.04103,0.16051,0.05831,0.45108,0.04583,3.75121,3.75422,4.19674,0.0
b14,4.498,0.2554,0.529,0.16065,0.61685,0.39032,4.09953,4.09953,4.38505,0.0
b25,4.498,0.25981,0.52398,0.21274,0.64509,0.38969,4.09953,4.09953,4.38505,0.0
3ob,3.64004,0.15326,0.05568,0.06164,0.10526,0.07204,,,5.10516,0.0
3s1,3.25723,0.36569,0.23612,0.27823,0.0203,0.24557,3.12985,3.12608,,0.0
os2,3.25723,0.36388,0.2325,0.26987,0.02382,0.24459,3.12546,3.13487,,0.0
5ho,,,0.53825,,0.0494,0.59848,,,,0.0
1ho,,0.38294,0.55393,0.02049,0.01,0.60414,,,,0.0
3e,,0.78992,1.18651,,0.67572,,6.5172,6.5172,6.43311,0.0
5e,0.0,,,,,,,,,
e4,,,,,,,,,,
e2,,,,,,,,,,
1e,0.0,,,,,,,,,
eo,,,,,,,,,,
1h2,,,,,,,0.0,0.0,0.0,
5h4,,,,,,,0.0,0.0,0.0,
3h4,,,,,,,,,,
3h2,,,,,,,,,,
1c4,0.0,0.00258,0.00316,0.00316,0.01761,0.00447,0.00224,0.0,0.00158,0.0
