pathway,REF,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
0_19-6,0,0,0,0,0,0,0,1,0,0,0
13_14-16,1,1,1,1,1,1,1,1,0,1,0
0_18-8,0,0,0,0,0,0,0,1,0,0,0
14_18-18,1,1,1,1,1,0,2,1,1,1,0
19_24-19,1,1,1,1,1,1,2,1,1,1,0
13_19-17,1,1,1,1,0,1,3,1,1,1,0
18_23-20,1,1,1,1,1,1,2,1,1,1,0
18_37-30,0,0,0,0,0,0,0,1,0,0,0
23_24-21,1,1,1,1,1,1,1,1,0,0,0
19_37-29,0,0,0,0,0,0,0,1,0,0,0
14_37-25,1,1,1,1,1,1,3,0,0,0,0
0_24-12,1,1,1,1,1,1,2,0,0,0,0
0_14-10,1,1,1,0,1,0,1,0,1,1,0
0_23-11,1,1,1,1,1,1,2,0,0,0,0
23_37-27,1,0,1,0,0,0,1,0,1,1,0
24_37-27,1,1,0,0,1,0,1,0,0,0,0
13_37-26,1,1,0,0,1,1,2,0,0,0,0
0_13-10,1,0,0,0,0,0,1,0,0,0,0
19_37-36,0,0,0,0,0,0,0,0,1,1,1
0_19-3,0,0,0,0,0,0,0,0,1,1,1
0_18-1,0,0,0,0,0,0,0,0,1,1,1
18_37-33,0,0,0,0,0,0,0,0,1,1,1
0_15-10,0,0,0,0,0,0,0,0,0,0,1
15_19-17,0,0,0,0,0,0,0,0,0,0,1
15_18-18,0,0,0,0,0,0,0,0,0,0,1
19_21-19,0,0,0,0,0,0,0,0,0,0,1
18_21-20,0,0,0,0,0,0,0,0,0,0,1
21_37-27,0,0,0,0,0,0,0,0,0,0,1
