LM1,TS,LM2,REFERENCE,B3LYP,APFD,BMK,M06L,PBEPBE,DFTB,AM1,PM3,PM3MM,PM6
4c1,e1,5s1,0,0,0,0,0,0,0,0.5,0,0,0
4c1,e5,1s5,0,0,0,0,0,0,0,0.5,0,0,0
4c1,oh1,3s1,0.312,0.268,0.157,0.497,0.248,0.508,0.177,0,0,0,0
4c1,e3,1s3,0.188,0.47,0.684,0,0.464,0,0,0,0.305,0.306,0
4c1,oh5,os2,0.312,0.262,0.158,0.503,0.288,0.492,0.175,0,0,0,0
4c1,2h3,2so,0,0,0,0,0,0,0.328,0,0,0,0
4c1,4h3,1s3,0,0,0,0,0,0,0.321,0,0,0,0
4c1,2h1,5s1,0,0,0,0,0,0,0,0,0.347,0.347,0.371
4c1,4h5,1s5,0,0,0,0,0,0,0,0,0.347,0.347,0.371
4c1,e3,bo3,0,0,0,0,0,0,0,0,0,0,0.257
4c1,e3,2so,0.188,0,0,0,0,0,0,0,0,0,0
