,AM1,APFD,B3LYP,BMK,M06L,PBEPBE,PM3,PM3MM,PM6,REFERENCE
4c1,0.00020902190445564928,0.00250438310123501,0.0036034012062780047,0.00664845576381989,0.014373035040600274,0.0033332695472614955,0.0015639572548356755,0.000782600422457945,0.000627508999999539,0.0
2h1,,,,,,,4.2858864699999994,4.2858864699999994,4.368717658,
4h5,,,,,,,4.2858864699999994,4.2858864699999994,4.368717658,
2h3,,,,,,,,,,
4h3,,,,,,,,,,
e5,4.555087831000001,,,,,,,,,
2e,,,,,,,,,,
oe,,,,,,,,,,
e1,4.555087831000001,,,,,,,,,
4e,,,,,,,,,,
e3,,9.710074265989542,9.31348857802774,,9.824280904022226,,3.984054641,3.9827996230000013,4.066885829,10.500000165452
oh1,,10.583566793995711,9.646695857006879,10.18258854300933,10.19011865099032,9.593985100997282,,,,10.200000035223
oh5,,10.577291703975884,9.655480983020368,10.153095620012452,10.151840602015621,9.603397736009187,,,,10.200000035223
2so,1.9425585465189132,5.56723861175462,5.430910489885632,5.466137062144152,5.204442117029255,5.439584528366167,2.0682590233043205,2.0718218568940614,,5.200000165606
1s3,1.9431856123890192,5.565875762067417,5.436107802588676,5.482975769107051,5.194172236842981,5.44653101021044,2.0705686100003318,2.0644377699338756,,5.200000165606
bo3,2.9599599529999994,6.753251857999822,6.54429136102802,6.6603805260202815,6.494090641012086,6.527976126997872,,3.244221530000001,1.4488773852433292,6.5999997274930005
25b,3.002003056,7.242708877976834,6.976017553008109,7.2778493819951215,,7.106539424999601,3.4004712710000002,3.4004712710000002,3.114954676,7.500000118180001
14b,3.002003056,7.245846422968912,6.970997481020784,7.338090245985708,6.8894213110127245,,3.4004712710000002,3.4004712710000002,3.114954676,7.500000118180001
1s5,2.038650866824214,6.233612642418667,6.039519446321629,6.250433078104416,5.764039203237771,6.172178524004432,2.449662892085265,2.4462702760009325,2.003259306240266,6.1999997630240005
5s1,2.038400076005539,6.240992978025158,6.039527015211399,6.250694692838396,5.748922207147428,6.154187569740721,2.4487906958174266,2.4457690713822444,2.0032593062402655,6.1999997630240005
b14,3.002003056,7.2445914049720805,6.970997481020784,7.339345264018208,6.883146220992898,7.109676969991679,3.4004712710000002,3.4004712710000002,3.114954676,7.500000118180001
b25,3.002003056,7.240198841983171,6.976017553008109,7.287262017007027,6.854908315992852,7.110304478990095,3.4004712710000002,3.4004712710000002,3.114954676,7.500000118180001
3ob,2.9599599529999994,6.753251857999822,6.54429136102802,6.661635544017113,6.494718150010502,6.527976126997872,,,1.4945803941404707,6.5999997274930005
3s1,1.9427678640000012,5.56568658510178,5.436103015120208,5.478085826481554,5.191301811735285,5.445486210976502,2.070152191,2.0739066043043204,,5.200000165606
os2,1.9427678640000012,5.563853300384932,5.432450054652103,5.469514146583325,5.206176788358408,5.444572034634518,2.074538986040376,2.0650731064103454,,5.200000165606
5ho,,,9.661756073004526,,10.15058558401879,9.60151520901394,,,,10.200000035223
1ho,,10.582939284997295,9.646068348008463,10.179450998017252,10.19011865099032,9.59586762799253,,,,10.200000035223
3e,,9.710074265989542,9.31348857802774,,9.824280904022226,,3.9827996230000013,3.9827996230000013,4.066885829,10.500000165452
5e,4.555087831000001,,,,,,,,,
e4,,,,,,,,,,
e2,,,,,,,,,,
1e,4.555087831000001,,,,,,,,,
eo,,,,,,,,,,
1h2,,,,,,,4.2858864699999994,4.2858864699999994,4.368717658,
5h4,,,,,,,4.2858864699999994,4.2858864699999994,4.368717658,
3h4,,,,,,,,,,
3h2,,,,,,,,,,
1c4,0.00041819151891279023,0.002087556507147271,0.0026601407878383224,0.002507375807804484,0.015083982150678788,0.0035446583123770695,0.0015639572548356755,0.0,0.0007826004224574021,0.0
