group,pucker,REFERENCE
0_1-0,oh1/oe,0.22656
0_1-1,b14/3s1,0.03521
0_1-2,e1/2h1,0.0
0_1-3,e1/oh1,0.0
0_11-0,e5/oh5,0.06971
0_12-0,4h5/e5,0.22865
0_12-1,bo3,0.0
0_12-2,e5/oh5,0.27688
0_12-3,e5,0.1445
0_13-0,oh1/oe,0.19171
0_13-1,oh5/e5,0.26576
0_2-0,e1/2h1,0.0
0_2-1,oh1/oe,0.0
0_2-2,e1/b14,0.2442
0_3-0,2h1/e1,0.10811
0_3-1,2e/25b,0.10276
0_3-2,oh1/3s1,0.0
0_3-3,e1,0.0
0_4-0,2e/25b,0.21318
0_5-0,2h3/e3,0.25867
0_5-1,2h3/2e,0.0
0_6-0,2h3/2so,0.09179
0_6-1,e5/4h5,0.0
0_6-2,4h3/e3,0.2442
0_6-3,4e/4h3,0.0
0_6-4,4h5/4e,0.06971
0_6-5,bo3/1s3,0.22978
0_7-0,bo3/1s3,0.0
0_9-0,4h5/e5,0.08186
0_9-1,bo3/e3,0.06971
10_12-0,os2/b25,0.0
10_14-0,3h2,0.0
11_14-0,1h2,0.14714
12_14-0,3h2/3e,0.16593
12_14-1,e2/3h2,0.0
13_14-0,3h2/3e,0.12147
1_12-0,3ob/3s1,0.0
1_13-0,3ob/3s1,0.0
1_14-0,3h4/e4,0.0
1_3-0,b14,0.0
2_14-0,3h2/3e,0.0
2_14-1,3h4/e4,0.0
3_12-0,3s1/3ob,0.0
3_14-0,5h4/5e,0.18447
3_5-0,25b,0.23552
3_6-0,2so/25b,0.0
3_6-1,25b/2e,0.22865
5_11-0,bo3/1s3,0.0
5_6-0,bo3/1s3,0.17339
6_11-0,b25,0.0
6_14-0,5ho/eo,0.20432
6_14-1,1e,0.20639
6_14-2,5ho/2so,0.28585
6_9-0,14b,0.08624
6_9-1,14b/1s3,0.0
7_12-0,b25,0.0
7_12-1,b25/1s5,0.0
7_14-0,1e/1h2,0.13378
7_9-0,14b,0.16211
8_14-0,1e/1h2,0.03521
8_14-1,1h2,0.0
9_11-0,b25,0.0
9_11-1,b25/1s5,0.0
9_12-0,b25/1s5,0.14958
9_14-0,1h2/1e,0.263
9_14-1,1h2/e2,0.175
