group,pucker,REFERENCE
0_1-0,e1/oh1,0.00683
0_1-1,2h1/2e,0.0
0_1-2,oh1/oe,0.03056
0_1-3,e1,0.02133
0_10-0,oh1/e1,0.0
0_10-1,oe/oh5,0.04987
0_10-2,e5/b25,0.03994
0_10-3,oe/oh1,0.02183
0_2-0,oh1/e1,0.02029
0_2-1,25b/5s1,0.06301
0_2-2,2h1/5s1,0.0679
0_2-3,5s1,0.0
0_4-0,e3/2h3,0.04053
0_4-1,5s1,0.0
0_4-2,4h3/e3,0.0
0_5-0,4e,0.0
0_5-1,e3/4h3,0.03734
0_5-2,os2/oh5,0.0
0_7-0,oh1/oe,0.04113
0_7-1,oe/oh5,0.03847
0_8-0,4h5/e5,0.06309
0_8-1,4h3/4e,0.0
0_8-2,oe/oh5,0.09872
0_8-3,oh5/e5,0.0
0_9-0,oh5/oe,0.0
0_9-1,e5,0.0
10_11-0,e2/3h2,0.01118
10_11-1,os2/3h2,0.0
10_12-0,3h2/3e,0.0343
10_12-1,e2,0.0
10_12-2,3h2/e2,0.02269
1_11-0,5h4/5s1,0.04483
1_11-1,3h4/3e,0.0
1_11-2,5e,0.0
1_4-0,25b,0.0
2_11-0,5e/5s1,0.04087
2_4-0,25b,0.04019
2_4-1,25b/5s1,0.02835
2_5-0,5s1/25b,0.06137
3_11-0,5e,0.03471
3_4-0,25b/2so,0.0
4_11-0,25b/2so,0.03619
4_11-1,1e,0.03317
4_11-2,5e/5h4,0.04127
4_11-3,5ho,0.0
4_12-0,5e/5ho,0.08142
4_12-1,1ho,0.0
4_12-2,1e/1h2,0.0
4_5-0,1s3/bo3,0.01718
4_5-1,bo3/e3,0.07688
4_5-2,1s3,0.0
4_6-0,14b/4e,0.0
4_8-0,14b/4e,0.0
5_11-0,1e/1h2,0.0
5_12-0,1e/1h2,0.06282
5_12-1,5e,0.0
5_12-2,1ho/1e,0.0
5_6-0,14b/1s5,0.0
5_8-0,14b/1s5,0.0
5_8-1,14b,0.03502
6_11-0,1e/1h2,0.0
6_12-0,1h2,0.0
7_10-0,3ob,0.03521
7_11-0,e4/5h4,0.0
7_11-1,3h4/3e,0.06465
7_11-2,3e/3h4,0.0
7_12-0,3h2/3e,0.0
7_8-0,b25,0.0
7_8-1,os2/b25,0.0
8_10-0,b25,0.06753
8_10-1,b25/os2,0.02833
8_11-0,1h2,0.00592
8_12-0,1h2/1e,0.02728
8_12-1,1h2,0.03672
8_9-0,b25,0.0
