group,pucker,REFERENCE
0_1-0,e1/oh1,1.06654
0_1-1,2h1/2e,0.0
0_1-2,oh1/oe,0.5143
0_1-3,e1,0.60696
0_10-0,oh1/e1,0.0
0_10-1,oe/oh5,2.1703
0_10-2,e5/b25,0.15455
0_10-3,oe/oh1,0.64196
0_2-0,oh1/e1,0.56124
0_2-1,25b/5s1,1.13948
0_2-2,2h1/5s1,0.47461
0_2-3,5s1,0.0
0_4-0,e3/2h3,1.86796
0_4-1,5s1,0.0
0_4-2,4h3/e3,0.0
0_5-0,4e,0.0
0_5-1,e3/4h3,0.70924
0_5-2,os2/oh5,0.0
0_7-0,oh1/oe,0.96841
0_7-1,oe/oh5,0.15455
0_8-0,4h5/e5,1.29239
0_8-1,4h3/4e,0.0
0_8-2,oe/oh5,0.75622
0_8-3,oh5/e5,0.0
0_9-0,oh5/oe,0.0
0_9-1,e5,0.0
10_11-0,e2/3h2,0.15455
10_11-1,os2/3h2,0.0
10_12-0,3h2/3e,1.59396
10_12-1,e2,0.0
10_12-2,3h2/e2,0.43719
1_11-0,5h4/5s1,0.26624
1_11-1,3h4/3e,0.0
1_11-2,5e,0.0
1_4-0,25b,0.0
2_11-0,5e/5s1,1.02818
2_4-0,25b,1.77548
2_4-1,25b/5s1,0.84539
2_5-0,5s1/25b,1.97816
3_11-0,5e,0.60696
3_4-0,25b/2so,0.0
4_11-0,25b/2so,1.45181
4_11-1,1e,0.21033
4_11-2,5e/5h4,0.3133
4_11-3,5ho,0.0
4_12-0,5e/5ho,1.96264
4_12-1,1ho,0.0
4_12-2,1e/1h2,0.0
4_5-0,1s3/bo3,2.18046
4_5-1,bo3/e3,1.06266
4_5-2,1s3,0.0
4_6-0,14b/4e,0.0
4_8-0,14b/4e,0.0
5_11-0,1e/1h2,0.0
5_12-0,1e/1h2,3.0044
5_12-1,5e,0.0
5_12-2,1ho/1e,0.0
5_6-0,14b/1s5,0.0
5_8-0,14b/1s5,0.0
5_8-1,14b,0.49352
6_11-0,1e/1h2,0.0
6_12-0,1h2,0.0
7_10-0,3ob,1.1946
7_11-0,e4/5h4,0.0
7_11-1,3h4/3e,0.21033
7_11-2,3e/3h4,0.0
7_12-0,3h2/3e,0.0
7_8-0,b25,0.0
7_8-1,os2/b25,0.0
8_10-0,b25,0.42732
8_10-1,b25/os2,0.65148
8_11-0,1h2,0.15455
8_12-0,1h2/1e,0.53369
8_12-1,1h2,1.06009
8_9-0,b25,0.0
