tolerance,num_comp_paths,accuracy
0,35,0.455
0.02,34,0.442
0.04,34,0.442
0.06,33,0.429
0.08,33,0.429
0.1,33,0.429
0.12000000000000001,33,0.429
0.14,33,0.429
0.16,31,0.403
0.18,30,0.39
0.19999999999999998,30,0.39
0.21999999999999997,30,0.39
0.23999999999999996,27,0.351
0.25999999999999995,27,0.351
0.27999999999999997,26,0.338
0.3,25,0.325
0.32,23,0.299
0.34,23,0.299
0.36000000000000004,22,0.286
0.38000000000000006,21,0.273
0.4000000000000001,21,0.273
0.4200000000000001,21,0.273
0.4400000000000001,20,0.26
0.46000000000000013,20,0.26
0.48000000000000015,20,0.26
0.5000000000000001,20,0.26
0.5200000000000001,19,0.247
0.5400000000000001,19,0.247
0.5600000000000002,19,0.247
0.5800000000000002,19,0.247
0.6000000000000002,19,0.247
0.6200000000000002,19,0.247
0.6400000000000002,19,0.247
0.6600000000000003,19,0.247
0.6800000000000003,19,0.247
0.7000000000000003,18,0.234
0.7200000000000003,18,0.234
0.7400000000000003,18,0.234
0.7600000000000003,18,0.234
0.7800000000000004,18,0.234
0.8000000000000004,17,0.221
0.8200000000000004,17,0.221
0.8400000000000004,17,0.221
0.8600000000000004,17,0.221
0.8800000000000004,17,0.221
0.9000000000000005,17,0.221
0.9200000000000005,17,0.221
0.9400000000000005,17,0.221
0.9600000000000005,17,0.221
0.9800000000000005,17,0.221
