group,pucker,REFERENCE,AM1,PM3,PM3MM,PM6
0_1-0,e1/oh1,0.08346,0,0.0139,0.0139,0
0_1-1,oe/oh5,0.00071,0,0,0,0
0_1-2,oh1/oe,0.02545,0.00337,0.05251,0.05251,0
0_1-3,oh1/e1,0.01163,0.01303,0.02721,0.02721,0
0_1-4,e5,0,0,0.0,0.0,0
0_1-5,2h1/2e,0.0,0,0,0,0
0_1-6,oh5/4c1,0,0,0,0,0
0_10-0,oh1/e1,0.00931,0,0.00949,0.00949,0
0_10-1,oh5/oe,0.02156,0.05263,0.07481,0.07481,0.32676
0_10-2,e5,0.0068,0.00407,0.11941,0.11941,0
0_10-3,oe/oh5,0.01279,0,0,0,0
0_10-4,oe/oh1,0.0044,0.00933,0.00921,0.00921,0
0_2-0,25b/5s1,0.0157,0,0,0,0
0_2-1,oh1/e1,0.01553,0.0164,0.03146,0.03146,0
0_2-2,2h1/e1,0.01862,0.03064,0.0364,0.0364,0
0_2-3,2h1/2e,0.00323,0,0.01279,0.01279,0
0_2-4,5s1,0.0,0,0,0,0
0_4-0,4h3/4e,0,0.05445,0,0,0.03071
0_4-1,2h3/e3,0.01576,0,0.07114,0.07114,0
0_4-2,5s1,0.0,0,0,0,0
0_4-3,e3/2h3,0.0162,0.07566,0.05296,0.05296,0
0_4-4,e1,0,0,0,0,0.01147
0_4-5,4h5/4e,0,0.0,0,0,0
0_4-6,4h3/e3,0.00232,0.09838,0.0187,0.0187,0
0_4-7,4e/4h5,0,0.00181,0,0,0.00631
0_5-0,e3/4h3,0.05237,0,0.01867,0.01867,0
0_5-1,os2/oh5,0.0,0,0,0,0
0_5-2,e5/oh5,0,0,0,0,0.0
0_5-3,4h3/4e,0,0.13603,0.05652,0.05652,0
0_5-4,4h5/4e,0,0.06159,0,0,0
0_6-0,4e,0.0,0,0.21253,0.21253,0
0_8-0,4h5/e5,0.01862,0.078,0.03493,0.03493,0
0_8-1,oe/oh5,0.0022,0.0193,0,0,0
0_8-2,e5/oh5,0.02877,0.08426,0.06022,0.06022,0
0_8-3,4h3/4e,0.0,0,0,0,0
0_8-4,oe/3ob,0.0,0,0,0,0
0_9-0,4h5/e5,0,0.00902,0.00219,0.00219,0
0_9-1,oh5/oe,0.01428,0.01395,0,0,0
0_9-2,e5,0.0,0,0,0,0
0_9-3,e5/oh5,0,0.03878,0.0059,0.0059,0
10_11-0,e2/3h2,0.00211,0,0.01979,0.01979,0
10_11-1,3e/3ob,0.01308,0.037,0,0,0.11074
10_12-0,3h2/3e,0.04588,0.05947,0.40422,0.40422,0
10_12-1,e2,0.00687,0,0.00687,0.00687,0
10_12-2,3ob/3e,0.00255,0.01532,0,0,0.362
1_10-0,3ob,0.02304,0,0.0211,0.0211,0
1_11-0,5h4/5s1,0.04377,0,0.06399,0.06399,0
1_11-1,3h4/3e,0.00092,0,0.00711,0.00711,0
1_11-2,5e,0.0,0,0,0,0
1_11-3,3h4/3s1,0.00737,0,0.02683,0.02683,0
1_11-4,3e/3ob,0.00785,0,0,0,0
1_12-0,os2/3h2,0,0.0349,0,0,0
1_12-1,3e/3h2,0,0,0,0,0
1_12-2,3e/3ob,0,0.00549,0,0,0
1_4-0,25b,0.0,0,0,0,0
1_8-0,oe/3ob,0,0,0,0,0.0
1_8-1,os2/b25,0.0,0,0,0,0
2_11-0,5s1/5e,0.02556,0,0.02494,0.02494,0
2_11-1,5h4/5e,0,0,0.0174,0.0174,0
2_11-2,5s1,0,0,0,0,0.0
2_4-0,25b/5s1,0.03346,0.02567,0,0,0
2_4-1,25b,0.05001,0.02573,0.07555,0.07555,0
2_4-2,2so/25b,0,0.0,0,0,0
2_5-0,5s1/25b,0.02005,0,0,0,0
3_11-0,5e,0.01172,0.0049,0.19244,0.19244,0
3_4-0,25b/2so,0.0,0,0,0,0
3_4-1,2so/25b,0,0.01995,0,0,0
4_11-0,bo3/1s3,0,0,0,0,0.0
4_11-1,25b/2so,0.03285,0,0.00385,0.00385,0
4_11-2,1e,0.01342,0,0.04468,0.04468,0
4_11-3,5e/5h4,0.00415,0.13683,0,0,0
4_11-4,5ho,0.0,0,0,0,0
4_11-5,2so/bo3,0,0,0,0,0.0
4_11-6,2so/5ho,0,0,0,0,0.0
4_11-7,5e,0.01102,0.0325,0.0085,0.0085,0
4_12-0,1e/1h2,0.0,0,0,0,0
4_12-1,5e,0.02809,0.0697,0,0,0
4_12-2,1ho,0.0,0,0,0,0
4_12-3,5ho/eo,0,0.02059,0,0,0.02026
4_12-4,eo/1ho,0,0.00122,0,0,0
4_5-0,bo3/e3,0.00337,0,0.00204,0.00204,0
4_5-1,14b/1s5,0,0,0,0,0.0
4_5-2,5s1/25b,0,0,0,0,0.0
4_5-3,bo3/e3,0.00327,0.03874,0,0,0
4_6-0,1s3/bo3,0.00109,0,0,0,0
4_6-1,1s3,0.0,0,0,0,0
4_7-0,14b/4e,0.0,0,0,0,0
4_8-0,1s5/14b,0,0.01225,0,0,0
4_8-1,14b/4e,0.0,0,0,0,0
5_12-0,1e/1h2,0.00017,0.47507,0.03993,0.03993,0.39165
5_12-1,5e,0.0,0.01678,0,0,0.2853
5_12-2,1ho/1e,0.0,0.18494,0,0,0.35377
6_11-0,1e,0.01622,0,0,0,0
6_11-1,5ho/5e,0,0,0,0,0
6_11-2,1ho/eo,0,0.02012,0,0,0
6_11-3,1h2,0,0.01506,0,0,0
6_12-0,1h2/1e,0.05746,0.03921,0,0,0.07997
6_12-1,5ho,0,0,0,0,0
6_12-2,1c4/1h2,0,0,0,0,0
6_12-3,eo/1ho,0,0,0,0,0
6_12-4,1e/14b,0,0,0,0,0.02773
6_12-5,1h2/1s5,0,0,0,0,0
6_7-0,14b/1s5,0.0,0,0,0,0
6_8-0,1s5/14b,0,0,0,0,0
6_8-1,14b,0.04338,0,0,0,0
7_11-0,1e/1h2,0.00906,0,0.00923,0.00923,0
7_12-0,1h2/1e,0,0,0,0,0
7_12-1,1h2,0.00873,0.0052,0.01399,0.01399,0.06376
8_10-0,b25/os2,0.05152,0.01688,0,0,0
8_10-1,oe/3ob,0,0,0,0,0.0
8_10-2,b25,0.01785,0.00294,0,0,0
8_11-0,1h2/1e,0.00228,0,0.0258,0.0258,0
8_12-0,1h2,0.05504,0,0,0,0
8_12-1,1h2/1e,0.02297,0.07758,0,0,0.11151
8_9-0,b25,0.0,0,0,0,0
