group,pucker,REFERENCE,AM1,PM3,PM3MM,PM6
0_1-0,e1/oh1,0.01254,0,0.00592,0.00592,0
0_1-1,oe/oh5,0.00071,0,0,0,0
0_1-2,oh1/oe,0.00353,0.00337,0.02061,0.02061,0
0_1-3,oh1/e1,0.00191,0.00356,0.00648,0.00648,0
0_1-4,e5,0,0,0.0,0.0,0
0_1-5,2h1/2e,0.0,0,0,0,0
0_1-6,oh5/4c1,0,0,0,0,0
0_10-0,oh1/e1,0.00931,0,0.00949,0.00949,0
0_10-1,oh5/oe,0.0049,0.03511,0.03495,0.03495,0.32676
0_10-2,e5,0.00344,0.00407,0.03587,0.03587,0
0_10-3,oe/oh5,0.0032,0,0,0,0
0_10-4,oe/oh1,0.00125,0.00933,0.00921,0.00921,0
0_2-0,25b/5s1,0.00794,0,0,0,0
0_2-1,oh1/e1,0.00389,0.0164,0.03146,0.03146,0
0_2-2,2h1/e1,0.00698,0.03064,0.0364,0.0364,0
0_2-3,2h1/2e,0.00323,0,0.01279,0.01279,0
0_2-4,5s1,0.0,0,0,0,0
0_4-0,4h3/4e,0,0.01648,0,0,0.03071
0_4-1,2h3/e3,0.01576,0,0.02185,0.02185,0
0_4-2,5s1,0.0,0,0,0,0
0_4-3,e3/2h3,0.00246,0.03567,0.01243,0.01243,0
0_4-4,e1,0,0,0,0,0.00574
0_4-5,4h5/4e,0,0.0,0,0,0
0_4-6,4h3/e3,0.00232,0.02167,0.0187,0.0187,0
0_4-7,4e/4h5,0,0.00181,0,0,0.00191
0_5-0,e3/4h3,0.00697,0,0.01867,0.01867,0
0_5-1,os2/oh5,0.0,0,0,0,0
0_5-2,e5/oh5,0,0,0,0,0.0
0_5-3,4h3/4e,0,0.02204,0.02036,0.02036,0
0_5-4,4h5/4e,0,0.06159,0,0,0
0_6-0,4e,0.0,0,0.113,0.113,0
0_8-0,4h5/e5,0.00893,0.03996,0.00731,0.00731,0
0_8-1,oe/oh5,0.0022,0.0193,0,0,0
0_8-2,e5/oh5,0.02877,0.02255,0.06022,0.06022,0
0_8-3,4h3/4e,0.0,0,0,0,0
0_8-4,oe/3ob,0.0,0,0,0,0
0_9-0,4h5/e5,0,0.00902,0.00219,0.00219,0
0_9-1,oh5/oe,0.01428,0.01395,0,0,0
0_9-2,e5,0.0,0,0,0,0
