group,pucker,REFERENCE,AM1,PM3,PM3MM,PM6
0_1-0,e1/oh1,0.1292,n/a,0.08337,0.08337,n/a
0_1-1,oe/oh5,0.02665,n/a,n/a,n/a,n/a
0_1-2,oh1/oe,0.07977,0.05805,0.16203,0.16203,n/a
0_1-3,oh1/e1,0.04403,0.0659,0.09524,0.09524,n/a
0_1-4,e5,n/a,n/a,0.0,0.0,n/a
0_1-5,2h1/2e,0.0,n/a,n/a,n/a,n/a
0_1-6,oh5/4c1,n/a,n/a,n/a,n/a,n/a
0_10-0,oh1/e1,0.09649,n/a,0.09742,0.09742,n/a
0_10-1,oh5/oe,0.06567,0.16222,0.1934,0.1934,0.57163
0_10-2,e5,0.05831,0.0638,0.19951,0.19951,n/a
0_10-3,oe/oh5,0.05058,n/a,n/a,n/a,n/a
0_10-4,oe/oh1,0.0383,0.09659,0.09597,0.09597,n/a
0_2-0,25b/5s1,0.0886,n/a,n/a,n/a,n/a
0_2-1,oh1/e1,0.05088,0.12806,0.17737,0.17737,n/a
0_2-2,2h1/e1,0.09649,0.17504,0.19079,0.19079,n/a
0_2-3,2h1/2e,0.05683,n/a,0.11309,0.11309,n/a
0_2-4,5s1,0.0,n/a,n/a,n/a,n/a
0_4-0,4h3/4e,n/a,0.13472,n/a,n/a,0.17524
0_4-1,2h3/e3,0.12554,n/a,0.13336,0.13336,n/a
0_4-2,5s1,0.0,n/a,n/a,n/a,n/a
0_4-3,e3/2h3,0.07348,0.1945,0.13287,0.13287,n/a
0_4-4,e1,n/a,n/a,n/a,n/a,0.07573
0_4-5,4h5/4e,n/a,0.0,n/a,n/a,n/a
0_4-6,4h3/e3,0.04817,0.15683,0.13675,0.13675,n/a
0_4-7,4e/4h5,n/a,0.04254,n/a,n/a,0.04586
0_5-0,e3/4h3,0.10234,n/a,0.13664,0.13664,n/a
0_5-1,os2/oh5,0.0,n/a,n/a,n/a,n/a
0_5-2,e5/oh5,n/a,n/a,n/a,n/a,0.0
0_5-3,4h3/4e,n/a,0.16494,0.11887,0.11887,n/a
0_5-4,4h5/4e,n/a,0.24817,n/a,n/a,n/a
0_6-0,4e,0.0,n/a,0.32598,0.32598,n/a
0_8-0,4h5/e5,0.09649,0.13964,0.09345,0.09345,n/a
0_8-1,oe/oh5,0.0469,0.13892,n/a,n/a,n/a
0_8-2,e5/oh5,0.16962,0.16759,0.2454,0.2454,n/a
0_8-3,4h3/4e,0.0,n/a,n/a,n/a,n/a
0_8-4,oe/3ob,0.0,n/a,n/a,n/a,n/a
0_9-0,4h5/e5,n/a,0.09497,0.0468,0.0468,n/a
0_9-1,oh5/oe,0.1195,0.11811,n/a,n/a,n/a
0_9-2,e5,0.0,n/a,n/a,n/a,n/a
0_9-3,e5/oh5,n/a,0.13925,0.07681,0.07681,n/a
10_11-0,e2/3h2,0.03248,n/a,0.14068,0.14068,n/a
10_11-1,3e/3ob,0.11437,0.11106,n/a,n/a,0.23531
10_12-0,3h2/3e,0.08096,0.12193,0.28433,0.28433,n/a
10_12-1,e2,0.08289,n/a,0.08289,0.08289,n/a
10_12-2,3ob/3e,0.0505,0.12377,n/a,n/a,0.30083
1_10-0,3ob,0.07589,n/a,0.14526,0.14526,n/a
1_11-0,5h4/5s1,0.10461,n/a,0.14605,0.14605,n/a
1_11-1,3h4/3e,0.02145,n/a,0.08432,0.08432,n/a
1_11-2,5e,0.0,n/a,n/a,n/a,n/a
1_11-3,3h4/3s1,0.08585,n/a,0.11582,0.11582,n/a
1_11-4,3e/3ob,0.0886,n/a,n/a,n/a,n/a
1_12-0,os2/3h2,n/a,0.18682,n/a,n/a,n/a
1_12-1,3e/3h2,n/a,n/a,n/a,n/a,n/a
1_12-2,3e/3ob,n/a,0.05239,n/a,n/a,n/a
1_4-0,25b,0.0,n/a,n/a,n/a,n/a
1_8-0,oe/3ob,n/a,n/a,n/a,n/a,0.0
1_8-1,os2/b25,0.0,n/a,n/a,n/a,n/a
2_11-0,5s1/5e,0.0923,n/a,0.15792,0.15792,n/a
2_11-1,5h4/5e,n/a,n/a,0.09327,0.09327,n/a
2_11-2,5s1,n/a,n/a,n/a,n/a,0.0
2_4-0,25b/5s1,0.0818,0.11329,n/a,n/a,n/a
2_4-1,25b,0.11181,0.09261,0.15869,0.15869,n/a
2_4-2,2so/25b,n/a,0.0,n/a,n/a,n/a
2_5-0,5s1/25b,0.08175,n/a,n/a,n/a,n/a
3_11-0,5e,0.07655,0.07,0.14623,0.14623,n/a
3_4-0,25b/2so,0.0,n/a,n/a,n/a,n/a
3_4-1,2so/25b,n/a,0.08155,n/a,n/a,n/a
4_11-0,bo3/1s3,n/a,n/a,n/a,n/a,0.0
4_11-1,25b/2so,0.08106,n/a,0.04387,0.04387,n/a
4_11-2,1e,0.08191,n/a,0.14947,0.14947,n/a
4_11-3,5e/5h4,0.04555,0.21356,n/a,n/a,n/a
4_11-4,5ho,0.0,n/a,n/a,n/a,n/a
4_11-5,2so/bo3,n/a,n/a,n/a,n/a,0.0
4_11-6,2so/5ho,n/a,n/a,n/a,n/a,0.0
4_11-7,5e,0.10498,0.12748,0.0922,0.0922,n/a
4_12-0,1e/1h2,0.0,n/a,n/a,n/a,n/a
4_12-1,5e,0.11851,0.26401,n/a,n/a,n/a
4_12-2,1ho,0.0,n/a,n/a,n/a,n/a
4_12-3,5ho/eo,n/a,0.14349,n/a,n/a,0.14234
4_12-4,eo/1ho,n/a,0.03493,n/a,n/a,n/a
4_5-0,bo3/e3,0.05805,n/a,0.04517,0.04517,n/a
4_5-1,14b/1s5,n/a,n/a,n/a,n/a,0.0
4_5-2,5s1/25b,n/a,n/a,n/a,n/a,0.0
4_5-3,bo3/e3,0.05718,0.13918,n/a,n/a,n/a
4_6-0,1s3/bo3,0.02335,n/a,n/a,n/a,n/a
4_6-1,1s3,0.0,n/a,n/a,n/a,n/a
4_7-0,14b/4e,0.0,n/a,n/a,n/a,n/a
4_8-0,1s5/14b,n/a,0.11068,n/a,n/a,n/a
4_8-1,14b/4e,0.0,n/a,n/a,n/a,n/a
5_12-0,1e/1h2,0.00922,0.30824,0.1413,0.1413,0.36132
5_12-1,5e,0.0,0.12954,n/a,n/a,0.53413
5_12-2,1ho/1e,0.0,0.43005,n/a,n/a,0.42058
6_11-0,1e,0.12736,n/a,n/a,n/a,n/a
6_11-1,5ho/5e,n/a,n/a,n/a,n/a,n/a
6_11-2,1ho/eo,n/a,0.1003,n/a,n/a,n/a
6_11-3,1h2,n/a,0.12272,n/a,n/a,n/a
6_12-0,1h2/1e,0.11985,0.14002,n/a,n/a,0.28279
6_12-1,5ho,n/a,n/a,n/a,n/a,n/a
6_12-2,1c4/1h2,n/a,n/a,n/a,n/a,n/a
6_12-3,eo/1ho,n/a,n/a,n/a,n/a,n/a
6_12-4,1e/14b,n/a,n/a,n/a,n/a,0.09614
6_12-5,1h2/1s5,n/a,n/a,n/a,n/a,n/a
6_7-0,14b/1s5,0.0,n/a,n/a,n/a,n/a
6_8-0,1s5/14b,n/a,n/a,n/a,n/a,n/a
6_8-1,14b,0.10414,n/a,n/a,n/a,n/a
7_11-0,1e/1h2,0.09518,n/a,0.09607,0.09607,n/a
7_12-0,1h2/1e,n/a,n/a,n/a,n/a,n/a
7_12-1,1h2,0.09343,0.07211,0.11828,0.11828,0.25251
8_10-0,b25/os2,0.09266,0.09187,n/a,n/a,n/a
8_10-1,oe/3ob,n/a,n/a,n/a,n/a,0.0
8_10-2,b25,0.09447,0.05422,n/a,n/a,n/a
8_11-0,1h2/1e,0.03376,n/a,0.16062,0.16062,n/a
8_12-0,1h2,0.09578,n/a,n/a,n/a,n/a
8_12-1,1h2/1e,0.07578,0.11371,n/a,n/a,0.23612
8_9-0,b25,0.0,n/a,n/a,n/a,n/a
