group,pucker,REFERENCE,AM1,PM3,PM3MM,PM6
0_1-0,e1/oh1,0.05008,n/a,0.05441,0.05441,n/a
0_1-1,oe/oh5,0.02665,n/a,n/a,n/a,n/a
0_1-2,oh1/oe,0.02971,0.05805,0.10151,0.10151,n/a
0_1-3,oh1/e1,0.01784,0.03445,0.04648,0.04648,n/a
0_1-4,e5,n/a,n/a,0.0,0.0,n/a
0_1-5,2h1/2e,0.0,n/a,n/a,n/a,n/a
0_1-6,oh5/4c1,n/a,n/a,n/a,n/a,n/a
0_10-0,oh1/e1,0.09649,n/a,0.09742,0.09742,n/a
0_10-1,oh5/oe,0.0313,0.1325,0.13219,0.13219,0.57163
0_10-2,e5,0.04147,0.0638,0.10935,0.10935,n/a
0_10-3,oe/oh5,0.0253,n/a,n/a,n/a,n/a
0_10-4,oe/oh1,0.02041,0.09659,0.09597,0.09597,n/a
0_2-0,25b/5s1,0.06301,n/a,n/a,n/a,n/a
0_2-1,oh1/e1,0.02546,0.12806,0.17737,0.17737,n/a
0_2-2,2h1/e1,0.05908,0.17504,0.19079,0.19079,n/a
0_2-3,2h1/2e,0.05683,n/a,0.11309,0.11309,n/a
0_2-4,5s1,0.0,n/a,n/a,n/a,n/a
0_4-0,4h3/4e,n/a,0.07412,n/a,n/a,0.17524
0_4-1,2h3/e3,0.12554,n/a,0.07391,0.07391,n/a
0_4-2,5s1,0.0,n/a,n/a,n/a,n/a
0_4-3,e3/2h3,0.02864,0.13355,0.06437,0.06437,n/a
0_4-4,e1,n/a,n/a,n/a,n/a,0.05357
0_4-5,4h5/4e,n/a,0.0,n/a,n/a,n/a
0_4-6,4h3/e3,0.04817,0.0736,0.13675,0.13675,n/a
0_4-7,4e/4h5,n/a,0.04254,n/a,n/a,0.02523
0_5-0,e3/4h3,0.03734,n/a,0.13664,0.13664,n/a
0_5-1,os2/oh5,0.0,n/a,n/a,n/a,n/a
0_5-2,e5/oh5,n/a,n/a,n/a,n/a,0.0
0_5-3,4h3/4e,n/a,0.06639,0.07134,0.07134,n/a
0_5-4,4h5/4e,n/a,0.24817,n/a,n/a,n/a
0_6-0,4e,0.0,n/a,0.2377,0.2377,n/a
0_8-0,4h5/e5,0.06682,0.09995,0.04275,0.04275,n/a
0_8-1,oe/oh5,0.0469,0.13892,n/a,n/a,n/a
0_8-2,e5/oh5,0.16962,0.0867,0.2454,0.2454,n/a
0_8-3,4h3/4e,0.0,n/a,n/a,n/a,n/a
0_8-4,oe/3ob,0.0,n/a,n/a,n/a,n/a
0_9-0,4h5/e5,n/a,0.09497,0.0468,0.0468,n/a
0_9-1,oh5/oe,0.1195,0.11811,n/a,n/a,n/a
0_9-2,e5,0.0,n/a,n/a,n/a,n/a
0_9-3,e5/oh5,n/a,0.05688,0.07681,0.07681,n/a
10_11-0,e2/3h2,0.02429,n/a,0.14068,0.14068,n/a
10_11-1,3e/3ob,0.11437,0.06455,n/a,n/a,0.14726
10_12-0,3h2/3e,0.03866,0.06556,0.125,0.125,n/a
10_12-1,e2,0.08289,n/a,0.08289,0.08289,n/a
10_12-2,3ob/3e,0.0505,0.12377,n/a,n/a,0.12853
1_10-0,3ob,0.03479,n/a,0.14526,0.14526,n/a
1_11-0,5h4/5s1,0.04453,n/a,0.09372,0.09372,n/a
1_11-1,3h4/3e,0.01517,n/a,0.08432,0.08432,n/a
1_11-2,5e,0.0,n/a,n/a,n/a,n/a
1_11-3,3h4/3s1,0.08585,n/a,0.09357,0.09357,n/a
1_11-4,3e/3ob,0.0886,n/a,n/a,n/a,n/a
1_12-0,os2/3h2,n/a,0.18682,n/a,n/a,n/a
1_12-1,3e/3h2,n/a,n/a,n/a,n/a,n/a
1_12-2,3e/3ob,n/a,0.03701,n/a,n/a,n/a
1_4-0,25b,0.0,n/a,n/a,n/a,n/a
1_8-0,oe/3ob,n/a,n/a,n/a,n/a,0.0
1_8-1,os2/b25,0.0,n/a,n/a,n/a,n/a
2_11-0,5s1/5e,0.03554,n/a,0.15792,0.15792,n/a
2_11-1,5h4/5e,n/a,n/a,0.0658,0.0658,n/a
2_11-2,5s1,n/a,n/a,n/a,n/a,0.0
2_4-0,25b/5s1,0.0297,0.0995,n/a,n/a,n/a
2_4-1,25b,0.04399,0.03937,0.1005,0.1005,n/a
2_4-2,2so/25b,n/a,0.0,n/a,n/a,n/a
2_5-0,5s1/25b,0.06137,n/a,n/a,n/a,n/a
3_11-0,5e,0.06504,0.07,0.04868,0.04868,n/a
3_4-0,25b/2so,0.0,n/a,n/a,n/a,n/a
3_4-1,2so/25b,n/a,0.04708,n/a,n/a,n/a
4_11-0,bo3/1s3,n/a,n/a,n/a,n/a,0.0
4_11-1,25b/2so,0.03589,n/a,0.02569,0.02569,n/a
4_11-2,1e,0.05762,n/a,0.07785,0.07785,n/a
4_11-3,5e/5h4,0.03514,0.1431,n/a,n/a,n/a
4_11-4,5ho,0.0,n/a,n/a,n/a,n/a
4_11-5,2so/bo3,n/a,n/a,n/a,n/a,0.0
4_11-6,2so/5ho,n/a,n/a,n/a,n/a,0.0
4_11-7,5e,0.10498,0.08453,0.0922,0.0922,n/a
4_12-0,1e/1h2,0.0,n/a,n/a,n/a,n/a
4_12-1,5e,0.08084,0.26401,n/a,n/a,n/a
4_12-2,1ho,0.0,n/a,n/a,n/a,n/a
4_12-3,5ho/eo,n/a,0.14349,n/a,n/a,0.14234
4_12-4,eo/1ho,n/a,0.03493,n/a,n/a,n/a
4_5-0,bo3/e3,0.05805,n/a,0.04517,0.04517,n/a
4_5-1,14b/1s5,n/a,n/a,n/a,n/a,0.0
