group,pucker,REFERENCE,AM1,PM3,PM3MM,PM6
0_1-0,e1/oh1,7.00668,0,53.05861,53.07153,0
0_1-1,oe/oh5,0.0,0,0,0,0
0_1-2,oh1/oe,3.69127,39.42977,97.40122,97.41863,0
0_1-3,oh1/e1,1.22549,125.29735,161.77042,161.79803,0
0_1-4,e5,0,0,29.13659,29.12982,0
0_1-5,2h1/2e,0.0,0,0,0,0
0_1-6,oh5/4c1,0,0,0,0,0
0_10-0,oh1/e1,0.0,0,108.38534,108.39841,0
0_10-1,oh5/oe,28.56862,106.7913,121.53449,121.55405,24.7135
0_10-2,e5,0.04777,109.51272,338.20462,338.24454,0
0_10-3,oe/oh5,0.86324,0,0,0,0
0_10-4,oe/oh1,1.23635,96.62561,59.63944,59.64913,0
0_2-0,25b/5s1,2.59682,0,0,0,0
0_2-1,oh1/e1,1.88995,41.81741,47.78676,47.79544,0
0_2-2,2h1/e1,0.08848,22.88243,39.81973,39.82765,0
0_2-3,2h1/2e,0.0,0,68.58632,68.59671,0
0_2-4,5s1,0.0,0,0,0,0
0_4-0,4h3/4e,0,73.22742,0,0,53.82915
0_4-1,2h3/e3,0.0,0,122.51015,122.53788,0
0_4-2,5s1,0.0,0,0,0,0
0_4-3,e3/2h3,4.35285,3.89008,12.56371,12.57115,0
0_4-4,e1,0,0,0,0,140.16229
0_4-5,4h5/4e,0,15.57411,0,0,0
0_4-6,4h3/e3,0.0,78.26967,9.69506,9.69897,0
0_4-7,4e/4h5,0,21.36502,0,0,144.23728
0_5-0,e3/4h3,2.5151,0,20.61885,20.62455,0
0_5-1,os2/oh5,0.0,0,0,0,0
0_5-2,e5/oh5,0,0,0,0,71.14882
0_5-3,4h3/4e,0,127.21046,125.44971,125.42263,0
0_5-4,4h5/4e,0,21.37663,0,0,0
0_6-0,4e,0.0,0,106.45341,106.47166,0
0_8-0,4h5/e5,3.34054,211.74535,271.30767,271.3488,0
0_8-1,oe/oh5,0.0,59.55182,0,0,0
0_8-2,e5/oh5,0.0,261.09558,114.67291,114.68635,0
0_8-3,4h3/4e,0.0,0,0,0,0
0_8-4,oe/3ob,0.0,0,0,0,0
0_9-0,4h5/e5,0,36.01042,38.59316,38.58536,0
0_9-1,oh5/oe,0.0,53.00292,0,0,0
0_9-2,e5,0.0,0,0,0,0
0_9-3,e5/oh5,0,128.73711,37.64783,37.64013,0
10_11-0,e2/3h2,0.04777,0,38.54592,38.55372,0
10_11-1,3e/3ob,0.0,149.15056,0,0,75.75674
10_12-0,3h2/3e,24.00938,123.96132,39.79777,39.81543,0
10_12-1,e2,0.0,0,44.41984,44.42821,0
10_12-2,3ob/3e,0.0,61.12593,0,0,210.05407
1_10-0,3ob,5.70827,0,21.45717,21.46299,0
1_11-0,5h4/5s1,4.21286,0,134.33201,134.3572,0
1_11-1,3h4/3e,0.0,0,48.68687,48.69563,0
1_11-2,5e,0.0,0,0,0,0
1_11-3,3h4/3s1,0.0,0,138.31277,138.33364,0
1_11-4,3e/3ob,0.0,0,0,0,0
1_12-0,os2/3h2,0,33.00324,0,0,0
1_12-1,3e/3h2,0,0,0,0,0
1_12-2,3e/3ob,0,92.16474,0,0,0
1_4-0,25b,0.0,0,0,0,0
1_8-0,oe/3ob,0,0,0,0,64.05201
1_8-1,os2/b25,0.0,0,0,0,0
2_11-0,5s1/5e,3.17147,0,55.29144,55.30078,0
2_11-1,5h4/5e,0,0,126.88824,126.86828,0
2_11-2,5s1,0,0,0,0,62.41535
2_4-0,25b/5s1,3.5734,117.1735,0,0,0
2_4-1,25b,12.60926,73.99341,115.98612,116.00949,0
2_4-2,2so/25b,0,47.23096,0,0,0
2_5-0,5s1/25b,11.73938,0,0,0,0
3_11-0,5e,0.73679,111.77439,926.81789,926.93231,0
3_4-0,25b/2so,0.0,0,0,0,0
3_4-1,2so/25b,0,95.74463,0,0,0
4_11-0,bo3/1s3,0,0,0,0,20.91494
4_11-1,25b/2so,10.53882,0,110.41407,110.4326,0
4_11-2,1e,0.08848,0,191.08317,191.10749,0
4_11-3,5e/5h4,0.04777,237.63481,0,0,0
4_11-4,5ho,0.0,0,0,0,0
4_11-5,2so/bo3,0,0,0,0,13.11875
4_11-6,2so/5ho,0,0,0,0,25.66314
4_11-7,5e,0.0,224.3259,68.77858,68.78899,0
4_12-0,1e/1h2,0.0,0,0,0,0
4_12-1,5e,7.70388,48.35015,0,0,0
4_12-2,1ho,0.0,0,0,0,0
4_12-3,5ho/eo,0,103.87689,0,0,37.52473
4_12-4,eo/1ho,0,69.28743,0,0,0
4_5-0,bo3/e3,0.0,0,14.37813,14.38289,0
4_5-1,14b/1s5,0,0,0,0,36.14611
4_5-2,5s1/25b,0,0,0,0,65.11099
4_5-3,bo3/e3,0.0,62.64369,0,0,0
4_6-0,1s3/bo3,9.50877,0,0,0,0
4_6-1,1s3,0.0,0,0,0,0
4_7-0,14b/4e,0.0,0,0,0,0
4_8-0,1s5/14b,0,30.348,0,0,0
4_8-1,14b/4e,0.0,0,0,0,0
5_12-0,1e/1h2,0.73679,418.00259,134.56656,134.58713,293.80219
5_12-1,5e,0.0,111.13863,0,0,130.23279
5_12-2,1ho/1e,0.0,90.36521,0,0,264.88852
6_11-0,1e,0.0,0,0,0,0
6_11-1,5ho/5e,0,0,0,0,0
6_11-2,1ho/eo,0,165.09145,0,0,0
6_11-3,1h2,0,40.91136,0,0,0
6_12-0,1h2/1e,24.67716,81.59293,0,0,52.97257
6_12-1,5ho,0,0,0,0,0
6_12-2,1c4/1h2,0,0,0,0,0
6_12-3,eo/1ho,0,0,0,0,0
6_12-4,1e/14b,0,0,0,0,61.87107
6_12-5,1h2/1s5,0,0,0,0,0
6_7-0,14b/1s5,0.0,0,0,0,0
6_8-0,1s5/14b,0,0,0,0,0
6_8-1,14b,2.63906,0,0,0,0
7_11-0,1e/1h2,0.0,0,124.51151,124.52551,0
7_12-0,1h2/1e,0,0,0,0,0
7_12-1,1h2,0.0,35.67107,45.07262,45.08105,72.95805
8_10-0,b25/os2,2.39026,83.07018,0,0,0
8_10-1,oe/3ob,0,0,0,0,71.3819
8_10-2,b25,0.08848,46.84814,0,0,0
8_11-0,1h2/1e,0.04777,0,55.61775,55.62711,0
8_12-0,1h2,5.49374,0,0,0,0
8_12-1,1h2/1e,0.88491,242.6447,0,0,130.60519
8_9-0,b25,0.0,0,0,0,0
