group,pucker,REFERENCE,AM1,PM3,PM3MM,PM6
0_1-0,e1/oh1,0.38668,0,26.87853,26.88504,0
0_1-1,oe/oh5,0.0,0,0,0,0
0_1-2,oh1/oe,0.06341,39.42977,57.71448,57.724,0
0_1-3,oh1/e1,0.10207,53.6532,57.14232,57.15179,0
0_1-4,e5,0,0,29.13659,29.12982,0
0_1-5,2h1/2e,0.0,0,0,0,0
0_1-6,oh5/4c1,0,0,0,0,0
0_10-0,oh1/e1,0.0,0,108.38534,108.39841,0
0_10-1,oh5/oe,0.28133,73.76862,62.33268,62.34258,24.7135
0_10-2,e5,0.02112,109.51272,121.07719,121.09099,0
0_10-3,oe/oh5,0.12405,0,0,0,0
0_10-4,oe/oh1,0.18661,96.62561,59.63944,59.64913,0
0_2-0,25b/5s1,0.14659,0,0,0,0
0_2-1,oh1/e1,0.16599,41.81741,47.78676,47.79544,0
0_2-2,2h1/e1,0.03576,22.88243,39.81973,39.82765,0
0_2-3,2h1/2e,0.0,0,68.58632,68.59671,0
0_2-4,5s1,0.0,0,0,0,0
0_4-0,4h3/4e,0,23.96952,0,0,53.82915
0_4-1,2h3/e3,0.0,0,32.8261,32.83328,0
0_4-2,5s1,0.0,0,0,0,0
0_4-3,e3/2h3,0.26559,2.87499,5.82235,5.82534,0
0_4-4,e1,0,0,0,0,69.7109
0_4-5,4h5/4e,0,15.57411,0,0,0
0_4-6,4h3/e3,0.0,20.20147,9.69506,9.69897,0
0_4-7,4e/4h5,0,21.36502,0,0,45.6236
0_5-0,e3/4h3,0.25112,0,20.61885,20.62455,0
0_5-1,os2/oh5,0.0,0,0,0,0
0_5-2,e5/oh5,0,0,0,0,71.14882
0_5-3,4h3/4e,0,18.6704,13.37914,13.37458,0
0_5-4,4h5/4e,0,21.37663,0,0,0
0_6-0,4e,0.0,0,59.54833,59.55801,0
0_8-0,4h5/e5,0.13473,60.66118,81.86778,81.87911,0
0_8-1,oe/oh5,0.0,59.55182,0,0,0
0_8-2,e5/oh5,0.0,88.78519,114.67291,114.68635,0
0_8-3,4h3/4e,0.0,0,0,0,0
0_8-4,oe/3ob,0.0,0,0,0,0
0_9-0,4h5/e5,0,36.01042,38.59316,38.58536,0
0_9-1,oh5/oe,0.0,53.00292,0,0,0
0_9-2,e5,0.0,0,0,0,0
0_9-3,e5/oh5,0,51.98492,37.64783,37.64013,0
10_11-0,e2/3h2,0.02112,0,38.54592,38.55372,0
10_11-1,3e/3ob,0.0,51.39613,0,0,40.46699
10_12-0,3h2/3e,0.31568,33.31295,8.26723,8.27083,0
10_12-1,e2,0.0,0,44.41984,44.42821,0
10_12-2,3ob/3e,0.0,61.12593,0,0,58.60608
1_10-0,3ob,0.2168,0,21.45717,21.46299,0
1_11-0,5h4/5s1,0.09303,0,45.51975,45.52822,0
1_11-1,3h4/3e,0.0,0,48.68687,48.69563,0
1_11-2,5e,0.0,0,0,0,0
1_11-3,3h4/3s1,0.0,0,70.41681,70.42734,0
1_11-4,3e/3ob,0.0,0,0,0,0
1_12-0,os2/3h2,0,33.00324,0,0,0
1_12-1,3e/3h2,0,0,0,0,0
1_12-2,3e/3ob,0,46.08006,0,0,0
1_4-0,25b,0.0,0,0,0,0
1_8-0,oe/3ob,0,0,0,0,64.05201
1_8-1,os2/b25,0.0,0,0,0,0
2_11-0,5s1/5e,0.08377,0,55.29144,55.30078,0
2_11-1,5h4/5e,0,0,59.23259,59.22294,0
2_11-2,5s1,0,0,0,0,62.41535
2_4-0,25b/5s1,0.3203,62.39574,0,0,0
2_4-1,25b,0.27922,30.41281,41.36478,41.37284,0
2_4-2,2so/25b,0,47.23096,0,0,0
2_5-0,5s1/25b,0.18517,0,0,0,0
3_11-0,5e,0.13161,111.77439,111.34105,111.35428,0
3_4-0,25b/2so,0.0,0,0,0,0
3_4-1,2so/25b,0,22.40459,0,0,0
4_11-0,bo3/1s3,0,0,0,0,20.91494
4_11-1,25b/2so,0.14376,0,66.09408,66.10427,0
4_11-2,1e,0.03576,0,119.8129,119.82663,0
4_11-3,5e/5h4,0.02112,88.72555,0,0,0
4_11-4,5ho,0.0,0,0,0,0
4_11-5,2so/bo3,0,0,0,0,13.11875
4_11-6,2so/5ho,0,0,0,0,25.66314
4_11-7,5e,0.0,113.61141,68.77858,68.78899,0
4_12-0,1e/1h2,0.0,0,0,0,0
4_12-1,5e,0.06806,48.35015,0,0,0
4_12-2,1ho,0.0,0,0,0,0
4_12-3,5ho/eo,0,103.87689,0,0,37.52473
4_12-4,eo/1ho,0,69.28743,0,0,0
4_5-0,bo3/e3,0.0,0,14.37813,14.38289,0
4_5-1,14b/1s5,0,0,0,0,36.14611
4_5-2,5s1/25b,0,0,0,0,65.11099
4_5-3,bo3/e3,0.0,32.53951,0,0,0
4_6-0,1s3/bo3,0.05061,0,0,0,0
