group,pucker,REFERENCE,AM1,PM3,PM3MM,PM6
0_1-0,e1/oh1,1.18378,n/a,5.15066,5.15129,n/a
0_1-1,oe/oh5,0.0,n/a,n/a,n/a,n/a
0_1-2,oh1/oe,0.96063,6.27931,6.97858,6.97921,n/a
0_1-3,oh1/e1,0.45194,6.46265,7.34326,7.34389,n/a
0_1-4,e5,n/a,n/a,5.39783,5.3972,n/a
0_1-5,2h1/2e,0.0,n/a,n/a,n/a,n/a
0_1-6,oh5/4c1,n/a,n/a,n/a,n/a,n/a
0_10-0,oh1/e1,0.0,n/a,10.41083,10.41146,n/a
0_10-1,oh5/oe,2.39034,7.30723,7.79533,7.79596,4.97127
0_10-2,e5,0.15455,10.46483,10.61767,10.61829,n/a
0_10-3,oe/oh5,0.41551,n/a,n/a,n/a,n/a
0_10-4,oe/oh1,0.64196,9.82983,7.72266,7.72328,n/a
0_2-0,25b/5s1,1.13948,n/a,n/a,n/a,n/a
0_2-1,oh1/e1,0.56124,6.46664,6.9128,6.91342,n/a
0_2-2,2h1/e1,0.21033,4.78356,6.31029,6.31092,n/a
0_2-3,2h1/2e,0.0,n/a,8.28169,8.28231,n/a
0_2-4,5s1,0.0,n/a,n/a,n/a,n/a
0_4-0,4h3/4e,n/a,4.94056,n/a,n/a,7.33684
0_4-1,2h3/e3,0.0,n/a,5.53422,5.53484,n/a
0_4-2,5s1,0.0,n/a,n/a,n/a,n/a
0_4-3,e3/2h3,1.20455,1.39465,2.04644,2.04704,n/a
0_4-4,e1,n/a,n/a,n/a,n/a,8.37145
0_4-5,4h5/4e,n/a,3.9464,n/a,n/a,n/a
0_4-6,4h3/e3,0.0,4.42351,3.11369,3.11432,n/a
0_4-7,4e/4h5,n/a,4.62223,n/a,n/a,6.93391
0_5-0,e3/4h3,0.70924,n/a,4.5408,4.54143,n/a
0_5-1,os2/oh5,0.0,n/a,n/a,n/a,n/a
0_5-2,e5/oh5,n/a,n/a,n/a,n/a,8.43498
0_5-3,4h3/4e,n/a,5.04402,5.60022,5.59961,n/a
0_5-4,4h5/4e,n/a,4.62349,n/a,n/a,n/a
0_6-0,4e,0.0,n/a,7.29566,7.29629,n/a
0_8-0,4h5/e5,1.29239,7.27574,8.23571,8.23633,n/a
0_8-1,oe/oh5,0.0,7.71698,n/a,n/a,n/a
0_8-2,e5/oh5,0.0,9.32909,10.70854,10.70917,n/a
0_8-3,4h3/4e,0.0,n/a,n/a,n/a,n/a
0_8-4,oe/3ob,0.0,n/a,n/a,n/a,n/a
0_9-0,4h5/e5,n/a,6.00087,6.21234,6.21171,n/a
0_9-1,oh5/oe,0.0,7.28031,n/a,n/a,n/a
0_9-2,e5,0.0,n/a,n/a,n/a,n/a
0_9-3,e5/oh5,n/a,8.023,6.13578,6.13516,n/a
10_11-0,e2/3h2,0.15455,n/a,6.20854,6.20916,n/a
10_11-1,3e/3ob,0.0,7.05102,n/a,n/a,6.15454
10_12-0,3h2/3e,1.852,5.5669,2.82127,2.82189,n/a
10_12-1,e2,0.0,n/a,6.66482,6.66545,n/a
10_12-2,3ob/3e,0.0,7.81831,n/a,n/a,7.24662
1_10-0,3ob,1.1946,n/a,4.63219,4.63282,n/a
1_11-0,5h4/5s1,1.02626,n/a,6.69159,6.69221,n/a
1_11-1,3h4/3e,0.0,n/a,6.9776,6.97823,n/a
1_11-2,5e,0.0,n/a,n/a,n/a,n/a
1_11-3,3h4/3s1,0.0,n/a,8.31603,8.31666,n/a
1_11-4,3e/3ob,0.0,n/a,n/a,n/a,n/a
1_12-0,os2/3h2,n/a,5.74484,n/a,n/a,n/a
1_12-1,3e/3h2,n/a,n/a,n/a,n/a,n/a
1_12-2,3e/3ob,n/a,6.7884,n/a,n/a,n/a
1_4-0,25b,0.0,n/a,n/a,n/a,n/a
1_8-0,oe/3ob,n/a,n/a,n/a,n/a,8.00325
1_8-1,os2/b25,0.0,n/a,n/a,n/a,n/a
2_11-0,5s1/5e,1.02818,n/a,7.43582,7.43645,n/a
2_11-1,5h4/5e,n/a,n/a,7.96518,7.96456,n/a
2_11-2,5s1,n/a,n/a,n/a,n/a,7.90034
2_4-0,25b/5s1,0.84539,7.6542,n/a,n/a,n/a
2_4-1,25b,1.77548,4.96633,6.21788,6.21851,n/a
2_4-2,2so/25b,n/a,6.87248,n/a,n/a,n/a
2_5-0,5s1/25b,1.97816,n/a,n/a,n/a,n/a
3_11-0,5e,0.60696,10.57234,10.14789,10.14852,n/a
3_4-0,25b/2so,0.0,n/a,n/a,n/a,n/a
3_4-1,2so/25b,n/a,5.64933,n/a,n/a,n/a
4_11-0,bo3/1s3,n/a,n/a,n/a,n/a,4.57329
4_11-1,25b/2so,1.45181,n/a,7.43014,7.43077,n/a
4_11-2,1e,0.21033,n/a,9.77454,9.77516,n/a
4_11-3,5e/5h4,0.15455,8.90009,n/a,n/a,n/a
4_11-4,5ho,0.0,n/a,n/a,n/a,n/a
4_11-5,2so/bo3,n/a,n/a,n/a,n/a,3.62198
4_11-6,2so/5ho,n/a,n/a,n/a,n/a,5.06588
4_11-7,5e,0.0,10.5907,8.29329,8.29391,n/a
4_12-0,1e/1h2,0.0,n/a,n/a,n/a,n/a
4_12-1,5e,1.96264,6.95343,n/a,n/a,n/a
4_12-2,1ho,0.0,n/a,n/a,n/a,n/a
4_12-3,5ho/eo,n/a,10.192,n/a,n/a,6.12574
4_12-4,eo/1ho,n/a,8.32391,n/a,n/a,n/a
4_5-0,bo3/e3,0.0,n/a,3.79185,3.79248,n/a
4_5-1,14b/1s5,n/a,n/a,n/a,n/a,6.01216
4_5-2,5s1/25b,n/a,n/a,n/a,n/a,8.06914
4_5-3,bo3/e3,0.0,5.59659,n/a,n/a,n/a
4_6-0,1s3/bo3,2.18046,n/a,n/a,n/a,n/a
4_6-1,1s3,0.0,n/a,n/a,n/a,n/a
4_7-0,14b/4e,0.0,n/a,n/a,n/a,n/a
4_8-0,1s5/14b,n/a,5.5089,n/a,n/a,n/a
4_8-1,14b/4e,0.0,n/a,n/a,n/a,n/a
5_12-0,1e/1h2,0.60696,9.14333,8.20264,8.20327,9.89616
5_12-1,5e,0.0,10.54223,n/a,n/a,11.41196
5_12-2,1ho/1e,0.0,9.50606,n/a,n/a,11.50844
6_11-0,1e,0.0,n/a,n/a,n/a,n/a
6_11-1,5ho/5e,n/a,n/a,n/a,n/a,n/a
6_11-2,1ho/eo,n/a,9.08547,n/a,n/a,n/a
6_11-3,1h2,n/a,6.3962,n/a,n/a,n/a
6_12-0,1h2/1e,2.48381,6.38721,n/a,n/a,7.27823
6_12-1,5ho,n/a,n/a,n/a,n/a,n/a
6_12-2,1c4/1h2,n/a,n/a,n/a,n/a,n/a
6_12-3,eo/1ho,n/a,n/a,n/a,n/a,n/a
6_12-4,1e/14b,n/a,n/a,n/a,n/a,4.54133
6_12-5,1h2/1s5,n/a,n/a,n/a,n/a,n/a
6_7-0,14b/1s5,0.0,n/a,n/a,n/a,n/a
6_8-0,1s5/14b,n/a,n/a,n/a,n/a,n/a
6_8-1,14b,0.81226,n/a,n/a,n/a,n/a
7_11-0,1e/1h2,0.0,n/a,11.15847,11.1591,n/a
7_12-0,1h2/1e,n/a,n/a,n/a,n/a,n/a
7_12-1,1h2,0.0,5.97253,6.71361,6.71424,8.54155
8_10-0,b25/os2,0.63117,6.44477,n/a,n/a,n/a
8_10-1,oe/3ob,n/a,n/a,n/a,n/a,8.44878
8_10-2,b25,0.21033,6.84457,n/a,n/a,n/a
8_11-0,1h2/1e,0.15455,n/a,7.45773,7.45836,n/a
8_12-0,1h2,0.95688,n/a,n/a,n/a,n/a
8_12-1,1h2/1e,0.47035,6.35931,n/a,n/a,8.081
8_9-0,b25,0.0,n/a,n/a,n/a,n/a
