group,pucker,REFERENCE,AM1,PM3,PM3MM,PM6
0_1-0,e1/oh1,0.27809,n/a,3.66596,3.6664,n/a
0_1-1,oe/oh5,0.0,n/a,n/a,n/a,n/a
0_1-2,oh1/oe,0.12591,6.27931,5.37189,5.37234,n/a
0_1-3,oh1/e1,0.13043,4.229,4.36434,4.3647,n/a
0_1-4,e5,n/a,n/a,5.39783,5.3972,n/a
0_1-5,2h1/2e,0.0,n/a,n/a,n/a,n/a
0_1-6,oh5/4c1,n/a,n/a,n/a,n/a,n/a
0_10-0,oh1/e1,0.0,n/a,10.41083,10.41146,n/a
0_10-1,oh5/oe,0.2372,6.07325,5.58268,5.58313,4.97127
0_10-2,e5,0.10276,10.46483,6.35288,6.35324,n/a
0_10-3,oe/oh5,0.15751,n/a,n/a,n/a,n/a
0_10-4,oe/oh1,0.24941,9.82983,7.72266,7.72328,n/a
0_2-0,25b/5s1,0.27073,n/a,n/a,n/a,n/a
0_2-1,oh1/e1,0.16633,6.46664,6.9128,6.91342,n/a
0_2-2,2h1/e1,0.13372,4.78356,6.31029,6.31092,n/a
0_2-3,2h1/2e,0.0,n/a,8.28169,8.28231,n/a
0_2-4,5s1,0.0,n/a,n/a,n/a,n/a
0_4-0,4h3/4e,n/a,2.82663,n/a,n/a,7.33684
0_4-1,2h3/e3,0.0,n/a,2.8647,2.86502,n/a
0_4-2,5s1,0.0,n/a,n/a,n/a,n/a
0_4-3,e3/2h3,0.29754,1.19896,1.39312,1.39348,n/a
0_4-4,e1,n/a,n/a,n/a,n/a,5.90385
0_4-5,4h5/4e,n/a,3.9464,n/a,n/a,n/a
0_4-6,4h3/e3,0.0,2.2473,3.11369,3.11432,n/a
0_4-7,4e/4h5,n/a,4.62223,n/a,n/a,3.89973
0_5-0,e3/4h3,0.22411,n/a,4.5408,4.54143,n/a
0_5-1,os2/oh5,0.0,n/a,n/a,n/a,n/a
0_5-2,e5/oh5,n/a,n/a,n/a,n/a,8.43498
0_5-3,4h3/4e,n/a,1.93238,1.82888,1.82856,n/a
0_5-4,4h5/4e,n/a,4.62349,n/a,n/a,n/a
0_6-0,4e,0.0,n/a,5.45657,5.45701,n/a
0_8-0,4h5/e5,0.25955,3.89426,4.52404,4.52435,n/a
0_8-1,oe/oh5,0.0,7.71698,n/a,n/a,n/a
0_8-2,e5/oh5,0.0,5.44013,10.70854,10.70917,n/a
0_8-3,4h3/4e,0.0,n/a,n/a,n/a,n/a
0_8-4,oe/3ob,0.0,n/a,n/a,n/a,n/a
0_9-0,4h5/e5,n/a,6.00087,6.21234,6.21171,n/a
0_9-1,oh5/oe,0.0,7.28031,n/a,n/a,n/a
0_9-2,e5,0.0,n/a,n/a,n/a,n/a
0_9-3,e5/oh5,n/a,5.09828,6.13578,6.13516,n/a
10_11-0,e2/3h2,0.10276,n/a,6.20854,6.20916,n/a
10_11-1,3e/3ob,0.0,4.13909,n/a,n/a,4.49817
10_12-0,3h2/3e,0.21236,2.88587,1.28586,1.28614,n/a
10_12-1,e2,0.0,n/a,6.66482,6.66545,n/a
10_12-2,3ob/3e,0.0,7.81831,n/a,n/a,3.82773
