group,pucker,method
9_11-14,e2/3h2,AM1
5_11-31,5ho/5e,AM1
5_11-81,1h2/1e,AM1
3_12-34,5h4,AM1
3_12-98,5e/5h4,AM1
5_8-57,1s5/14b,AM1
5_8-58,1s5/14b,AM1
5_8-70,14b/4e,AM1
5_8-71,14b/1s5,AM1
1_3-72,b14,AM1
9_9-0,b25/os2,PM3
0_3-1,2h1,PM3
0_3-2,2h1/e1,PM3
0_3-4,2h1,PM3
0_3-5,2h1/2e,PM3
0_3-63,oh1/e1,PM3
3_8-9,3ob/3s1,PM3
9_10-14,os2,PM3
9_12-25,e2/b25,PM3
9_12-27,e2/3h2,PM3
9_12-29,e2/3h2,PM3
9_12-30,e2/3h2,PM3
9_12-31,e2,PM3
3_3-35,25b,PM3
2_10-39,b14/e1,PM3
5_11-44,1e/1ho,PM3
5_11-45,1e,PM3
5_11-46,1e,PM3
5_8-79,14b/1s5,PM3
1_1-81,b14/3s1,PM3
2_3-88,5s1,PM3
2_2-91,5s1/b14,PM3
9_9-0,b25/os2,PM3MM
0_3-1,2h1,PM3MM
0_3-2,2h1,PM3MM
0_3-3,2h1/e1,PM3MM
0_3-5,2h1/2e,PM3MM
0_3-61,oh1/e1,PM3MM
3_8-9,3ob/3s1,PM3MM
9_10-14,os2,PM3MM
9_12-26,e2/3h2,PM3MM
9_12-27,e2/3h2,PM3MM
9_12-28,e2/b25,PM3MM
9_12-29,e2,PM3MM
9_12-30,e2/3h2,PM3MM
3_3-33,25b,PM3MM
1_1-39,b14/3s1,PM3MM
5_11-43,1e,PM3MM
5_11-46,1e,PM3MM
5_11-47,1e/1ho,PM3MM
5_8-79,14b/1s5,PM3MM
2_10-80,b14/e1,PM3MM
2_2-89,5s1/b14,PM3MM
2_3-90,5s1,PM3MM
5_9-0,1s5/14b,PM6
5_9-1,1s5/14b,PM6
5_9-34,14b/4e,PM6
5_8-4,1s5/14b,PM6
3_5-5,bo3/1s3,PM6
5_11-7,1ho/eo,PM6
3_9-11,3ob/3s1,PM6
3_9-24,3s1/3ob,PM6
9_11-15,e2/b25,PM6
9_11-44,e2/b25,PM6
9_10-21,os2,PM6
3_6-22,eo/bo3,PM6
2_12-25,3s1/b14,PM6
11_11-27,e2/1h2,PM6
4_4-39,e1/oh1,PM6
9_12-41,b25/1s5,PM6
