group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh5/oe,0.0,17.06176,325.65493,166.86432,245.58358,245.58358,0
0_1-1,oh1/e1,9.36889,25.71744,0,0,244.78203,244.78203,0
0_1-2,oe/oh1,0.0,16.48757,0,144.97414,174.22759,0,0
0_2-0,oh1/e1,1.31384,34.68681,0,0,0,0,0
0_2-1,e1/oh1,0.0,0,0,0,0,0,0
0_3-0,e1/oh1,0.32871,28.08371,0,198.98013,419.51232,419.51232,0
0_3-1,2h3/2e,0.0,15.31684,0,0,0,0,0
0_4-0,e3,0.0,8.75037,0,0,0,0,0
0_4-1,4h3/e3,1.03185,20.84295,28.02119,231.26645,148.74417,148.74417,50.7417
0_4-2,2h3/2e,0.0,11.17879,0,12.10789,61.46873,61.46873,23.95782
0_6-0,e5/4h5,0.47417,28.20588,371.91577,116.29469,334.61592,334.61592,112.2965
0_7-0,oh5/os2,0.0,16.63129,498.12566,339.04744,414.02848,414.02848,0
1_6-0,b25,0.00715,6.14158,0,0,0,0,0
1_6-1,os2/b25,0.21495,6.44511,0,0,0,0,148.47929
1_7-0,3ob,0.0,3.15399,58.9948,0,0,0,0
1_8-0,3h2/3e,0.44742,30.79264,138.87693,80.20874,0,0,114.28397
1_8-1,3h4/e4,0.0,6.86733,200.3718,0,0,73.13283,44.39519
2_3-0,b14,0.0,8.19549,0,0,147.33074,147.33074,0
2_7-0,3ob,0.0,6.16063,0,0,0,0,0
3_4-0,25b/2so,0.0,0,57.14246,0,0,0,0
3_8-0,5e,0.61269,51.79098,444.32667,297.18712,483.60195,314.10563,0
4_5-0,bo3,0.0,5.79689,0,0,0,0,0
4_6-0,14b,0.12968,12.01303,0,57.43472,181.84988,181.84988,52.29542
4_7-0,14b,0.0,0,0,325.87777,0,0,138.14222
4_8-0,5ho,0.65372,38.56236,259.20296,439.51001,265.89829,265.89829,0
4_8-1,3h4/3s1,0.32871,0,0,0,0,0,0
4_8-2,5e,0.94309,24.85656,0,328.32271,704.48172,704.48172,107.14919
5_6-0,14b,0.0,35.88363,510.12426,100.51297,294.15741,294.15741,288.1227
5_7-0,14b,0.0,10.09763,0,0,0,0,0
5_8-0,1e/1ho,4.70504,26.31729,200.19119,0,0,0,141.79302
5_8-1,5e/5ho,0.0,0,106.21348,133.83113,0,0,395.69401
6_7-0,b25/1s5,0.0,19.68603,0,204.34652,0,0,0
6_8-0,1h2/e2,0.0,9.54324,0,116.85794,0,0,660.0609
6_8-1,1h2/1e,5.80948,9.63221,139.74092,165.77064,213.44108,213.44108,163.63925
6_8-2,1e/1ho,0.0,0,360.39562,0,0,0,0
7_8-0,3h2/e2,0.6996,41.22488,251.06743,478.76889,453.40128,513.54015,0
