group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh5/oe,0.0,17.06176,114.77503,166.86432,245.58358,245.58358,0
0_1-1,oh1/e1,0.19909,14.46842,0,0,139.65276,139.65276,0
0_1-2,oe/oh1,0.0,16.48757,0,144.97414,174.22759,0,0
0_2-0,oh1/e1,0.1551,14.01293,0,0,0,0,0
0_2-1,e1/oh1,0.0,0,0,0,0,0,0
0_3-0,e1/oh1,0.09036,13.54623,0,118.91748,152.38261,152.38261,0
0_3-1,2h3/2e,0.0,15.31684,0,0,0,0,0
0_4-0,e3,0.0,8.75037,0,0,0,0,0
0_4-1,4h3/e3,0.18139,12.28267,28.02119,62.61361,84.80765,84.80765,50.7417
0_4-2,2h3/2e,0.0,11.17879,0,12.10789,61.46873,61.46873,23.95782
0_6-0,e5/4h5,0.10961,15.52214,93.3678,116.29469,177.15156,177.15156,112.2965
0_7-0,oh5/os2,0.0,16.63129,124.9039,181.25289,225.65085,225.65085,0
1_6-0,b25,0.0035,6.14158,0,0,0,0,0
1_6-1,os2/b25,0.06941,3.46367,0,0,0,0,59.58918
1_7-0,3ob,0.0,3.15399,58.9948,0,0,0,0
1_8-0,3h2/3e,0.09044,11.53077,53.82829,80.20874,0,0,114.28397
1_8-1,3h4/e4,0.0,6.86733,52.04124,0,0,73.13283,44.39519
2_3-0,b14,0.0,8.19549,0,0,147.33074,147.33074,0
2_7-0,3ob,0.0,6.16063,0,0,0,0,0
3_4-0,25b/2so,0.0,0,28.61776,0,0,0,0
3_8-0,5e,0.11162,15.38747,112.15136,148.66731,167.07843,164.99459,0
4_5-0,bo3,0.0,5.79689,0,0,0,0,0
4_6-0,14b,0.04836,6.37308,0,57.43472,67.55426,67.55426,52.29542
4_7-0,14b,0.0,0,0,194.71616,0,0,138.14222
4_8-0,5ho,0.12597,17.72654,130.65292,177.0742,144.47239,144.47239,0
4_8-1,3h4/3s1,0.09036,0,0,0,0,0,0
4_8-2,5e,0.09647,8.33008,0,83.53901,93.81072,93.81072,107.14919
5_6-0,14b,0.0,26.71561,88.07898,100.51297,105.01164,105.01164,102.41183
5_7-0,14b,0.0,10.09763,0,0,0,0,0
5_8-0,1e/1ho,0.29854,9.01724,73.37167,0,0,0,141.79302
5_8-1,5e/5ho,0.0,0,106.21348,133.83113,0,0,198.79692
6_7-0,b25/1s5,0.0,11.82885,0,105.01651,0,0,0
6_8-0,1h2/e2,0.0,9.54324,0,116.85794,0,0,156.74318
6_8-1,1h2/1e,0.25214,5.87507,42.80886,83.51344,72.73093,72.73093,81.90631
6_8-2,1e/1ho,0.0,0,90.15079,0,0,0,0
7_8-0,3h2/e2,0.15304,16.16669,82.13118,111.63867,97.65492,97.2699,0
