group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh5/oe,0.0,4.13059,10.41881,12.9176,15.67111,15.67111,n/a
0_1-1,oh1/e1,1.76719,2.92788,n/a,n/a,11.06305,11.06305,n/a
0_1-2,oe/oh1,0.0,4.06049,n/a,12.04052,13.19953,n/a,n/a
0_2-0,oh1/e1,0.66178,3.40033,n/a,n/a,n/a,n/a,n/a
0_2-1,e1/oh1,0.0,n/a,n/a,n/a,n/a,n/a,n/a
0_3-0,e1/oh1,0.40541,3.05961,n/a,9.97447,11.82529,11.82529,n/a
0_3-1,2h3/2e,0.0,3.91367,n/a,n/a,n/a,n/a,n/a
0_4-0,e3,0.0,2.9581,n/a,n/a,n/a,n/a,n/a
0_4-1,4h3/e3,0.58647,3.22823,5.2935,7.60372,8.62393,8.62393,7.12332
0_4-2,2h3/2e,0.0,3.34347,n/a,3.47964,7.8402,7.8402,4.89467
0_6-0,e5/4h5,0.48691,3.75539,9.64256,10.784,12.93476,12.93476,10.597
0_7-0,oh5/os2,0.0,4.07815,11.15936,13.02013,14.38799,14.38799,n/a
1_6-0,b25,0.05979,2.47822,n/a,n/a,n/a,n/a,n/a
1_6-1,os2/b25,0.32783,1.79515,n/a,n/a,n/a,n/a,7.03513
1_7-0,3ob,0.0,1.77595,7.68081,n/a,n/a,n/a,n/a
1_8-0,3h2/3e,0.33445,3.20378,6.80385,8.95593,n/a,n/a,10.69037
1_8-1,3h4/e4,0.0,2.62056,7.07764,n/a,n/a,8.55177,6.66297
2_3-0,b14,0.0,2.86278,n/a,n/a,12.13799,12.13799,n/a
2_7-0,3ob,0.0,2.48206,n/a,n/a,n/a,n/a,n/a
3_4-0,25b/2so,0.0,n/a,5.34521,n/a,n/a,n/a,n/a
3_8-0,5e,0.45192,3.5983,10.53953,12.1899,12.69648,12.53207,n/a
4_5-0,bo3,0.0,2.40767,n/a,n/a,n/a,n/a,n/a
4_6-0,14b,0.25464,2.00109,n/a,7.57857,7.78567,7.78567,7.23156
4_7-0,14b,0.0,n/a,n/a,12.76475,n/a,n/a,11.75339
4_8-0,5ho,0.57172,3.58526,11.38426,12.10386,11.53036,11.53036,n/a
4_8-1,3h4/3s1,0.40541,n/a,n/a,n/a,n/a,n/a,n/a
4_8-2,5e,0.48556,2.87846,n/a,9.05984,9.38404,9.38404,10.35129
5_6-0,14b,0.0,4.23578,9.22067,10.02562,9.90214,9.90214,9.80005
5_7-0,14b,0.0,3.17768,n/a,n/a,n/a,n/a,n/a
5_8-0,1e/1ho,1.08456,2.29422,8.16887,n/a,n/a,n/a,11.90769
5_8-1,5e/5ho,0.0,n/a,10.30599,11.56854,n/a,n/a,14.06581
6_7-0,b25/1s5,0.0,3.13736,n/a,10.10808,n/a,n/a,n/a
6_8-0,1h2/e2,0.0,3.08921,n/a,10.81009,n/a,n/a,10.48857
6_8-1,1h2/1e,1.39158,1.79185,5.9106,9.10414,8.43487,8.43487,9.04542
6_8-2,1e/1ho,0.0,n/a,9.49204,n/a,n/a,n/a,n/a
7_8-0,3h2/e2,0.48291,3.21033,7.92255,8.93279,8.69292,8.56521,n/a
