group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh5/oe,0.0,4.13059,6.18533,12.9176,15.67111,15.67111,n/a
0_1-1,oh1/e1,0.25761,2.19609,n/a,n/a,8.35622,8.35622,n/a
0_1-2,oe/oh1,0.0,4.06049,n/a,12.04052,13.19953,n/a,n/a
0_2-0,oh1/e1,0.22738,2.16124,n/a,n/a,n/a,n/a,n/a
0_2-1,e1/oh1,0.0,n/a,n/a,n/a,n/a,n/a,n/a
0_3-0,e1/oh1,0.21256,2.12495,n/a,7.71095,7.12701,7.12701,n/a
0_3-1,2h3/2e,0.0,3.91367,n/a,n/a,n/a,n/a,n/a
0_4-0,e3,0.0,2.9581,n/a,n/a,n/a,n/a,n/a
0_4-1,4h3/e3,0.24589,2.47817,5.2935,3.95644,6.51182,6.51182,7.12332
0_4-2,2h3/2e,0.0,3.34347,n/a,3.47964,7.8402,7.8402,4.89467
0_6-0,e5/4h5,0.2341,2.78587,4.83135,10.784,9.41147,9.41147,10.597
0_7-0,oh5/os2,0.0,4.07815,5.58802,9.51979,10.62193,10.62193,n/a
1_6-0,b25,0.04183,2.47822,n/a,n/a,n/a,n/a,n/a
1_6-1,os2/b25,0.18629,1.31599,n/a,n/a,n/a,n/a,4.4568
1_7-0,3ob,0.0,1.77595,7.68081,n/a,n/a,n/a,n/a
1_8-0,3h2/3e,0.15037,1.96051,4.23589,8.95593,n/a,n/a,10.69037
1_8-1,3h4/e4,0.0,2.62056,3.60698,n/a,n/a,8.55177,6.66297
2_3-0,b14,0.0,2.86278,n/a,n/a,12.13799,12.13799,n/a
2_7-0,3ob,0.0,2.48206,n/a,n/a,n/a,n/a,n/a
3_4-0,25b/2so,0.0,n/a,3.78271,n/a,n/a,n/a,n/a
3_8-0,5e,0.19289,1.96134,5.29508,8.6217,7.46276,9.0828,n/a
4_5-0,bo3,0.0,2.40767,n/a,n/a,n/a,n/a,n/a
4_6-0,14b,0.1555,1.45752,n/a,7.57857,4.74532,4.74532,7.23156
4_7-0,14b,0.0,n/a,n/a,9.86702,n/a,n/a,11.75339
4_8-0,5ho,0.25097,2.43081,8.08248,7.68276,8.49919,8.49919,n/a
4_8-1,3h4/3s1,0.21256,n/a,n/a,n/a,n/a,n/a,n/a
4_8-2,5e,0.1553,1.66634,n/a,4.56998,3.42437,3.42437,10.35129
5_6-0,14b,0.0,3.65483,3.83143,10.02562,5.91641,5.91641,5.84271
5_7-0,14b,0.0,3.17768,n/a,n/a,n/a,n/a,n/a
5_8-0,1e/1ho,0.27319,1.34293,4.94542,n/a,n/a,n/a,11.90769
5_8-1,5e/5ho,0.0,n/a,10.30599,11.56854,n/a,n/a,9.96988
6_7-0,b25/1s5,0.0,2.43196,n/a,7.24626,n/a,n/a,n/a
6_8-0,1h2/e2,0.0,3.08921,n/a,10.81009,n/a,n/a,5.11115
6_8-1,1h2/1e,0.28991,1.39941,3.27142,6.46194,4.92378,4.92378,6.39947
6_8-2,1e/1ho,0.0,n/a,4.74739,n/a,n/a,n/a,n/a
7_8-0,3h2/e2,0.22586,2.01039,4.53131,4.31352,4.03433,3.72769,n/a
