group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh5/e5,0,0,0.0,0,0,0,0
0_1-1,oh1/e1,0.01761,0.02037,0,0,0.00178,0.00178,0
0_1-2,4h5/1s5,0,0,0,0,0.0,0.0,0
0_1-3,oh5/oe,0.00427,0.00518,0.03588,0.03019,0,0,0
0_1-4,oh1/oe,0.00815,0.01306,0,0.00745,0.03168,0.01891,0
0_2-0,oh1/e1,0.01081,0.01004,0,0,0,0,0
0_2-1,e1/oh1,0.0,0,0,0,0,0,0
0_3-0,2h3/2e,9e-05,9e-05,0,0,0,0,0
0_3-1,e1/oh1,0.00134,0.00357,0,0.04634,0,0,0
0_3-2,2h1,0,0,0,0,0.00429,0.00429,0
0_4-0,e3,8e-05,8e-05,0,0,0,0,0
0_4-1,oh1,0,0,0,0.00969,0,0,0.00973
0_4-2,4e,0,0,0.00923,0.01419,0.00632,0.00632,0.00157
0_4-3,2h3/2e,1e-05,1e-05,0,0,0,0,0
0_4-4,4h3/e3,0.01045,0.00888,0,0.00052,0,0,0
0_4-5,2e,0,0,0,0,0.0,0.0,0
0_6-0,e5/4h5,0.01433,0.01584,0.05775,0.01496,0.03466,0.03466,0
0_6-1,4h5/e5,0,0,0,0,0,0,0.0
0_6-2,oh5/e5,0,0,0.0,0,0,0,0
0_7-0,oh5/e5,0.00309,0.00669,0.02568,0.01786,0,0,0
0_7-1,e5/4h5,0,0,0,0.00267,0.03091,0.03091,0
1_6-0,b25/os2,0.04721,0.04182,0,0,0,0,0
1_6-1,oe/3ob,0,0,0,0,0,0,0.0
1_6-2,os2,0,0,0,0,0,0,0.02134
1_7-0,3ob,0.00127,0.00089,0.01072,0,0,0,0
1_8-0,3h4/e4,0.00306,0.00477,0.03609,0,0,0,0
1_8-1,3h2/3e,0.00391,0.00207,0.06111,0.00575,0,0,0.03422
1_8-2,5s1/b14,0,0,0,0,0,0,0.0
1_8-3,3e/3h4,0,0,0,0,0,0.0,0
2_3-0,b14,0.00238,0.00169,0,0,0.00829,0.00829,0
2_7-0,3ob,3e-05,1e-05,0,0,0,0,0
3_4-0,25b/2so,0.0,0,0,0,0,0,0
3_4-1,25b,0,0,0.0,0,0,0,0
3_8-0,5e,0.01084,0.01393,0.1726,0.01514,0.00055,0.00055,0
3_8-1,3h4/3e,0,0.0,0,0,0,0,0
3_8-2,5h4,0,0,0,0,0.03043,0.00621,0
4_5-0,bo3,0.00052,0.00055,0,0,0,0,0
4_6-0,14b,0.00976,0.02907,0,0.01825,0.09068,0.09068,0
4_6-1,4h5/4e,0,0,0,0,0,0,0.0
4_7-0,1s5/14b,0,0,0,0.0,0,0,0
4_7-1,3s1/b14,0,0,0,0.0,0,0,0
4_7-2,3ob,0,0,0,0,0,0,0.0
4_7-3,14b,0.0,0,0,0,0,0,0
4_8-0,5e,0.01204,0.00552,0,0.2011,0.09552,0.09552,0.05017
4_8-1,3h4/3s1,0.01193,0,0,0,0,0,0
4_8-2,5ho/5e,0.00271,0.02958,0.04053,0.07503,0.03249,0.03249,0
5_6-0,14b,0.00337,0.00615,0.03864,0,0,0,0.04853
5_6-1,4h5/4e,0,0,0,0,0,0,0.0
5_6-2,14b,0,0,0.00702,0.02054,0.02323,0.02323,0.0134
5_7-0,14b,2e-05,1e-05,0,0,0,0,0
5_8-0,1e/1ho,0.00472,0.0102,0.02753,0,0,0,0
5_8-1,5e/5ho,0.0,0,0,0,0,0,0
5_8-2,1s3,0,0,0,0,0,0,0.0
5_8-3,5ho/eo,0,0,0.00755,0.01834,0,0,0.17594
6_7-0,b25,0.00396,0.02271,0,0.05067,0,0,0
6_8-0,1h2/1e,0.0121,0.01309,0.03973,0.02664,0.03606,0.03606,0
6_8-1,3s1/b14,0,0,0,0,0,0,0.0
6_8-2,3h2/3e,0,0,0,0,0,0,0.0
6_8-3,1s5/1h2,0,0,0,0,0,0,0.09858
6_8-4,1e/1ho,0.00308,0,0.0159,0,0,0,0
6_8-5,1s5/14b,0,0,0,0,0,0,0.0
6_8-6,1h2/e2,0.00353,0.00422,0,0.00531,0,0,0.03026
6_8-7,e2/b25,0,0,0,0,0,0,0.0
7_8-0,3h2/e2,0.00232,0.00824,0.03185,0.07341,0.08406,0.08406,0
7_8-1,b14/3s1,0,0,0,0.0,0,0,0
7_8-2,e2/3h2,0,0,0,0,0.00026,0.00123,0
