group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh5/e5,0,0,0.0,0,0,0,0
0_1-1,oh1/e1,0.0087,0.0128,0,0,0.00178,0.00178,0
0_1-2,4h5/1s5,0,0,0,0,0.0,0.0,0
0_1-3,oh5/oe,0.00427,0.00518,0.02187,0.03019,0,0,0
0_1-4,oh1/oe,0.00815,0.01306,0,0.00745,0.01722,0.01891,0
0_2-0,oh1/e1,0.00535,0.00548,0,0,0,0,0
0_2-1,e1/oh1,0.0,0,0,0,0,0,0
0_3-0,2h3/2e,9e-05,9e-05,0,0,0,0,0
0_3-1,e1/oh1,0.00102,0.00111,0,0.04049,0,0,0
0_3-2,2h1,0,0,0,0,0.0008,0.0008,0
0_4-0,e3,8e-05,8e-05,0,0,0,0,0
0_4-1,oh1,0,0,0,0.00969,0,0,0.00973
0_4-2,4e,0,0,0.00923,0.00482,0.00225,0.00225,0.00157
0_4-3,2h3/2e,1e-05,1e-05,0,0,0,0,0
0_4-4,4h3/e3,0.00462,0.00714,0,0.00052,0,0,0
0_4-5,2e,0,0,0,0,0.0,0.0,0
0_6-0,e5/4h5,0.00861,0.00646,0.02888,0.01496,0.01077,0.01077,0
0_6-1,4h5/e5,0,0,0,0,0,0,0.0
0_6-2,oh5/e5,0,0,0.0,0,0,0,0
0_7-0,oh5/e5,0.00309,0.00669,0.00661,0.01786,0,0,0
0_7-1,e5/4h5,0,0,0,0.00267,0.01827,0.01827,0
1_6-0,b25/os2,0.01205,0.01439,0,0,0,0,0
1_6-1,oe/3ob,0,0,0,0,0,0,0.0
1_6-2,os2,0,0,0,0,0,0,0.01067
1_7-0,3ob,0.00127,0.00089,0.01072,0,0,0,0
1_8-0,3h4/e4,0.00306,0.00477,0.00754,0,0,0,0
1_8-1,3h2/3e,0.00089,0.00058,0.0226,0.00575,0,0,0.03422
1_8-2,5s1/b14,0,0,0,0,0,0,0.0
1_8-3,3e/3h4,0,0,0,0,0,0.0,0
2_3-0,b14,0.00238,0.00169,0,0,0.00829,0.00829,0
2_7-0,3ob,3e-05,1e-05,0,0,0,0,0
3_4-0,25b/2so,0.0,0,0,0,0,0,0
3_4-1,25b,0,0,0.0,0,0,0,0
3_8-0,5e,0.00406,0.00548,0.03972,0.00781,0.00055,0.00055,0
3_8-1,3h4/3e,0,0.0,0,0,0,0,0
3_8-2,5h4,0,0,0,0,0.0213,0.00621,0
4_5-0,bo3,0.00052,0.00055,0,0,0,0,0
4_6-0,14b,0.00547,0.00636,0,0.01825,0.02051,0.02051,0
4_6-1,4h5/4e,0,0,0,0,0,0,0.0
4_7-0,1s5/14b,0,0,0,0.0,0,0,0
4_7-1,3s1/b14,0,0,0,0.0,0,0,0
4_7-2,3ob,0,0,0,0,0,0,0.0
4_7-3,14b,0.0,0,0,0,0,0,0
4_8-0,5e,0.00234,0.00201,0,0.05625,0.01146,0.01146,0.05017
4_8-1,3h4/3s1,0.00592,0,0,0,0,0,0
4_8-2,5ho/5e,0.00106,0.00935,0.01636,0.01891,0.00811,0.00811,0
5_6-0,14b,0.00337,0.00188,0.01346,0,0,0,0.04853
5_6-1,4h5/4e,0,0,0,0,0,0,0.0
5_6-2,14b,0,0,0.00234,0.02054,0.00432,0.00432,0.0134
5_7-0,14b,2e-05,1e-05,0,0,0,0,0
5_8-0,1e/1ho,0.00111,0.00197,0.00776,0,0,0,0
5_8-1,5e/5ho,0.0,0,0,0,0,0,0
5_8-2,1s3,0,0,0,0,0,0,0.0
5_8-3,5ho/eo,0,0,0.00755,0.01834,0,0,0.09988
6_7-0,b25,0.00396,0.01193,0,0.03644,0,0,0
6_8-0,1h2/1e,0.00458,0.00619,0.01802,0.0105,0.01318,0.01318,0
6_8-1,3s1/b14,0,0,0,0,0,0,0.0
6_8-2,3h2/3e,0,0,0,0,0,0,0.0
6_8-3,1s5/1h2,0,0,0,0,0,0,0.03657
6_8-4,1e/1ho,0.00308,0,0.00417,0,0,0,0
6_8-5,1s5/14b,0,0,0,0,0,0,0.0
6_8-6,1h2/e2,0.00353,0.00422,0,0.00531,0,0,0.03026
6_8-7,e2/b25,0,0,0,0,0,0,0.0
7_8-0,3h2/e2,0.0007,0.00391,0.00471,0.00616,0.01944,0.01944,0
7_8-1,b14/3s1,0,0,0,0.0,0,0,0
7_8-2,e2/3h2,0,0,0,0,0.00026,0.00027,0
