group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh1/e1,0.05385,0.06532,n/a,n/a,0.04219,0.04219,n/a
0_1-1,oh5/e5,n/a,n/a,0.0,n/a,n/a,n/a,n/a
0_1-2,4h5/1s5,n/a,n/a,n/a,n/a,0.0,0.0,n/a
0_1-3,oh1/oe,0.09028,0.11428,n/a,0.08631,0.09279,0.13751,n/a
0_1-4,oh5/oe,0.06535,0.07197,0.10457,0.17375,n/a,n/a,n/a
0_2-0,oh1/e1,0.04223,0.04274,n/a,n/a,n/a,n/a,n/a
0_2-1,e1/oh1,0.0,n/a,n/a,n/a,n/a,n/a,n/a
0_3-0,2h3/2e,0.00949,0.00949,n/a,n/a,n/a,n/a,n/a
0_3-1,e1/oh1,0.02258,0.01924,n/a,0.14228,n/a,n/a,n/a
0_3-2,2h1,n/a,n/a,n/a,n/a,0.01633,0.01633,n/a
0_4-0,4h3/e3,0.03924,0.05975,n/a,0.0228,n/a,n/a,n/a
0_4-1,2h3/2e,0.00316,0.00316,n/a,n/a,n/a,n/a,n/a
0_4-2,oh1,n/a,n/a,n/a,0.09844,n/a,n/a,0.09864
0_4-3,e3,0.00894,0.00894,n/a,n/a,n/a,n/a,n/a
0_4-4,2e,n/a,n/a,n/a,n/a,0.0,0.0,n/a
0_4-5,4e,n/a,n/a,0.09607,0.04008,0.03354,0.03354,0.03962
0_6-0,e5/4h5,0.06561,0.05683,0.12017,0.12231,0.07338,0.07338,n/a
0_6-1,4h5/e5,n/a,n/a,n/a,n/a,n/a,n/a,0.0
0_6-2,oh5/e5,n/a,n/a,0.0,n/a,n/a,n/a,n/a
0_7-0,e5/4h5,n/a,n/a,n/a,0.05167,0.09558,0.09558,n/a
0_7-1,oh5/e5,0.05559,0.08179,0.04065,0.13364,n/a,n/a,n/a
1_6-0,os2,n/a,n/a,n/a,n/a,n/a,n/a,0.07304
1_6-1,b25/os2,0.05489,0.06926,n/a,n/a,n/a,n/a,n/a
1_6-2,oe/3ob,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1_7-0,3ob,0.03564,0.02983,0.10354,n/a,n/a,n/a,n/a
1_8-0,3h2/3e,0.01492,0.0139,0.08679,0.07583,n/a,n/a,0.18499
1_8-1,3h4/e4,0.05532,0.06907,0.04342,n/a,n/a,n/a,n/a
1_8-2,5s1/b14,n/a,n/a,n/a,n/a,n/a,n/a,0.0
1_8-3,3e/3h4,n/a,n/a,n/a,n/a,n/a,0.0,n/a
2_3-0,b14,0.04879,0.04111,n/a,n/a,0.09105,0.09105,n/a
2_7-0,3ob,0.00548,0.00316,n/a,n/a,n/a,n/a,n/a
3_4-0,25b/2so,0.0,n/a,n/a,n/a,n/a,n/a,n/a
3_4-1,25b,n/a,n/a,0.0,n/a,n/a,n/a,n/a
3_8-0,5e,0.03679,0.04274,0.09965,0.06249,0.02345,0.02345,n/a
3_8-1,3h4/3e,n/a,0.0,n/a,n/a,n/a,n/a,n/a
3_8-2,5h4,n/a,n/a,n/a,n/a,0.1032,0.0788,n/a
4_5-0,bo3,0.0228,0.02345,n/a,n/a,n/a,n/a,n/a
4_6-0,14b,0.0523,0.04604,n/a,0.13509,0.08268,0.08268,n/a
4_6-1,4h5/4e,n/a,n/a,n/a,n/a,n/a,n/a,0.0
4_7-0,3ob,n/a,n/a,n/a,n/a,n/a,n/a,0.0
4_7-1,14b,0.0,n/a,n/a,n/a,n/a,n/a,n/a
4_7-2,3s1/b14,n/a,n/a,n/a,0.0,n/a,n/a,n/a
4_7-3,1s5/14b,n/a,n/a,n/a,0.0,n/a,n/a,n/a
4_8-0,5e,0.02419,0.02588,n/a,0.11859,0.03785,0.03785,0.22399
4_8-1,3h4/3s1,0.05441,n/a,n/a,n/a,n/a,n/a,n/a
4_8-2,5ho/5e,0.02302,0.05583,0.09044,0.07939,0.06368,0.06368,n/a
5_6-0,4h5/4e,n/a,n/a,n/a,n/a,n/a,n/a,0.0
5_6-1,14b,0.05805,0.03066,0.06698,n/a,n/a,n/a,0.2203
5_6-2,14b,n/a,n/a,0.02793,0.14332,0.03795,0.03795,0.11576
5_7-0,14b,0.00447,0.00316,n/a,n/a,n/a,n/a,n/a
5_8-0,5e/5ho,0.0,n/a,n/a,n/a,n/a,n/a,n/a
5_8-1,1e/1ho,0.01666,0.01985,0.05086,n/a,n/a,n/a,n/a
5_8-2,1s3,n/a,n/a,n/a,n/a,n/a,n/a,0.0
5_8-3,5ho/eo,n/a,n/a,0.08689,0.13543,n/a,n/a,0.22347
6_7-0,b25,0.06293,0.07723,n/a,0.13498,n/a,n/a,n/a
6_8-0,1s5/1h2,n/a,n/a,n/a,n/a,n/a,n/a,0.11041
6_8-1,3s1/b14,n/a,n/a,n/a,n/a,n/a,n/a,0.0
6_8-2,1h2/1e,0.03907,0.04542,0.06712,0.07246,0.06628,0.06628,n/a
6_8-3,3h2/3e,n/a,n/a,n/a,n/a,n/a,n/a,0.0
6_8-4,1e/1ho,0.0555,n/a,0.03229,n/a,n/a,n/a,n/a
6_8-5,1s5/14b,n/a,n/a,n/a,n/a,n/a,n/a,0.0
6_8-6,1h2/e2,0.05941,0.06496,n/a,0.07287,n/a,n/a,0.17395
6_8-7,e2/b25,n/a,n/a,n/a,n/a,n/a,n/a,0.0
7_8-0,3h2/e2,0.01528,0.03126,0.03431,0.0351,0.06235,0.06235,n/a
7_8-1,b14/3s1,n/a,n/a,n/a,0.0,n/a,n/a,n/a
7_8-2,e2/3h2,n/a,n/a,n/a,n/a,0.01612,0.01162,n/a
