group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh1/e1,9.36889,25.71744,0,0,103.20003,103.20003,0
0_1-1,oh5/e5,0,0,82.5728,0,0,0,0
0_1-2,4h5/1s5,0,0,0,0,14.72905,14.72905,0
0_1-3,oh1/oe,0.0,16.48757,0,144.97414,363.977,189.74941,0
0_1-4,oh5/oe,0.0,17.06176,217.03698,166.86432,0,0,0
0_2-0,oh1/e1,1.31384,34.68681,0,0,0,0,0
0_2-1,e1/oh1,0.0,0,0,0,0,0,0
0_3-0,2h3/2e,0.0,15.31684,0,0,0,0,0
0_3-1,e1/oh1,0.32871,28.08371,0,198.98013,0,0,0
0_3-2,2h1,0,0,0,0,91.76184,91.76184,0
0_4-0,4h3/e3,1.03185,20.84295,0,67.30383,0,0,0
0_4-1,2h3/2e,0.0,11.17879,0,0,0,0,0
0_4-2,oh1,0,0,0,74.89131,0,0,52.40231
0_4-3,e3,0.0,8.75037,0,0,0,0,0
0_4-4,2e,0,0,0,0,18.43343,18.43343,0
0_4-5,4e,0,0,57.53721,91.00833,37.77203,37.77203,33.12592
0_6-0,e5/4h5,0.47417,28.20588,190.08453,116.29469,334.61592,334.61592,0
0_6-1,4h5/e5,0,0,0,0,0,0,48.0887
0_6-2,oh5/e5,0,0,127.89406,0,0,0,0
0_7-0,e5/4h5,0,0,0,33.53893,51.58737,51.58737,0
0_7-1,oh5/e5,0.0,16.63129,498.12566,154.12241,0,0,0
1_6-0,os2,0,0,0,0,0,0,41.50922
1_6-1,b25/os2,2.99984,9.17436,0,0,0,0,0
1_6-2,oe/3ob,0,0,0,0,0,0,48.0452
1_7-0,3ob,0.0,3.15399,58.9948,0,0,0,0
1_8-0,3h2/3e,0.44742,30.79264,138.87693,80.20874,0,0,114.28397
1_8-1,3h4/e4,0.0,6.86733,200.3718,0,0,0,0
1_8-2,5s1/b14,0,0,0,0,0,0,77.46537
1_8-3,3e/3h4,0,0,0,0,0,47.78458,0
2_3-0,b14,0.0,8.19549,0,0,147.33074,147.33074,0
2_7-0,3ob,0.0,6.16063,0,0,0,0,0
3_4-0,25b/2so,0.0,0,0,0,0,0,0
3_4-1,25b,0,0,54.9667,0,0,0,0
3_8-0,5e,0.61269,33.83807,444.32667,297.18712,168.97387,168.97387,0
3_8-1,3h4/3e,0,182.10372,0,0,0,0,0
3_8-2,5h4,0,0,0,0,54.52325,32.31472,0
4_5-0,bo3,0.0,5.79689,0,0,0,0,0
4_6-0,14b,0.12968,12.01303,0,57.43472,181.84988,181.84988,0
4_6-1,4h5/4e,0,0,0,0,0,0,26.70992
4_7-0,3ob,0,0,0,0,0,0,52.9945
4_7-1,14b,0.0,0,0,0,0,0,0
4_7-2,3s1/b14,0,0,0,58.02374,0,0,0
4_7-3,1s5/14b,0,0,0,25.49177,0,0,0
4_8-0,5e,0.94309,24.85656,0,328.32271,704.48172,704.48172,107.14919
4_8-1,3h4/3s1,0.32871,0,0,0,0,0,0
4_8-2,5ho/5e,0.65372,38.56236,259.20296,439.51001,265.89829,265.89829,0
5_6-0,4h5/4e,0,0,0,0,0,0,35.11979
5_6-1,14b,0.0,35.88363,238.71943,0,0,0,106.46185
5_6-2,14b,0,0,89.99637,24.63106,78.73878,78.73878,25.11929
5_7-0,14b,0.0,10.09763,0,0,0,0,0
5_8-0,5e/5ho,0.0,0,0,0,0,0,0
5_8-1,1e/1ho,4.70504,26.31729,200.19119,0,0,0,0
5_8-2,1s3,0,0,0,0,0,0,26.57389
5_8-3,5ho/eo,0,0,89.13008,66.885,0,0,64.60601
6_7-0,b25,0.0,19.68603,0,204.34652,0,0,0
6_8-0,1s5/1h2,0,0,0,0,0,0,74.67029
6_8-1,3s1/b14,0,0,0,0,0,0,80.63418
6_8-2,1h2/1e,5.80948,9.63221,139.74092,165.77064,213.44108,213.44108,0
6_8-3,3h2/3e,0,0,0,0,0,0,61.22139
6_8-4,1e/1ho,0.0,0,360.39562,0,0,0,0
6_8-5,1s5/14b,0,0,0,0,0,0,28.26258
6_8-6,1h2/e2,0.0,9.54324,0,116.85794,0,0,163.29213
6_8-7,e2/b25,0,0,0,0,0,0,23.88929
7_8-0,3h2/e2,0.6996,41.22488,251.06743,411.74763,348.71353,348.71353,0
7_8-1,b14/3s1,0,0,0,62.54431,0,0,0
7_8-2,e2/3h2,0,0,0,0,34.37998,103.93928,0
