group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh1/e1,0.19909,14.46842,0,0,103.20003,103.20003,0
0_1-1,oh5/e5,0,0,82.5728,0,0,0,0
0_1-2,4h5/1s5,0,0,0,0,14.72905,14.72905,0
0_1-3,oh1/oe,0.0,16.48757,0,144.97414,185.4885,189.74941,0
0_1-4,oh5/oe,0.0,17.06176,116.94143,166.86432,0,0,0
0_2-0,oh1/e1,0.1551,14.01293,0,0,0,0,0
0_2-1,e1/oh1,0.0,0,0,0,0,0,0
0_3-0,2h3/2e,0.0,15.31684,0,0,0,0,0
0_3-1,e1/oh1,0.09036,13.54623,0,118.91748,0,0,0
0_3-2,2h1,0,0,0,0,24.73273,24.73273,0
0_4-0,4h3/e3,0.18139,12.28267,0,67.30383,0,0,0
0_4-1,2h3/2e,0.0,11.17879,0,0,0,0,0
0_4-2,oh1,0,0,0,74.89131,0,0,52.40231
0_4-3,e3,0.0,8.75037,0,0,0,0,0
0_4-4,2e,0,0,0,0,18.43343,18.43343,0
0_4-5,4e,0,0,57.53721,28.28901,13.68223,13.68223,33.12592
0_6-0,e5/4h5,0.10961,15.52214,95.06567,116.29469,177.15156,177.15156,0
0_6-1,4h5/e5,0,0,0,0,0,0,48.0887
0_6-2,oh5/e5,0,0,63.9351,0,0,0,0
0_7-0,e5/4h5,0,0,0,33.53893,19.27977,19.27977,0
0_7-1,oh5/e5,0.0,16.63129,124.9039,154.12241,0,0,0
1_6-0,os2,0,0,0,0,0,0,20.75358
1_6-1,b25/os2,0.22881,3.67896,0,0,0,0,0
1_6-2,oe/3ob,0,0,0,0,0,0,48.0452
1_7-0,3ob,0.0,3.15399,58.9948,0,0,0,0
1_8-0,3h2/3e,0.09044,11.53077,53.82829,80.20874,0,0,114.28397
1_8-1,3h4/e4,0.0,6.86733,52.04124,0,0,0,0
1_8-2,5s1/b14,0,0,0,0,0,0,77.46537
1_8-3,3e/3h4,0,0,0,0,0,47.78458,0
2_3-0,b14,0.0,8.19549,0,0,147.33074,147.33074,0
2_7-0,3ob,0.0,6.16063,0,0,0,0,0
3_4-0,25b/2so,0.0,0,0,0,0,0,0
3_4-1,25b,0,0,27.43772,0,0,0,0
3_8-0,5e,0.11162,11.81921,112.15136,148.66731,168.97387,168.97387,0
3_8-1,3h4/3e,0,182.10372,0,0,0,0,0
3_8-2,5h4,0,0,0,0,23.84815,32.31472,0
4_5-0,bo3,0.0,5.79689,0,0,0,0,0
4_6-0,14b,0.04836,6.37308,0,57.43472,67.55426,67.55426,0
4_6-1,4h5/4e,0,0,0,0,0,0,26.70992
4_7-0,3ob,0,0,0,0,0,0,52.9945
4_7-1,14b,0.0,0,0,0,0,0,0
4_7-2,3s1/b14,0,0,0,58.02374,0,0,0
4_7-3,1s5/14b,0,0,0,25.49177,0,0,0
4_8-0,5e,0.09647,8.33008,0,83.53901,93.81072,93.81072,107.14919
4_8-1,3h4/3s1,0.09036,0,0,0,0,0,0
4_8-2,5ho/5e,0.12597,17.72654,130.65292,177.0742,144.47239,144.47239,0
5_6-0,4h5/4e,0,0,0,0,0,0,35.11979
5_6-1,14b,0.0,26.71561,82.31329,0,0,0,106.46185
5_6-2,14b,0,0,29.99729,24.63106,22.69481,22.69481,25.11929
5_7-0,14b,0.0,10.09763,0,0,0,0,0
5_8-0,5e/5ho,0.0,0,0,0,0,0,0
5_8-1,1e/1ho,0.29854,9.01724,73.37167,0,0,0,0
5_8-2,1s3,0,0,0,0,0,0,26.57389
5_8-3,5ho/eo,0,0,89.13008,66.885,0,0,31.91928
6_7-0,b25,0.0,11.82885,0,105.01651,0,0,0
6_8-0,1s5/1h2,0,0,0,0,0,0,18.58056
6_8-1,3s1/b14,0,0,0,0,0,0,80.63418
6_8-2,1h2/1e,0.25214,5.87507,42.80886,83.51344,72.73093,72.73093,0
6_8-3,3h2/3e,0,0,0,0,0,0,61.22139
6_8-4,1e/1ho,0.0,0,90.15079,0,0,0,0
6_8-5,1s5/14b,0,0,0,0,0,0,28.26258
6_8-6,1h2/e2,0.0,9.54324,0,116.85794,0,0,163.29213
6_8-7,e2/b25,0,0,0,0,0,0,23.88929
7_8-0,3h2/e2,0.15304,16.16669,82.13118,112.02715,82.71717,82.71717,0
7_8-1,b14/3s1,0,0,0,62.54431,0,0,0
7_8-2,e2/3h2,0,0,0,0,34.37998,34.90843,0
