group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh5/e5,n/a,n/a,9.08696,n/a,n/a,n/a,n/a
0_1-1,oh1/e1,1.76719,2.92788,n/a,n/a,10.15874,10.15874,n/a
0_1-2,4h5/1s5,n/a,n/a,n/a,n/a,3.83784,3.83784,n/a
0_1-3,oh5/oe,0.0,4.13059,10.41722,12.9176,n/a,n/a,n/a
0_1-4,oh1/oe,0.0,4.06049,n/a,12.04052,13.49031,13.77496,n/a
0_2-0,oh1/e1,0.66178,3.40033,n/a,n/a,n/a,n/a,n/a
0_2-1,e1/oh1,0.0,n/a,n/a,n/a,n/a,n/a,n/a
0_3-0,2h3/2e,0.0,3.91367,n/a,n/a,n/a,n/a,n/a
0_3-1,e1/oh1,0.40541,3.05961,n/a,9.97447,n/a,n/a,n/a
0_3-2,2h1,n/a,n/a,n/a,n/a,5.53058,5.53058,n/a
0_4-0,e3,0.0,2.9581,n/a,n/a,n/a,n/a,n/a
0_4-1,oh1,n/a,n/a,n/a,8.65398,n/a,n/a,7.23894
0_4-2,4e,n/a,n/a,7.58533,5.50782,4.3458,4.3458,5.75551
0_4-3,2h3/2e,0.0,3.34347,n/a,n/a,n/a,n/a,n/a
0_4-4,4h3/e3,0.58647,3.22823,n/a,8.20389,n/a,n/a,n/a
0_4-5,2e,n/a,n/a,n/a,n/a,4.29342,4.29342,n/a
0_6-0,e5/4h5,0.48691,3.75539,9.74896,10.784,12.93476,12.93476,n/a
0_6-1,4h5/e5,n/a,n/a,n/a,n/a,n/a,n/a,6.9346
0_6-2,oh5/e5,n/a,n/a,7.99669,n/a,n/a,n/a,n/a
0_7-0,oh5/e5,0.0,4.07815,11.15936,12.4146,n/a,n/a,n/a
0_7-1,e5/4h5,n/a,n/a,n/a,5.79128,5.07875,5.07875,n/a
1_6-0,b25/os2,0.866,1.74875,n/a,n/a,n/a,n/a,n/a
1_6-1,oe/3ob,n/a,n/a,n/a,n/a,n/a,n/a,6.93146
1_6-2,os2,n/a,n/a,n/a,n/a,n/a,n/a,4.55572
1_7-0,3ob,0.0,1.77595,7.68081,n/a,n/a,n/a,n/a
1_8-0,3h4/e4,0.0,2.62056,7.07764,n/a,n/a,n/a,n/a
1_8-1,3h2/3e,0.33445,3.20378,6.80385,8.95593,n/a,n/a,10.69037
1_8-2,5s1/b14,n/a,n/a,n/a,n/a,n/a,n/a,8.80144
1_8-3,3e/3h4,n/a,n/a,n/a,n/a,n/a,6.91264,n/a
2_3-0,b14,0.0,2.86278,n/a,n/a,12.13799,12.13799,n/a
2_7-0,3ob,0.0,2.48206,n/a,n/a,n/a,n/a,n/a
3_4-0,25b/2so,0.0,n/a,n/a,n/a,n/a,n/a,n/a
3_4-1,25b,n/a,n/a,5.24246,n/a,n/a,n/a,n/a
3_8-0,5e,0.45192,3.35848,10.53953,12.1899,12.99899,12.99899,n/a
3_8-1,3h4/3e,n/a,13.49458,n/a,n/a,n/a,n/a,n/a
3_8-2,5h4,n/a,n/a,n/a,n/a,5.22127,5.6846,n/a
4_5-0,bo3,0.0,2.40767,n/a,n/a,n/a,n/a,n/a
4_6-0,14b,0.25464,2.00109,n/a,7.57857,7.78567,7.78567,n/a
4_6-1,4h5/4e,n/a,n/a,n/a,n/a,n/a,n/a,5.16816
4_7-0,1s5/14b,n/a,n/a,n/a,5.04894,n/a,n/a,n/a
4_7-1,3s1/b14,n/a,n/a,n/a,7.61733,n/a,n/a,n/a
4_7-2,3ob,n/a,n/a,n/a,n/a,n/a,n/a,7.27973
4_7-3,14b,0.0,n/a,n/a,n/a,n/a,n/a,n/a
4_8-0,5e,0.48556,2.87846,n/a,9.05984,9.38404,9.38404,10.35129
4_8-1,3h4/3s1,0.40541,n/a,n/a,n/a,n/a,n/a,n/a
4_8-2,5ho/5e,0.57172,3.58526,11.38426,12.10386,11.53036,11.53036,n/a
5_6-0,14b,0.0,4.23578,8.92038,n/a,n/a,n/a,10.31804
5_6-1,4h5/4e,n/a,n/a,n/a,n/a,n/a,n/a,5.9262
5_6-2,14b,n/a,n/a,5.47712,4.96297,5.12311,5.12311,5.01191
5_7-0,14b,0.0,3.17768,n/a,n/a,n/a,n/a,n/a
5_8-0,1e/1ho,1.08456,2.29422,8.16887,n/a,n/a,n/a,n/a
5_8-1,5e/5ho,0.0,n/a,n/a,n/a,n/a,n/a,n/a
5_8-2,1s3,n/a,n/a,n/a,n/a,n/a,n/a,5.15499
5_8-3,5ho/eo,n/a,n/a,9.44087,8.17833,n/a,n/a,5.68357
6_7-0,b25,0.0,3.13736,n/a,10.10808,n/a,n/a,n/a
6_8-0,1h2/1e,1.39158,1.79185,5.9106,9.10414,8.43487,8.43487,n/a
6_8-1,3s1/b14,n/a,n/a,n/a,n/a,n/a,n/a,8.97965
6_8-2,3h2/3e,n/a,n/a,n/a,n/a,n/a,n/a,7.82441
6_8-3,1s5/1h2,n/a,n/a,n/a,n/a,n/a,n/a,4.989
6_8-4,1e/1ho,0.0,n/a,9.49204,n/a,n/a,n/a,n/a
6_8-5,1s5/14b,n/a,n/a,n/a,n/a,n/a,n/a,5.31626
6_8-6,1h2/e2,0.0,3.08921,n/a,10.81009,n/a,n/a,12.77858
6_8-7,e2/b25,n/a,n/a,n/a,n/a,n/a,n/a,4.88767
7_8-0,3h2/e2,0.48291,3.21033,7.92255,9.07466,8.35121,8.35121,n/a
7_8-1,b14/3s1,n/a,n/a,n/a,7.9085,n/a,n/a,n/a
7_8-2,e2/3h2,n/a,n/a,n/a,n/a,5.86344,7.209,n/a
