group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_3-0,e3,0.0,n/a,0.28114,n/a,n/a,n/a,n/a
0_5-0,oh5/oe,0.0,0.01924,0.18992,n/a,n/a,n/a,n/a
0_6-0,oh1/oe,0.0,0.0228,0.18888,n/a,n/a,n/a,n/a
1_3-0,25b,0.0,0.00447,0.08748,0.10927,0.01304,0.01304,0.20988
1_6-0,b14,0.0,0.00316,0.1084,0.11104,0.01225,0.01225,0.21161
2_4-0,14b,0.0,0.00316,0.10837,0.11104,0.01225,0.01225,0.21161
2_5-0,b25,0.0,0.00316,0.10837,0.11104,0.01225,0.01225,0.21164
3_4-0,bo3,0.0,0.0,0.01789,0.01378,n/a,0.03536,0.03886
3_7-0,5ho/eo,0.0,0.02,0.18992,n/a,n/a,n/a,n/a
4_7-0,1ho/eo,0.0,0.02302,0.15423,n/a,n/a,n/a,n/a
5_6-0,3ob,0.0,0.0,0.01789,0.01378,n/a,n/a,0.03886
6_7-0,3e,0.0,0.00548,0.27806,n/a,n/a,n/a,n/a
