group,pucker,REFERENCE,APFD,B3LYP,BMK,M06L,PBE,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh1/oe,0.00106,2e-05,0.00298,0.00022,0.0059,0.01638,0.05505,0,0,0,0
0_2-0,oh5/oe,0.00106,2e-05,0.00261,9e-05,0.00669,0.01599,0.05575,0,0,0,0
0_6-0,2h3/e3,0,0,0,0,0,0,0.0,0,0,0,0
0_6-1,e3,0.0,0,0,0,0,0,0,0,0,0,0
1_2-0,3ob,1e-05,4e-05,2e-05,4e-05,8e-05,9e-05,0.00046,0.0001,0,0,0.00125
1_3-0,b14,0.00088,0.00105,0.00102,0.00041,0.0,0.00095,0.01529,0.00662,0.00146,0.00146,0.0331
1_7-0,3e,0.00243,0,0.00198,0,0.00173,0,0.05236,0,0,0,0
2_4-0,b25,0.00088,0.00104,0.00101,0.00045,1e-05,0.00097,0.01528,0.00662,0.00146,0.00146,0.03311
3_6-0,25b,0.00122,0.00167,0.0015,0.00073,0,0.00151,0.0136,0.00553,0.00203,0.00203,0.03062
4_5-0,14b,0.0011,0.00127,0.00126,0.00055,2e-05,0,0.01443,0.00607,0.00173,0.00173,0.03185
5_6-0,bo3,1e-05,4e-05,2e-05,4e-05,8e-05,9e-05,0.00046,0.0001,0,0.00102,0.00125
5_7-0,1ho/1e,0,0,0,0,0,0,0.0,0,0,0,0
5_7-1,1ho/eo,0.0001,0.00194,0.0002,0.00291,0.00142,0.00771,0,0,0,0,0
6_7-0,5ho/eo,0.00146,0,0.00325,0,0.00761,0.01722,0.0533,0,0,0,0
