group,pucker,REFERENCE,APFD,B3LYP,BMK,M06L,PBE,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh1/oe,0.03256,0.00447,0.05459,0.01483,0.07681,0.12798,0.23464,n/a,n/a,n/a,n/a
0_2-0,oh5/oe,0.03256,0.00447,0.05109,0.00949,0.08179,0.12645,0.23611,n/a,n/a,n/a,n/a
0_6-0,2h3/e3,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a,n/a,n/a,n/a
0_6-1,e3,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
1_2-0,3ob,0.00316,0.00632,0.00447,0.00632,0.00894,0.00949,0.02145,0.01,n/a,n/a,0.03536
1_3-0,b14,0.02966,0.0324,0.03194,0.02025,0.0,0.03082,0.12363,0.08136,0.03821,0.03821,0.18193
1_7-0,3e,0.0493,n/a,0.0445,n/a,0.04159,n/a,0.22882,n/a,n/a,n/a,n/a
2_4-0,b25,0.02966,0.03225,0.03178,0.02121,0.00316,0.03114,0.12359,0.08136,0.03821,0.03821,0.18196
3_6-0,25b,0.03493,0.04087,0.03873,0.02702,n/a,0.03886,0.11662,0.07436,0.04506,0.04506,0.17499
4_5-0,14b,0.03317,0.03564,0.0355,0.02345,0.00447,n/a,0.12012,0.07791,0.04159,0.04159,0.17847
5_6-0,bo3,0.00316,0.00632,0.00447,0.00632,0.00894,0.00949,0.02145,0.01,n/a,0.03194,0.03536
5_7-0,1ho/1e,n/a,n/a,n/a,n/a,n/a,n/a,0.0,n/a,n/a,n/a,n/a
5_7-1,1ho/eo,0.01,0.04405,0.01414,0.05394,0.03768,0.08781,n/a,n/a,n/a,n/a,n/a
6_7-0,5ho/eo,0.03821,n/a,0.05701,n/a,0.08724,0.13122,0.23087,n/a,n/a,n/a,n/a
