group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh1/oe,0.08544,0.10761,0.12847,n/a,n/a,n/a,n/a
0_2-0,oh5/oe,0.08695,0.10564,0.12845,n/a,n/a,n/a,n/a
0_4-0,e3,0.0,n/a,n/a,n/a,n/a,n/a,n/a
0_4-1,2h3/e3,n/a,n/a,0.0,n/a,n/a,n/a,n/a
1_2-0,3ob,0.00316,0.00447,0.02145,0.01,n/a,n/a,0.03536
1_6-0,b14,0.04359,0.04593,0.07756,0.06738,0.05187,0.05187,0.16799
1_7-0,3e,0.07071,0.06603,0.20734,n/a,n/a,n/a,n/a
2_5-0,b25,0.04359,0.04583,0.07752,0.06745,0.05187,0.05187,0.16802
3_4-0,bo3,0.00707,0.00775,0.0249,0.00632,n/a,0.02846,0.03194
3_5-0,14b,0.04359,0.04593,0.07752,0.06745,0.05187,0.05187,0.16799
3_7-0,1ho/eo,0.09813,0.12042,0.09757,n/a,n/a,n/a,n/a
4_6-0,25b,0.04712,0.05099,0.06028,0.06221,0.05701,0.05701,0.16279
4_7-0,5ho/eo,0.08695,0.1063,0.12845,n/a,n/a,n/a,n/a
