group,pucker,REFERENCE,B3LYP,DFTB,AM1,PM3,PM3MM,PM6
0_1-0,oh1/oe,0.0,0.31243,8.46497,0,0,0,0
0_2-0,oh5/oe,0.0,0.30268,8.44351,0,0,0,0
0_4-0,e3,0.0,0,0,0,0,0,0
0_4-1,2h3/e3,0,0,47.90611,0,0,0,0
1_2-0,3ob,0.0,0.00376,5.36384,13.24989,0,0,13.71066
1_6-0,b14,0.0,0.28585,10.41353,20.23198,16.80614,16.80614,19.23413
1_7-0,3e,0.0,1.42124,12.70312,0,0,0,0
2_5-0,b25,0.0,0.28051,10.40934,20.23198,16.80614,16.80614,19.23413
3_4-0,bo3,0.0,0.00376,5.35512,13.24989,0,11.26125,13.71066
3_5-0,14b,0.0,0.28585,10.40943,20.23198,16.80614,16.80614,19.23413
3_7-0,1ho/eo,0.0,0.31313,8.4901,0,0,0,0
4_6-0,25b,0.0,0.28051,10.38848,20.23198,16.80614,16.80614,19.23413
4_7-0,5ho/eo,0.0,0.29582,8.46108,0,0,0,0
