group,pucker,method
6_6-2,5ho/eo,APFD
0_5-9,e3,APFD
2_7-11,3e,APFD
0_5-11,e3,B3LYP
1_1-5,3e,BMK
6_6-6,5ho/eo,BMK
5_5-11,e3,BMK
6_6-2,25b,M06L
0_5-11,e3,M06L
1_1-8,3e,PBE
5_5-10,14b,PBE
5_5-11,e3,PBE
0_5-16,4h3/e3,DFTB
2_7-19,3h2/3e,DFTB
0_3-0,e1,AM1
0_4-2,e5,AM1
4_7-7,1e,AM1
3_7-9,5e,AM1
0_5-0,e3,PM3
3_7-4,5h4/e4,PM3
0_3-5,2h1/2e,PM3
0_4-6,4h5/4e,PM3
4_7-7,1h2/e2,PM3
2_7-9,3e,PM3
3_7-4,5h4/e4,PM3MM
2_7-5,3e,PM3MM
4_7-6,1h2/e2,PM3MM
0_4-8,4h5/4e,PM3MM
0_3-9,2h1/2e,PM3MM
0_5-10,e3,PM3MM
0_5-0,e3,PM6
0_4-3,4h5/e5,PM6
0_3-6,2h1/e1,PM6
4_7-8,1h2/1e,PM6
3_7-10,5h4/5e,PM6
2_7-11,3e,PM6
