,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1,0.01114,0.00654,0.01088,0.01266,0.01266,0.05408
oh5,,,,,,
2h1,,,,,,
2h3,,,,,,
4h5,,,,,,
4h3,,,,,,
oh1,,,,,,
2e,,,,,,
oe,,,,,,
e5,,,,,,
e3,,,,0.08497,0.08497,
e1,,,,,,
4e,,,,,,
bo3,0.04478,0.03803,0.03355,0.07043,0.07222,0.0452
1s3,0.04029,0.03653,0.03698,0.03845,0.03838,0.05758
1s5_0,0.06434,0.07515,0.08465,0.08153,0.08602,0.13128
3s1_0,0.02285,0.09671,0.07029,0.04472,0.04472,
5s1,0.01462,0.02104,0.04223,0.06078,0.06078,0.03931
3s1_1,0.0,0.03225,0.0886,0.07126,0.07126,0.12226
b25,0.0291,0.04766,0.10213,0.04389,0.046,0.10091
14b,0.11069,0.05189,0.08824,0.10123,0.0951,0.10756
1s5_1,0.0256,0.03299,0.02631,0.04913,0.0478,0.04783
os2,0.0501,0.0313,0.06145,0.05754,0.0594,0.16629
25b,0.03342,0.27006,0.09713,0.07194,0.06977,0.09121
5e,,,0.13071,,,0.14154
3e,,,,,,
1e,,,,,,0.33633
e4,,,,,,
eo,,,,,,
e2,,,,0.23216,0.23216,
5ho,,,,,,
3h2,,,,0.37272,0.37272,
5h4,,,0.24061,0.38423,0.38423,0.27004
1ho,,,,,,
3h4,,,,,,
1h2,,0.4051,0.361,0.31154,,0.17729
1c4,0.03266,0.0222,0.02242,0.03645,0.03488,0.04923
