REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1_bo3-e3: 0.881,4c1_1s5(1)-e5: 0.21,4c1_1s5(1)-e5: 0.076,4c1_1s5(1)-e5: 0.06,4c1_1s5(1)-e5: 0.06,4c1_bo3-4e: 0.732
4c1_bo3-4h3: 0.082,4c1_1s5(0)-e5: 0.21,4c1_os2-e5: 0.095,4c1_os2-e5: 0.058,4c1_os2-e5: 0.058,4c1_3s1(1)-4c1: 0.064
,4c1_b25-oh5: 0.12,4c1_b25-e5: 0.086,4c1_1s5(0)-e5: 0.078,4c1_1s5(0)-e5: 0.078,4c1_os2-4c1: 0.064
,4c1_os2-oh5: 0.067,4c1_1s5(0)-e5: 0.076,4c1_1s5(1)-4h5: 0.084,4c1_1s5(1)-4h5: 0.084,
,4c1_1s3-4e: 0.142,4c1_1s5(1)-4h5: 0.085,4c1_1s5(0)-4h5: 0.084,4c1_1s5(0)-4h5: 0.084,
,4c1_14b-4e: 0.142,4c1_1s5(0)-4h5: 0.085,4c1_3s1(1)-oh1(0): 0.058,4c1_3s1(1)-oh1(0): 0.058,
,,4c1_bo3-4h5: 0.065,4c1_1s3-4h3: 0.082,4c1_1s3-4h3: 0.082,
,,4c1_1s3-4e: 0.062,4c1_1s3-4e: 0.096,4c1_1s3-4e: 0.096,
,,4c1_14b-4e: 0.079,,,
,,4c1_bo3-4e: 0.062,,,
