method,REFERENCE,DFTB,AM1,PM3,PM3MM,PM6
4c1,n/a,n/a,n/a,n/a,n/a,0.0
4h3,2.45023,1.74134,4.26937,4.01237,4.01296,1.61052
2e,n/a,n/a,n/a,0.0,0.0,n/a
e3,2.25595,0.466,2.13561,2.28953,2.29014,n/a
4e,0.0,5.15746,7.67148,7.54801,7.54863,5.38938
e1,0.47461,6.38023,6.55004,7.61594,7.61656,5.96437
4h5,0.0,4.15638,7.50774,7.93152,7.93214,n/a
oh1(0),1.39415,5.93683,7.27512,6.69162,6.69224,6.41257
e5,0.29552,6.95896,8.47844,9.98511,9.98574,6.65397
oh1(1),0.99942,5.11628,6.10456,6.65794,6.65856,5.09702
oh5,1.71488,5.82474,6.80563,8.90455,8.90517,6.39008
2h1,1.00832,n/a,6.82623,6.45314,6.45376,4.95091
bo3,0.97811,2.09485,4.304,4.09741,4.09804,4.31069
1s3,1.73824,3.09531,n/a,5.38446,5.38509,4.97352
25b,1.93506,3.61876,6.06854,7.12212,7.12275,4.53518
1s5,n/a,n/a,0.0,n/a,n/a,0.0
3ob,1.1946,3.36337,4.31216,4.63219,4.63282,3.33122
b14,n/a,0.0,0.0,0.0,0.0,n/a
b25,0.59875,4.74256,6.42353,4.64323,4.64386,3.4811
os2,0.93207,n/a,6.49037,5.29825,5.29887,4.21931
3s1,n/a,n/a,n/a,0.0,0.0,0.0
14b,0.88405,2.42971,4.397,4.09809,4.09871,3.79241
2so,1.47483,3.27542,7.97506,7.22588,7.2265,9.72439
5s1,1.02626,3.13618,n/a,6.69159,6.69221,n/a
5h4,0.92296,3.24139,7.04688,6.63548,6.6361,n/a
3h4,0.1712,4.98912,7.61906,7.45328,7.45391,7.82787
3h2,1.96871,2.1663,5.12295,2.8605,2.86113,4.65792
e2,0.45596,2.99068,6.86514,5.73192,5.73254,6.86376
eo,n/a,n/a,0.0,n/a,n/a,0.0
1ho,2.39649,5.91815,n/a,7.7466,7.74722,11.41841
1h2,0.522,3.47967,6.14732,6.19909,6.19972,7.86055
1e,3.28107,3.65244,7.5913,6.07177,6.07239,8.01913
5ho,0.39623,8.07213,9.46865,11.45754,11.45817,12.37621
5e,1.66867,5.0998,9.03821,9.05136,9.05198,n/a
1c4,n/a,n/a,n/a,n/a,n/a,0.0
