"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-glucose99-TS_b3lyp-ircf_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.219237546","2.5609","0.196927","-687.008799","-687.060695","39.7695","77.3076","212.58332451113762","83.97191236226472","0.7028622646100658","1s3","-56.25329936454158","177.0059373285845","N/A","N/A","64.22838547924685","-99.38594875605396","1.4175708546503063","1.54672048578953","1.5346199216196823","1.5257627633823025","1.5344514532483589","1.4569344929553285","1.414712950600227","1.4276734366836137","1.4256155224986153","1.4219860593089513","1.4225443924791943","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose86-TS_b3lyp-ircr_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.217617866","2.0703","0.197031","-687.007207","-687.058557","36.74","108.0545","222.24656198477163","87.85387196852477","0.7120623475899451","1s3","63.79835802600411","-63.668187248520276","N/A","N/A","59.72733438267946","-86.49127837535745","1.4185811488177191","1.5435656305923633","1.5463256509448455","1.5338048742894252","1.536146432232943","1.445159109997581","1.4100203404327185","1.4216843215260553","1.4303651707759806","1.424377432516396","1.434962016593819","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose95-TS_b3lyp-ircf_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.219239772","2.5613","0.196938","-687.008796","-687.06067","40.3507","77.4562","212.54399137291637","83.96885281601398","0.7028289875135992","1s3","-56.26958323736489","176.98516196312931","N/A","N/A","64.2353168918199","-99.42637541931022","1.4175540172526055","1.5467329048245533","1.5345854451561176","1.5257621346074886","1.534463455497393","1.4569264558295316","1.4147122954968616","1.4276818293390865","1.4256024995976262","1.4219776193699392","1.4225573142710277","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose199-TS_b3lyp-ircr_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.217559678","4.0511","0.197284","-687.006974","-687.058235","41.5198","91.8255","345.3809161619956","88.51314483561083","0.7549904269290322","o3b","59.264714054452526","-62.76805528113581","N/A","N/A","-171.32646266313944","-107.68554222687312","1.4315879762714552","1.546893339973057","1.5398239107943479","1.548649761782502","1.5509342356583014","1.4435716668756007","1.395845108233718","1.4423519729112586","1.421060999605928","1.4261368055982566","1.4213725050080994","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose173-TS_b3lyp-ircr_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.222903216","2.0374","0.19861","-687.011872","-687.06038","75.3042","140.1899","347.12900808429544","177.48923674595835","0.4739012556565055","1c4","-65.57644526766795","66.44865979174241","N/A","N/A","78.76036772967679","-82.30517582371293","1.4161555412580922","1.5485461384524517","1.5391771840373023","1.540713301549967","1.5464921148046633","1.4416498269097804","1.4008511036273625","1.4355710272922757","1.4351643973716044","1.4220378303512182","1.428404060028884","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose238-TS_b3lyp-ircr_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.226084076","3.2074","0.196755","-687.015825","-687.067336","63.1894","82.5221","317.5256521968293","5.069969420989535","0.5654623517430911","4c1","64.51962381823226","-55.068146522170515","N/A","N/A","-179.28458523287773","172.15627723517494","1.4252020106458592","1.5347648544711987","1.5258249173316052","1.532615284614505","1.5367199272492695","1.4360758441273218","1.3973617045965585","1.4188513964897806","1.418366225909585","1.4326255191909014","1.4225001357964786","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose125-TS_b3lyp-ircf_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.221823227","2.7756","0.197486","-687.011131","-687.06192","47.126","102.7929","170.1788023082654","79.61712247079737","0.6870208423543916","bo3","-66.14921014302392","63.606299380241225","N/A","N/A","91.0169691152085","148.61549149990628","1.4237590134250249","1.5490834723542175","1.5213323627777724","1.5242973537430287","1.547737894231772","1.4351140441992756","1.4039057580087062","1.427403804367566","1.4251171128430111","1.4231152225715946","1.439880925042415","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose223-TS_b3lyp-ircf_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.21813252","2.0464","0.197248","-687.007589","-687.059065","32.4195","87.464","341.2443270807818","90.06356716113667","0.7560687371915153","os2","60.777379190385865","-60.880967822853954","N/A","N/A","-165.8441015646068","-100.71308075456693","1.4394631296563314","1.5525383865830822","1.5388916457184372","1.549522774672899","1.5437923808508058","1.4357992723821114","1.3976968372791005","1.4248230769979828","1.4190651139465025","1.4438122971072105","1.420730583617457","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose243-TS_b3lyp-ircf_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.23047231","3.341","0.196918","-687.020141","-687.071282","70.7714","102.5283","8.076104991708899","1.4678349825302441","0.5752008706485547","4c1","-61.57111465328555","177.9528259791005","N/A","N/A","-176.24334143974195","176.68860561295395","1.4189812427886423","1.5364419084840142","1.5247683345600405","1.5281753121137638","1.5342897676495142","1.4423102648144053","1.4008756128029354","1.4225776451617675","1.4252420656260467","1.4206177054612548","1.4199320586630195","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose148-TS_b3lyp-ircf_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.219342739","2.2059","0.19789","-687.008425","-687.058412","86.638","100.3378","312.12516642533234","167.5084313499604","0.4926498568324513","1c4","-162.64038802394285","67.13642285065444","N/A","N/A","70.33009171491295","-69.31201686111518","1.4089784640334286","1.5376326724504135","1.5413719144752183","1.5480716636315646","1.5336570694979368","1.4446438037294866","1.4304676023919591","1.41768538923204","1.4225305258858245","1.4460447725717207","1.4254772866731338","N/A","N/A","N/A","N/A","N/A","N/A"
