"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-glucose95-freeze_dftb-TS_dftb-ircf.log","N/A","C6H12O6","0","1","N/A","N/A","-34.7595630717","2.8122","0.190609","-34.556119","-34.605346","93.623","134.7227","280.19013522156115","172.36624078013557","0.519067989900915","1c4","-25.750254091015066","152.59137373001863","N/A","N/A","66.13456524940621","-65.04543420851732","1.4600151408783406","1.5220397403356458","1.524956321130871","1.532859314346558","1.5243158076714285","1.475946745501341","1.4428001012784133","1.4479445543859752","1.4471416941149888","1.4534993028870018","1.4433656811920532","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose217-freeze_dftb-TS_dftb-ircf.log","N/A","C6H12O6","0","1","N/A","N/A","-34.7570865852","3.3103","0.189901","-34.553911","-34.604804","48.2467","84.2676","15.176099272452277","88.59178330421872","0.7400902281327376","3s1","48.77714991773245","-73.06631613652912","N/A","N/A","-174.77159638959392","-135.73688881523805","1.4678895726061958","1.525362387579096","1.5352229926450425","1.5216664635369341","1.5429284508148784","1.4712721715447485","1.4179282256225103","1.4592136333004844","1.4427234134278821","1.4509547143460404","1.4415954761998944","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose217-freeze_dftb-TS_dftb-ircr.log","N/A","C6H12O6","0","1","N/A","N/A","-34.7546164033","2.4884","0.188953","-34.551624","-34.60449","58.5723","75.4348","328.4650650818837","3.981805516806096","0.5694021209487584","4c1","52.68884156049289","-66.61048194217508","N/A","N/A","-179.31904299631915","170.6503042237632","1.4760717226357942","1.5193969010146757","1.5239666574019917","1.5236287940564786","1.5279278875843585","1.468337110542058","1.4126739716346444","1.4443314783836845","1.4466774156742754","1.4533939795970672","1.432390114888399","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose121-freeze_dftb-TS_dftb-ircr.log","N/A","C6H12O6","0","1","N/A","N/A","-34.7489289555","4.5452","0.189468","-34.545636","-34.599689","6.4267","66.1797","139.24369662006723","90.6396002912906","0.6822909563189052","2so","-36.363785883968525","162.1838093705588","N/A","N/A","99.41031736655836","155.53353435034268","1.455953440494922","1.5192349914736694","1.5233332459455482","1.5281385870875717","1.5328312815068723","1.4760603186218373","1.4462060420870189","1.4534917137579422","1.445196843831663","1.4482513676244189","1.4287270794581446","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose121-freeze_dftb-TS_dftb-ircf.log","N/A","C6H12O6","0","1","N/A","N/A","-34.7534859817","4.5141","0.18931","-34.550248","-34.602874","48.9869","83.3187","80.70610130948639","86.93157670638497","0.7158600820707325","5s1","-50.351847210585085","175.3659101339078","N/A","N/A","160.4455946311613","179.29847851050795","1.4671348814625056","1.5169158865889698","1.5284072482908475","1.5250379423745495","1.5234279018644106","1.4836758887738928","1.4275083768910077","1.4470694141381055","1.4481063919156631","1.4494971783201234","1.434030360353992","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose139-freeze_dftb-TS_dftb-ircr.log","N/A","C6H12O6","0","1","N/A","N/A","-34.7558866528","3.1845","0.190523","-34.552037","-34.603422","30.456","88.6299","174.45787743349416","84.06274305223195","0.7032948045704019","bo3","-83.51852201710835","42.95759110713831","N/A","N/A","77.97002410696318","-132.9979565887596","1.4595539624398957","1.5224424472189417","1.5221312981342967","1.5208085674370722","1.5291924605660336","1.4832997753906658","1.4427240647116135","1.4456336374808108","1.4556237245943746","1.4463708529243113","1.435489459603936","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose139-freeze_dftb-TS_dftb-ircf.log","N/A","C6H12O6","0","1","N/A","N/A","-34.7577168453","1.4064","0.189623","-34.554356","-34.606627","43.7449","73.6581","334.0006793106805","90.14121357189637","0.7686044463166234","os2","62.038921902629816","-58.0046804380905","N/A","N/A","-155.79218227524566","-89.49588003136971","1.4723694026605552","1.5277869253403762","1.5199726127302426","1.5367385040077572","1.5300168063472375","1.4711999475757878","1.428612587374898","1.4507402042419586","1.4454201514649643","1.4575508856533965","1.4347473403432398","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose158-freeze_dftb-TS_dftb-ircf.log","N/A","C6H12O6","0","1","N/A","N/A","-34.7558863189","3.4029","0.190525","-34.552022","-34.603428","30.801","88.3618","174.45641421765976","84.06354538000632","0.7032940940501505","bo3","-83.51957296878663","42.95638216948046","N/A","N/A","77.97019285874802","-132.99858403986627","1.4595535570122118","1.5224436046547012","1.5221314626358657","1.5208093053647456","1.52919223270392","1.4833004113614343","1.4427234075126807","1.4456324263380367","1.4556233275933714","1.446369037236348","1.435491268193924","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose158-freeze_dftb-TS_dftb-ircr.log","N/A","C6H12O6","0","1","N/A","N/A","-34.7528224239","2.1454","0.191334","-34.548617","-34.598927","40.2875","70.2646","121.73024219423407","167.47326565819486","0.393983320638123","1c4","-74.13636912155812","55.720816170598916","N/A","N/A","81.90212289549227","-89.5205138922479","1.4491150216421744","1.5200713430510426","1.5350562523611309","1.5283847180746084","1.5245509141547224","1.4750969171878165","1.4530832747334197","1.4497180171026367","1.4440152678780789","1.4481509792922145","1.4395138098604683","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose143-freeze_dftb-TS_dftb-ircr.log","N/A","C6H12O6","0","1","N/A","N/A","-34.7572989324","3.2891","0.191638","-34.553399","-34.601398","101.3629","118.9473","315.9786889368319","161.50806749221","0.4773082702295446","1c4","-66.43015251788263","64.18571654377781","N/A","N/A","78.04737151314927","-69.16899954618457","1.457944898006094","1.5170391646285866","1.528625095318339","1.5238613365116265","1.5332144471589748","1.4768644156976631","1.4462404331662837","1.4515502574716455","1.4534757467691026","1.451334042665919","1.4395184139239066","N/A","N/A","N/A","N/A","N/A","N/A"
