"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-glucose133-TS_b3lyp-ircf_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.211908076","4.1788","0.196805","-687.001542","-687.053073","47.9497","86.3613","92.35031938501815","172.72506733115034","0.49224894623225585","1c4","-58.09402889100956","174.0010885311462","N/A","N/A","72.81307637540883","-81.37888164737412","1.419771247779726","1.5413405912221347","1.5429744833567405","1.5427017251267334","1.5379379382393816","1.4318399702341043","1.4132461053666485","1.4234742522146302","1.4287886100805818","1.4373283851973424","1.4296660917084798","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose149-TS_b3lyp-ircr_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.21802895","2.0948","0.197661","-687.007371","-687.057679","52.5268","90.0687","19.87466213033937","90.9876242413206","0.7136899926528456","3s1","54.49912859117929","-69.05266614060646","N/A","N/A","-176.6271655589621","-139.23355151490284","1.4248237804735713","1.538751473017979","1.5512345958355236","1.538154912655419","1.5586126061093564","1.4378995214144832","1.3943210092779927","1.442082510288853","1.4138014586214005","1.429453284207987","1.4324393527078205","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose222-TS_b3lyp-ircf_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.226718986","4.7174","0.196878","-687.016441","-687.067566","65.2673","100.3552","342.2282941174605","1.496412391576524","0.5624975038572443","4c1","-177.6078350600403","57.99635547974099","N/A","N/A","-179.21820838399904","171.82917923821313","1.4349299234718746","1.5291653028780112","1.5279110072026447","1.5253179045267906","1.5406954138888065","1.427434723811215","1.3884209646850625","1.418814399560774","1.4257991779454773","1.4246390965135696","1.4356194152204824","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose139-TS_b3lyp-ircf_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.222853836","3.0201","0.197919","-687.011969","-687.062315","43.367","100.6484","172.10384395536144","81.10191710564466","0.6812726680398563","bo3","-74.57113513714607","53.93559682104258","N/A","N/A","82.21768679874405","-140.26204278334757","1.4131526410922493","1.5367835678048487","1.5248933080412543","1.5272408135038822","1.5508488344645328","1.4488403515908852","1.4259959888965326","1.4209393944503756","1.4235857884739507","1.4331457423702587","1.416858313467511","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose162-TS_b3lyp-ircr_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.21321908","3.1043","0.196996","-687.00279","-687.053699","78.3918","87.2894","37.2630020291521","174.76213349412296","0.4759135903159773","1c4","-57.57726209971832","173.70204604836562","N/A","N/A","75.59374161184408","-80.83288823047667","1.4134134135262761","1.54089003843493","1.5360744149454482","1.5449450507234879","1.5373665200627988","1.4552694466314477","1.4108009284413587","1.4356202981154174","1.4251738465078565","1.4238892481948868","1.4277599627675512","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose20-optall_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.214748286","2.642","0.198253","-687.003626","-687.053424","71.7569","108.3096","278.28361527499425","152.0257771121208","0.5143831935187351","1h2","-70.29679558537748","63.34252722020373","N/A","N/A","70.42126776197077","-63.226246496913106","1.4212701334162343","1.5367882053851794","1.5386341902391873","1.5455086524833823","1.5590982216919498","1.4554282807507208","1.4055024368057851","1.4330276340587436","1.4415364797930021","1.4318095238773907","1.4151287604048615","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose158-TS_b3lyp-ircf_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.22222011","0.2657","0.197991","-687.011325","-687.061495","47.0876","100.2056","169.99604486995742","82.25637501036793","0.6695501741610275","bo3","-74.48243787442082","54.190796206703","N/A","N/A","82.33852718481269","-140.5596199227901","1.408763103252637","1.5384714645575979","1.5276698632374732","1.5265463314308543","1.5466126142020826","1.4486437366005487","1.4280374732439622","1.420918051735919","1.4358701812977384","1.4263527882946772","1.419892006126522","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose185-TS_b3lyp-ircr_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.216979436","3.8411","0.197181","-687.006458","-687.057754","50.2344","63.6554","282.62999910733686","93.59391995330073","0.6723822603687989","1s5","-175.22642251513844","62.02510074138404","N/A","N/A","97.61752053297458","-62.08971387794813","1.407583699225378","1.52716710142047","1.5465570096187853","1.549325011574718","1.5426007411452907","1.4432095879566487","1.4280209072849737","1.4258055431306191","1.4224801205166278","1.4228948802364143","1.4348424243815068","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose39-optall_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.216781291","1.5111","0.196929","-687.006289","-687.058458","35.1788","61.6161","261.0908361698349","92.42055082373598","0.7090001423394005","1s5","-73.10873382917798","51.05640715628092","N/A","N/A","-77.65161528351331","61.446874222699954","1.4159587772071613","1.5276709014342718","1.553571646859584","1.5394190964941927","1.5303999808693811","1.451915502245568","1.4173703120204684","1.4244585413535211","1.4289683258931956","1.4287988018958444","1.424903557550826","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose206-TS_b3lyp-ircr_b3lyp.log","N/A","C6H12O6","0","1","b3lyp","6-31+G(d,p)","-687.227940994","2.4437","0.196908","-687.017552","-687.069117","53.7078","79.7711","312.3659619411059","2.8644311839515977","0.5852892198312077","4c1","78.11942305637133","-43.06649473689448","N/A","N/A","-179.82381995936717","174.49590819413302","1.4207159432265128","1.5317617414950666","1.525549691143491","1.525127695675349","1.5340374738115103","1.4352483195900283","1.397752755180257","1.4246747602431933","1.4254767770083103","1.4253537818120803","1.4213800363516438","N/A","N/A","N/A","N/A","N/A","N/A"
