File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-glucose1-freeze_dftb3-optall_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59076841,9.0309,0.187619,-34.388923,-34.443559,7.2068,75.5636,226.4438381,89.08986315,0.704835196,14b,66.63771605,-59.74642478,N/A,N/A,61.59512414,-81.10904571,1.434024928,1.557760712,1.558653872,1.543918081,1.546395124,1.465134132,1.412040766,1.429041594,1.432916721,1.422880361,1.413792668,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose10-freeze_dftb3-optall_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59244965,8.5933,0.189391,-34.389861,-34.440117,61.2881,90.0135,48.8096471,173.182904,0.46665926,1c4,-72.09997399,58.5666774,N/A,N/A,79.41187074,-81.41084132,1.427761791,1.549813089,1.560737447,1.55255078,1.558820336,1.463279938,1.42456007,1.432121177,1.41244588,1.423519118,1.411725746,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose100-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59202535,2.5853,0.189021,-34.389431,-34.440371,77.9875,97.9506,264.0380846,171.5971546,0.482796833,1c4,-92.23881095,37.35303223,N/A,N/A,68.45456192,-69.33681808,1.443461621,1.545715496,1.544921177,1.554383009,1.556732945,1.452186862,1.41439898,1.425122283,1.416044495,1.430873335,1.4028103,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose100-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59202535,2.7394,0.189023,-34.389429,-34.440369,78.0116,97.958,264.0394398,171.5969301,0.48279861,1c4,-92.23914721,37.35244355,N/A,N/A,68.45446568,-69.33654298,1.443459341,1.545717373,1.544921766,1.554384597,1.556728587,1.452194822,1.414398468,1.425119479,1.416044473,1.430876007,1.402809663,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose101-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5920611,3.4173,0.188567,-34.389738,-34.441552,47.7214,93.6707,274.808613,168.772425,0.484631676,1c4,-89.46796076,39.96573153,N/A,N/A,69.33357818,-68.15307364,1.439685977,1.542891731,1.548127747,1.555535185,1.552353659,1.455955106,1.415321799,1.426108974,1.415999285,1.429094911,1.406947774,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose101-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5920611,3.3572,0.188567,-34.389738,-34.441549,47.7637,93.6816,274.809358,168.7722782,0.484631633,1c4,-89.46806371,39.96559688,N/A,N/A,69.33358057,-68.15299682,1.439683728,1.542892171,1.548127471,1.555535327,1.552352286,1.455955774,1.415322844,1.426108041,1.415998516,1.429095448,1.406946836,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose102-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59167405,4.7695,0.188701,-34.389479,-34.440213,81.1487,113.0405,273.9784682,170.2931348,0.530400358,1c4,-31.3915319,158.4501973,N/A,N/A,64.24570483,-63.93797937,1.430781444,1.539428534,1.551458855,1.558859528,1.561652725,1.456126622,1.416080991,1.436265206,1.423654028,1.425941913,1.412122028,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose102-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59167406,4.2509,0.1887,-34.38948,-34.440215,81.115,113.0681,273.9841543,170.2940977,0.530398381,1c4,-31.39109767,158.4497161,N/A,N/A,64.24660718,-63.93902101,1.430781154,1.539428365,1.551458662,1.558857159,1.561650718,1.456123433,1.416081858,1.436264086,1.423654877,1.425942961,1.412120018,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose103-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58922071,3.9143,0.187958,-34.387197,-34.440438,29.6083,63.9352,266.7080385,98.35625447,0.701312504,1s5,55.74592638,-68.13853459,N/A,N/A,81.2195814,-54.77486269,1.456988066,1.535071926,1.552986794,1.566506747,1.550808871,1.456098478,1.404426182,1.426442535,1.429826919,1.428531122,1.405592245,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose103-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59004336,6.2097,0.188614,-34.387802,-34.438859,78.2,92.0824,269.0580347,159.2929594,0.527998976,1c4,-91.32212618,39.42697154,N/A,N/A,66.01664829,-61.63868945,1.455165893,1.547463337,1.552851962,1.548965376,1.569103292,1.458054784,1.394424691,1.435528439,1.420614123,1.428458608,1.410079874,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose104-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5914087,4.4772,0.188464,-34.389047,-34.440903,60.1745,92.3547,291.803148,163.0677332,0.485789084,1c4,-80.88183637,50.27602724,N/A,N/A,71.0177546,-65.95067647,1.439939472,1.541927488,1.552532598,1.56030191,1.553659001,1.452845305,1.413290462,1.427434752,1.415084109,1.432951189,1.407976926,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose104-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5914087,4.6912,0.188463,-34.389047,-34.440905,60.2046,92.3695,291.8024707,163.0677215,0.485791321,1c4,-80.87954627,50.27850491,N/A,N/A,71.01783244,-65.95032442,1.439948906,1.5419268,1.552535445,1.56030133,1.553659697,1.452841727,1.413284773,1.427430553,1.415084889,1.432949223,1.407979122,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose105-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59375749,5.7504,0.188733,-34.391703,-34.441733,101.9967,123.2852,306.4928552,160.6171081,0.492052829,1c4,-69.92188361,60.86870732,N/A,N/A,74.46588733,-67.10743666,1.427598078,1.551685378,1.545041065,1.555565318,1.553959561,1.455145175,1.426995527,1.424063072,1.429579379,1.428822848,1.411080797,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose105-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59375749,6.0717,0.188732,-34.391704,-34.441734,102.0491,123.2582,306.487432,160.6186704,0.492059489,1c4,-69.92455579,60.86591347,N/A,N/A,74.46374096,-67.10699815,1.427594333,1.55169089,1.545043305,1.555564548,1.553956292,1.45515411,1.426995578,1.424061277,1.42957681,1.428828061,1.411075056,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose106-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58817053,5.0374,0.188857,-34.38558,-34.437633,46.6131,63.8768,291.8159797,155.9816338,0.48707871,1c4,-61.01696006,-71.16435207,N/A,N/A,73.88463697,-65.81812918,1.444570072,1.54911809,1.552345336,1.548629152,1.55871085,1.452454022,1.411167276,1.424322465,1.426550684,1.430440463,1.404621099,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose106-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59034231,5.967,0.18786,-34.388342,-34.441599,41.7921,62.3142,267.6033795,95.67330798,0.702689813,1s5,54.64249013,-68.58176128,N/A,N/A,85.46905364,-58.59550504,1.454304481,1.537740841,1.564359588,1.560031758,1.541192039,1.456566188,1.406047796,1.424980745,1.431011534,1.422961678,1.407244904,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose107-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5922428,4.2612,0.189106,-34.390019,-34.439755,84.9481,109.2601,312.3821366,161.9823256,0.485041476,1c4,-68.25616805,62.56754727,N/A,N/A,76.36412299,-69.19149301,1.44333162,1.546497587,1.552665514,1.54349765,1.561314625,1.447753292,1.424757174,1.422742053,1.429404927,1.430338562,1.41103096,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose107-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.5908253,4.7692,0.187989,-34.388825,-34.441752,41.2426,71.1316,267.9802743,93.98664659,0.733039382,1s5,61.22833858,-60.87360929,N/A,N/A,85.89338746,-56.7468687,1.459725429,1.534391729,1.555746104,1.556938761,1.550730894,1.455632774,1.406531484,1.425985099,1.430814911,1.424723313,1.40722635,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose108-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58894078,5.3974,0.187496,-34.387212,-34.440767,33.4773,65.1806,266.1975508,97.24333237,0.701452699,1s5,56.47781994,-66.98479115,N/A,N/A,81.86226383,-56.15205409,1.45435552,1.535874416,1.556363574,1.568283433,1.543280932,1.455189697,1.407168065,1.423989947,1.433358234,1.426137243,1.407529876,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose109-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59142711,5.8348,0.188595,-34.389081,-34.440656,58.9157,80.4953,294.5514559,167.5762693,0.465722597,1c4,-79.83602707,51.91587397,N/A,N/A,77.0532894,-72.90634724,1.440329191,1.553139072,1.550377984,1.552731327,1.567304951,1.450391407,1.407375278,1.434423795,1.419827353,1.426138734,1.420237344,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose109-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59142712,5.6587,0.188599,-34.389077,-34.440651,58.6754,80.6577,294.5689562,167.575246,0.465712783,1c4,-79.8315052,51.92080767,N/A,N/A,77.05722999,-72.90787586,1.440326961,1.55313777,1.550374303,1.55273158,1.567303512,1.45039076,1.407375675,1.434425594,1.419826789,1.426138445,1.420240194,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose11-freeze_dftb3-optall_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59316746,10.8654,0.189,-34.390828,-34.441374,56.9586,102.8361,348.2075932,177.5618237,0.475286804,1c4,-69.67135052,61.93541824,N/A,N/A,76.18440291,-78.76422321,1.431735349,1.562438645,1.549182569,1.545977704,1.563479238,1.454734859,1.405406658,1.431865547,1.426928272,1.421695146,1.411416656,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose110-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59045808,4.9872,0.187629,-34.388748,-34.441094,61.2518,84.402,291.2531488,157.6632539,0.498675084,1c4,-74.75958345,56.96558331,N/A,N/A,73.49487909,-64.13319591,1.434985466,1.542362496,1.551738259,1.557037624,1.568538805,1.461743351,1.415372171,1.438382451,1.417028087,1.428709234,1.413741068,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose110-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59045809,5.1876,0.187629,-34.388748,-34.441101,60.7898,84.5422,291.2539792,157.6641324,0.498670944,1c4,-74.76073956,56.96413339,N/A,N/A,73.49554007,-64.13436752,1.434982638,1.542363745,1.551740956,1.557031974,1.56853476,1.461741425,1.415376593,1.438382626,1.417028811,1.428713023,1.413741157,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose111-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58837502,5.2838,0.188581,-34.386197,-34.437656,61.0882,67.9011,282.2495849,152.3159499,0.514206947,1h2,-65.87330842,-66.5407492,N/A,N/A,70.87756187,-61.28867784,1.450580118,1.541863902,1.554394515,1.547745802,1.57134783,1.462315611,1.402785936,1.433470363,1.428412682,1.429065955,1.404706306,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose112-freeze_dftb3-TS_dftb3-ircf_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59560864,4.658,0.188836,-34.393253,-34.444005,84.3454,119.491,287.3881076,171.277139,0.520134858,1c4,-29.02598775,156.339338,N/A,N/A,65.73613105,-65.59105437,1.438591183,1.546537243,1.550411943,1.561267822,1.54803346,1.454791083,1.419019179,1.424813345,1.422066147,1.428112721,1.415282068,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose112-freeze_dftb3-TS_dftb3-ircr_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.59560865,4.1018,0.188836,-34.393253,-34.444005,84.3542,119.5165,287.3865274,171.2772092,0.520135368,1c4,-29.02582142,156.3392421,N/A,N/A,65.73615629,-65.59092702,1.438595585,1.546536472,1.550408928,1.561271128,1.54803413,1.454788185,1.419013577,1.424814926,1.422065667,1.428114243,1.415282072,N/A,N/A,N/A,N/A,N/A,N/A
