"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-glucose253-TS_pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.42510179651","1.3163","0.194371","-0.218349","-0.267627","-223.0072","44.0414","311.1891020431697","90.47254148767728","0.6805425969465363","b25","64.8414658743073","57.45649453412586","N/A","N/A","131.07689695605274","-68.93748612690891","1.4115808280169435","1.5544880122085205","1.5519380975866925","1.5651343987616533","1.555147134147121","1.4232148226079575","1.4019248214929356","1.4026536818709032","1.405534247439741","1.4136294256763329","1.3993782691845682","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose135-TS_pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.418697858945","2.7015","0.192087","-0.213197","-0.265222","-59.8457","29.0656","95.8907243562592","54.57498025718217","0.5363255008783728","2h1","159.52303719223963","71.48531464683681","N/A","N/A","-167.1841281391732","174.88973056996204","1.403462029875051","1.5511289432336042","1.5469203908188052","1.5553037640412892","1.5634749701654955","1.4229474256127679","1.3943998822106236","1.4125474143535857","1.4154367105462535","1.416293154109699","1.4096867581455819","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose239-TS_pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.415877426899","1.8322","0.191186","-0.211024","-0.263952","-63.343","20.0184","94.41324027862731","54.440740198150834","0.5383654167145763","2h1","-159.26464552424093","71.39954656157046","N/A","N/A","-165.1094700080815","-176.0016788002372","1.4060043651703227","1.5497259013806295","1.5475520065060822","1.5544542243710493","1.563453514531213","1.421042643649373","1.3955666379807878","1.413260908930124","1.4154697526619917","1.4169204668484394","1.4104101357566174","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose226-TS_pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.420758721972","1.3519","0.193053","-0.214783","-0.265351","-51.5392","32.4916","76.47461788705836","51.57956485763811","0.5424431526477791","2h1","-175.21616315482277","57.19391497257522","N/A","N/A","-175.4331815953329","179.6682591782506","1.4077526095976522","1.5529803606633281","1.5504828676415614","1.5547315959451007","1.5641301604016211","1.4192751919296693","1.3838920341247722","1.4045619218578438","1.4148981518162358","1.4175775758444402","1.4004798769257631","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose197-TS_pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.419865106037","1.2116","0.192712","-0.214034","-0.265831","-56.6303","14.3264","83.4689712298516","54.513919377022674","0.5432112050284146","2h1","-68.59990895501377","60.99494864885762","N/A","N/A","-175.21876156007377","173.7495520968538","1.4055454718894727","1.5541527925686711","1.5482551634924393","1.5571480832348603","1.5615722635818041","1.4204745871366369","1.3954230948991773","1.4117056931655412","1.4080349130444179","1.416738691230673","1.4005436530026474","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose236-TS_pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.419358659021","1.2063","0.191665","-0.214262","-0.26662","-72.1048","21.4593","97.34019656033348","53.10794204884719","0.5360654888166885","2h1","-67.86145721027955","-162.8804955652013","N/A","N/A","163.77920854127868","175.535109117496","1.406090739675786","1.5499543323262785","1.5473743395322932","1.554130875735052","1.5617345362570427","1.420455093264479","1.3950670293161553","1.4130201810497969","1.4151608199042252","1.4169758458470636","1.398922098004746","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose217-TS_pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.422205064798","2.2941","0.192586","-0.216487","-0.268064","-41.7991","22.3126","300.6844315071504","63.93014390733601","0.5544714379625835","e5","61.512374109889016","-57.91231598499331","N/A","N/A","149.35802433636576","-101.69830689292648","1.4080667200434787","1.5595987922568422","1.5583310491384685","1.5593207027760516","1.54610865110703","1.421006820939998","1.3940959749479227","1.4172753934758058","1.414148722253073","1.4066909119732025","1.3983901137382941","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose248-TS_pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.421936347448","1.0472","0.193112","-0.215697","-0.267786","-47.794","20.0311","302.39128391671545","59.76769967486285","0.5445136919044015","e5","-74.30751929256957","-168.2611297324561","N/A","N/A","-152.6570535219246","-106.91683433374475","1.4043510343692562","1.563017971690025","1.5572166734687245","1.5607682291826674","1.546183846638232","1.4233351097454177","1.3969472376500125","1.4155566869260308","1.4087740619506735","1.4132576631350704","1.3993688722145423","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose143-TS_pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.425308403989","0.665","0.19378","-0.219193","-0.268003","-208.7312","62.3744","8.02461295081567","95.48059299851363","0.6879642161789109","o3b","-55.62843042532792","-68.72472652235479","N/A","N/A","-174.9993332105753","-116.10928644966782","1.4117286181972077","1.563486486266509","1.5579734347478487","1.5520463361942518","1.5604790402799393","1.4238992267973265","1.3860164462786853","1.420353037410066","1.402276955505223","1.4067999874932453","1.4038508944111547","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose244-TS_pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.419620298548","1.6045","0.192221","-0.21414","-0.265361","-27.2107","45.5849","15.307384244041893","79.30215308111117","0.6011315970675445","o3b","-73.6229082417987","-163.41097353726332","N/A","N/A","-171.69458557518124","-138.4545335253761","1.4094388339158248","1.5630345444387979","1.552160822579284","1.5582844636702244","1.5572801959997435","1.4195105692237728","1.3875688408987144","1.4128025030367835","1.4170350649422898","1.4138805122459963","1.3994377199929264","N/A","N/A","N/A","N/A","N/A","N/A"
