File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-glucose102-freeze_dftb-TS_dftb.log,N/A,C6H12O6,0,1,N/A,N/A,-34.74108975,217.6337,0.189648,-34.53824,-34.589199,-60.1004,50.5863,246.0402919,122.4676728,0.558236965,1e,59.90155829,-170.9323073,N/A,N/A,57.88280929,-55.02781123,1.461560514,1.512858149,1.529567042,1.536829981,1.54351132,1.479387403,1.423540029,1.451790714,1.446831587,1.456209117,1.431741861,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose103-freeze_dftb-TS_dftb.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75141213,230.9612,0.190475,-34.548758,-34.596718,-42.2544,95.4126,259.2364317,123.020659,0.562425726,1h2,75.53593311,53.78738074,N/A,N/A,-65.49774452,52.90081393,1.466464618,1.515678128,1.523855756,1.540636673,1.541316876,1.482075519,1.430881316,1.449568004,1.457454782,1.454361488,1.432854986,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose104-freeze_dftb-TS_dftb.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75225259,193.2186,0.190616,-34.549285,-34.597621,-42.5176,91.8934,265.4238808,132.0952414,0.513895664,1h2,-76.21003049,54.92710112,N/A,N/A,-68.1364523,55.67892222,1.453688233,1.519136552,1.523995838,1.541907945,1.537126275,1.479169442,1.443480928,1.44913307,1.448108539,1.454040828,1.44103128,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose105-freeze_dftb-TS_dftb.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75115586,91.2554,0.190731,-34.548272,-34.596054,-51.2043,121.3695,260.07518,124.472843,0.548001116,1h2,-70.66855563,59.65458841,N/A,N/A,-64.19927476,52.61157586,1.453128044,1.517785581,1.525883248,1.544584059,1.536687938,1.479273526,1.442005085,1.448014578,1.450368408,1.451253703,1.445614275,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose106-freeze_dftb-TS_dftb.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75018703,149.17,0.190759,-34.547029,-34.595693,-34.2906,77.2788,265.783179,141.6987171,0.496741475,1h2,-73.36872757,-58.21475181,N/A,N/A,-67.86218037,59.33590024,1.463256199,1.518476965,1.527344691,1.532506764,1.536133761,1.478631486,1.433508905,1.446396919,1.456647118,1.45275939,1.431080369,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose107-freeze_dftb-TS_dftb.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75099135,71.8429,0.190419,-34.548293,-34.596515,-44.7423,93.1715,259.4891164,133.6502658,0.516560816,1h2,79.39575406,51.01505914,N/A,N/A,65.38950341,-56.6876756,1.465447561,1.516160466,1.524812647,1.534976226,1.542069092,1.477281845,1.435112938,1.445970409,1.457373292,1.451653344,1.431636546,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose108-freeze_dftb-TS_dftb.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75072806,149.5846,0.190392,-34.548044,-34.596256,-42.1811,98.3087,258.7270277,125.6242843,0.5426693,1h2,76.69088894,-52.8401909,N/A,N/A,-65.36944047,-54.88452544,1.463216537,1.516153195,1.525578617,1.541031956,1.536395013,1.479147909,1.434567716,1.445557579,1.458530313,1.451498441,1.433947068,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose109-freeze_dftb-TS_dftb.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75074569,204.939,0.190549,-34.547859,-34.596112,-43.6613,98.7662,263.5652758,122.2655161,0.562844438,1h2,-72.84200416,57.50262905,N/A,N/A,67.36556003,51.06568411,1.454533737,1.518575446,1.524902501,1.541779361,1.54536528,1.482633433,1.440177491,1.453163613,1.447716259,1.455931067,1.441379283,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose110-freeze_dftb-TS_dftb.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75074638,223.1901,0.190626,-34.547788,-34.596032,-44.36,98.8293,263.5649553,122.2647952,0.562848226,1h2,72.84136773,57.50322548,N/A,N/A,-67.36550763,51.06551557,1.45453448,1.518576403,1.524902299,1.541778822,1.54536529,1.482632316,1.440176888,1.453161705,1.447716982,1.455932007,1.44137897,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose111-freeze_dftb-TS_dftb.log,N/A,C6H12O6,0,1,N/A,N/A,-34.74959818,228.524,0.1905,-34.546842,-34.595046,-33.5098,89.9417,260.303339,123.3726126,0.561189659,1h2,73.50225147,-56.31340521,N/A,N/A,-66.15391091,-53.19659405,1.465242829,1.516701218,1.52755997,1.536199556,1.542043496,1.483475013,1.429646496,1.449707114,1.459068206,1.453905724,1.431963534,N/A,N/A,N/A,N/A,N/A,N/A
