File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-glucose100-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58441142,1271.0529,0.188336,-34.383054,-34.433337,-58.6609,46.0923,246.248777,127.5579311,0.474941331,1e,87.81418901,-42.14731296,N/A,N/A,65.19913089,-64.58378237,1.427902901,1.535279764,1.553089913,1.567052587,1.5757896,1.456095075,1.416750419,1.42933628,1.422583234,1.427650371,1.407266585,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose101-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58418641,1443.1816,0.188271,-34.382859,-34.433228,-55.3167,44.5476,248.6450082,122.5452309,0.494231175,1e,83.81242075,-45.97511237,N/A,N/A,-65.77521943,-63.52789201,1.425906424,1.535115223,1.553447489,1.57376868,1.564877449,1.45930102,1.417045653,1.428124423,1.422934123,1.427842534,1.4094229,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose102-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.57987667,2206.4665,0.188003,-34.378396,-34.43004,-57.7839,39.1708,250.8616264,128.8965402,0.500888977,1e,-57.21733937,-172.5912232,N/A,N/A,62.871663,-60.05029913,1.427913127,1.532822741,1.55938429,1.562258198,1.576822708,1.455562484,1.407303562,1.431440041,1.421921407,1.430455351,1.405488262,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose103-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58839796,2281.2796,0.188767,-34.386894,-34.436049,-38.6906,83.4725,265.0811901,120.6863727,0.561846102,1h2,69.39677274,59.8747288,N/A,N/A,-70.21942378,54.34682784,1.439876684,1.5375326,1.548595956,1.570253898,1.573730118,1.462305821,1.409365308,1.426935333,1.431330196,1.427024003,1.40723776,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose104-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58921927,1934.5932,0.188189,-34.388171,-34.437482,-42.8446,90.632,265.5977362,132.8969676,0.508072659,1h2,-75.25762623,56.35565079,N/A,N/A,-67.41519619,57.59522143,1.430251552,1.54123674,1.549600148,1.572369316,1.565591062,1.456873796,1.422154403,1.427282475,1.424278084,1.428306314,1.414875195,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose105-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58825579,881.2399,0.188433,-34.387059,-34.436078,-48.9063,112.5522,262.7513743,128.2449767,0.523953574,1h2,-70.047454,60.79510102,N/A,N/A,-64.97884655,55.42817214,1.427161196,1.538569278,1.55234332,1.575355595,1.565020601,1.457473836,1.421673904,1.425450669,1.425596598,1.425229507,1.416891645,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose106-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58656533,1457.6284,0.188475,-34.385192,-34.434867,-32.5276,69.142,263.4353041,137.0740362,0.507638639,1h2,-71.38241507,-59.18757621,N/A,N/A,-65.21415885,58.29904548,1.428417228,1.545939238,1.550918179,1.561197684,1.569824193,1.454562244,1.415094589,1.420054313,1.437642839,1.429127128,1.410942686,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose107-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58747005,738.5736,0.188631,-34.386039,-34.43531,-44.476,87.0422,261.5179258,128.4315793,0.526805412,1h2,72.47990223,57.15553545,N/A,N/A,65.87707163,-56.61151713,1.431975549,1.540288253,1.549806851,1.56193664,1.574420623,1.454887083,1.415277526,1.420814517,1.43592094,1.427502205,1.410249095,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose108-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58796709,1510.5653,0.188528,-34.386606,-34.43595,-33.5667,88.2012,261.3120367,118.7517781,0.5641735,1h2,70.47847699,-58.53571132,N/A,N/A,-67.91887573,-55.2980646,1.434815424,1.538583227,1.551394602,1.572975772,1.564313525,1.459597626,1.413590629,1.422597055,1.433424693,1.424045374,1.408283921,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose109-freeze_dftb3-TS_dftb3.log,N/A,C6H12O6,0,1,N/A,N/A,-34.58677964,2073.7268,0.188083,-34.385674,-34.435522,-43.6226,94.2034,270.9493049,120.7175622,0.535737351,1h2,-67.92076909,62.3059629,N/A,N/A,73.7560898,54.81170388,1.415754091,1.542291113,1.544412639,1.571422734,1.575067265,1.457508906,1.428253353,1.428415614,1.421797555,1.429436547,1.416350646,N/A,N/A,N/A,N/A,N/A,N/A
