File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-glucose254-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75660906,7.3161,0.189741,-34.553094,-34.605765,26.9672,68.6995,345.427819,87.53697611,0.770612664,o3b,60.87568032,-59.57014319,N/A,N/A,-171.1474061,-106.6198163,1.469165007,1.531496971,1.526314664,1.531158961,1.537965619,1.479323424,1.418864468,1.455679897,1.445814746,1.448339786,1.434674949,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose220-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.7569362,4.5,0.189115,-34.553938,-34.606433,53.0695,75.4377,33.11915251,8.554003957,0.564437773,4c1,-173.7229351,65.00565325,N/A,N/A,-177.4554299,176.1372157,1.463575751,1.517723584,1.523294074,1.525156107,1.534297697,1.469781488,1.42263912,1.45012187,1.443752481,1.442644813,1.436970471,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose142-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75604462,3.7109,0.189732,-34.552633,-34.604505,56.104,83.3757,331.5110924,90.5376227,0.764719758,os2,56.10715249,-63.80106816,N/A,N/A,-155.0302158,-88.73070226,1.46952547,1.533112369,1.518449028,1.531541343,1.53569527,1.468557628,1.421142081,1.454753768,1.450125442,1.448208053,1.435895709,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose106-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75057088,4.9834,0.190793,-34.546524,-34.597358,59.089,74.0397,289.6938314,156.3999014,0.47852931,1c4,-63.76155716,-68.25868675,N/A,N/A,74.19791606,-65.05602673,1.464162154,1.522372329,1.52601771,1.525708979,1.531559459,1.475245762,1.43517604,1.447274624,1.451642009,1.456917336,1.42944008,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose170-freeze_dftb-TS_dftb-ircr.log,N/A,C6H12O6,0,1,N/A,N/A,-34.74992284,6.1359,0.190986,-34.54592,-34.596617,37.7086,73.3829,118.0781373,167.2079949,0.4048343,1c4,-74.30024504,55.9784547,N/A,N/A,82.21039183,-89.3873645,1.452030899,1.523971486,1.53238275,1.525855766,1.528204885,1.476361931,1.451112478,1.448731528,1.442862954,1.446935443,1.43619184,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose234-freeze_dftb-TS_dftb-ircr.log,N/A,C6H12O6,0,1,N/A,N/A,-34.76036056,5.7026,0.189299,-34.557191,-34.609579,62.251,78.7609,28.01694243,3.172175976,0.581528842,4c1,53.4348109,-66.54301749,N/A,N/A,-179.3058901,175.7017284,1.464676047,1.520592742,1.520781551,1.523304302,1.524499692,1.475265838,1.421750545,1.448773576,1.446415737,1.445282926,1.434305656,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose114-freeze_dftb-TS_dftb-ircr.log,N/A,C6H12O6,0,1,N/A,N/A,-34.74920863,1.4469,0.189855,-34.545573,-34.597953,42.4547,69.0999,259.6153746,102.7932725,0.649784277,1s5,63.71808704,-61.98863708,N/A,N/A,68.88260035,-51.00390122,1.442008396,1.518186537,1.531025479,1.538517886,1.533150295,1.473607659,1.448477285,1.446800622,1.450118454,1.455249365,1.442727039,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose113-freeze_dftb-TS_dftb-ircr.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75780937,1.9876,0.191164,-34.554177,-34.60262,86.6503,133.8545,292.0695719,159.6614367,0.502939495,1c4,-72.51442844,58.37217962,N/A,N/A,72.96107205,-63.70676491,1.45481827,1.519948123,1.52261189,1.527038058,1.53710138,1.485237036,1.439071007,1.458581295,1.454967024,1.450645052,1.439386818,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose107-freeze_dftb-TS_dftb-ircr.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75392559,2.2069,0.189889,-34.550345,-34.602656,39.8629,75.7036,267.4457417,93.38802543,0.743811776,1s5,62.56114321,-58.55294985,N/A,N/A,84.76681014,-54.69235301,1.476338116,1.512962721,1.529846227,1.530628748,1.525284267,1.479439414,1.430349984,1.449290368,1.455867993,1.4493901,1.434232475,N/A,N/A,N/A,N/A,N/A,N/A
beta-glucose121-freeze_dftb-TS_dftb-ircf.log,N/A,C6H12O6,0,1,N/A,N/A,-34.75348598,4.5141,0.18931,-34.550248,-34.602874,48.9869,83.3187,80.70610131,86.93157671,0.715860082,5s1,-50.35184721,175.3659101,N/A,N/A,160.4455946,179.2984785,1.467134881,1.516915887,1.528407248,1.525037942,1.523427902,1.483675889,1.427508377,1.447069414,1.448106392,1.449497178,1.43403036,N/A,N/A,N/A,N/A,N/A,N/A
