"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-glucose116-TS_pm3mm-ircf-pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.422323693704","4.5276","0.194107","-0.215007","-0.266162","46.9357","65.8951","312.1424057353412","92.49460230287718","0.691750767455424","b25","-158.1242500872689","80.0114743053144","N/A","N/A","128.63360185365588","-66.17538551131078","1.4118858237244256","1.5550493064604092","1.5527827681778283","1.5631843740550886","1.5604917064951034","1.426058170994087","1.4052479837331204","1.4012655289091358","1.4064431638320831","1.4119923776642704","1.4094395002230498","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose112-TS_pm3mm-ircf-pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.426602637603","1.2748","0.19489","-0.218743","-0.269198","47.2123","83.5526","309.0595626923183","91.61802217403697","0.6957932676000909","b25","-73.67533860075118","165.14801342422072","N/A","N/A","126.4015101269943","-65.02376243189659","1.411165990181878","1.554669422707284","1.5524484667472862","1.5670485564566912","1.5534400915053017","1.427743389584417","1.4057741944007223","1.4008164961364493","1.4065333298240748","1.4136730161621534","1.3988139530763197","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose221-TS_pm3mm-ircf-pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.426463455875","3.0579","0.193567","-0.219263","-0.271767","22.5358","84.03","359.9260644963285","86.94382584052622","0.6535493426198953","o3b","64.92630317556718","-58.32670136935784","N/A","N/A","-172.64102304950663","-113.85547097658007","1.4141769199545013","1.5582517951945378","1.5574115662810522","1.5561858107610413","1.5582890094671142","1.422500565438552","1.3935718528174281","1.4150610202012495","1.403802306943182","1.4057846837666856","1.39935989902991","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose214-TS_pm3mm-ircr-pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.428212932818","1.2848","0.193947","-0.220793","-0.272742","28.9836","84.9853","345.81225899325835","87.10405170112749","0.6733707059246347","o3b","62.749539585922655","-59.50447878291572","N/A","N/A","-173.1764949713358","-105.62292652056057","1.4159746534857183","1.5645013395037413","1.5546609704456467","1.559342911734619","1.5550931147005314","1.4223948542222724","1.3850643297879706","1.4031774906967402","1.4056854902363471","1.4148260783212896","1.3998366815389574","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose143-TS_pm3mm-ircr-pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.426702409604","1.5792","0.194354","-0.21926","-0.269842","50.068","77.4546","358.00817417126535","93.4523722621153","0.7030804978063365","o3b","60.709390441573156","-63.29321834268428","N/A","N/A","-173.99006849633125","-108.99409701599872","1.4139701645300018","1.563334565157759","1.557008736164958","1.554717360424074","1.562142590893994","1.424053233362082","1.385818849393383","1.4197752153467815","1.4015963057207306","1.4073762129203407","1.4004418900029376","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose146-TS_pm3mm-ircf-pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.428984577224","2.0227","0.194012","-0.221325","-0.274082","18.2415","88.2925","347.84159313226485","86.00267328754558","0.6520624209277146","o3b","-73.18189661002133","165.73918171727448","N/A","N/A","-170.5713187715468","-105.16671489475863","1.4091439393582188","1.564112907789588","1.554130925358607","1.5591916311127378","1.5577096609285055","1.4263258176538767","1.3930646875152641","1.4126216380559942","1.405731152260986","1.4043687098059396","1.3990757482938514","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose227-TS_pm3mm-ircr-pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.428780333877","2.3322","0.193951","-0.221287","-0.273478","26.0517","89.4456","346.8248178152794","85.84294945534917","0.6708930067585896","o3b","-72.82888227298415","166.30911284547187","N/A","N/A","-174.9114460097147","-108.67041871946252","1.412272007566177","1.566485668708782","1.5547493079725103","1.5583194909318179","1.5577702202757633","1.4251070565027737","1.386162329827571","1.4117019172888445","1.4066623697980976","1.4038144440975808","1.398919083538787","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose234-TS_pm3mm-ircf-pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.42762576285","2.5205","0.193773","-0.220262","-0.27341","9.5627","82.4556","358.3798752511955","86.57684023006206","0.6527437767527077","o3b","62.700500784786826","-60.5593250662405","N/A","N/A","-179.79142322026146","-118.05093740812066","1.4111194585048425","1.5659282212850625","1.5553619203381572","1.555453931376304","1.5591646141039759","1.4236404255899733","1.3863141143132027","1.4120439816411525","1.406595686444758","1.4044455810906307","1.4001109346819631","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose254-TS_pm3mm-ircr-pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.426890354528","1.6288","0.194862","-0.218972","-0.269583","50.1148","74.0405","4.9463226308398225","94.14482129755977","0.6866005593129264","o3b","62.93510376150895","-61.42695535100329","N/A","N/A","-172.37748533859371","-111.37667679354227","1.4076863179849408","1.5668045441946485","1.5550449762476326","1.5561495863216364","1.5603907145035825","1.425620962656624","1.392302427980717","1.4177714901954404","1.4004875881381456","1.4077149314179345","1.3986312669967733","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-glucose140-TS_pm3mm-ircr-pm3mm.log","N/A","C6H12O6","0","1","N/A","N/A","-0.426918546686","1.4218","0.194801","-0.219082","-0.269643","53.7957","70.5332","3.8147329202382747","94.57197352053518","0.6887536477388005","o3b","62.99043167574979","-61.27768005301549","N/A","N/A","-171.02958858485349","-109.1311167026278","1.409933250220733","1.563146705081132","1.5564292979027348","1.5564018786351423","1.5603617721816951","1.424571947017419","1.3930782557692158","1.4201558284843252","1.4001348403300304","1.40755546282127","1.3987569123296584","N/A","N/A","N/A","N/A","N/A","N/A"
