"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-xylose12-freeze_dftb-TS_dftb-ircf-dftb.log","N/A","C5H10O5","0","1","N/A","N/A","-28.9612179197","4.2724","0.157836","-28.792001","-28.839298","31.1475","87.35","167.8915535800849","89.44334337073342","0.7652693941957469","bo3","N/A","N/A","N/A","N/A","70.9042242077041","-132.22978972864456","1.4601843584811476","1.5296660826209751","1.5213707612718868","1.5222415040081516","1.524589825656724","1.4637895194419177","1.4355283656330164","1.4521823034932633","1.4453631869322676","1.445592854738844","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose12-freeze_dftb-TS_dftb-ircr-dftb.log","N/A","C5H10O5","0","1","N/A","N/A","-28.9588058128","2.9541","0.157726","-28.789598","-28.83684","43.5597","102.2719","89.33753571062398","87.75624538869022","0.7343411183497606","5s1","N/A","N/A","N/A","N/A","152.44083969029725","177.24784719300195","1.4593858701488103","1.5173288202182809","1.525757777701297","1.531470133692786","1.5149376668777499","1.4622881464509656","1.430826720403977","1.4474191302048622","1.4468550398104847","1.4481349345616934","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose27-freeze_dftb-TS_dftb-ircf-dftb.log","N/A","C5H10O5","0","1","N/A","N/A","-28.9610345205","2.6168","0.158191","-28.791631","-28.838138","36.4923","131.6357","281.68639721991894","88.12725826204779","0.729423490472291","1s5","N/A","N/A","N/A","N/A","102.53023238283403","-60.88008526009609","1.4564225531517287","1.5152378673894735","1.5324499175261814","1.5378958572949601","1.512414706666462","1.4612942743862374","1.4477113909681725","1.44529785249581","1.449842451143227","1.446636861120648","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose46-freeze_dftb-TS_dftb-ircf-dftb.log","N/A","C5H10O5","0","1","N/A","N/A","-28.9614102167","3.5958","0.157779","-28.792339","-28.838699","53.0731","138.8018","332.59582841487133","90.31975524842183","0.7618064455530935","os2","N/A","N/A","N/A","N/A","-154.2031314013299","-88.1511802395422","1.4715367653028584","1.5263340077132528","1.520124758115596","1.5331630880936964","1.5279887776619958","1.4558861261918805","1.4289759460274338","1.4517365698459208","1.444463481639117","1.4561470904651082","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose28-freeze_dftb-TS_dftb-ircf-dftb.log","N/A","C5H10O5","0","1","N/A","N/A","-28.9571982699","4.5644","0.157839","-28.787818","-28.835245","39.9245","99.2436","205.77792158719393","88.63287133633354","0.7480901073787527","1s3","N/A","N/A","N/A","N/A","55.343246850171376","-94.75563815653133","1.4576524019456767","1.5315674869032052","1.5251697690162234","1.5254503603755845","1.517984732448255","1.4647783214432142","1.4346508651027257","1.445690263040462","1.4527351412277463","1.444717085911979","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose27-freeze_dftb-TS_dftb-ircr-dftb.log","N/A","C5H10O5","0","1","N/A","N/A","-28.9605913183","3.4989","0.15816","-28.791064","-28.838074","39.262","95.7992","199.09608280644972","88.8399694698275","0.7600348024487873","1s3","N/A","N/A","N/A","N/A","54.64984064245432","-100.19113064812517","1.4635453857376615","1.5258450743080045","1.5259124892355393","1.5235431797018422","1.52140337607388","1.4631886666024994","1.4331020045359648","1.4452343738058542","1.4551689390699625","1.4447892162087173","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose28-freeze_dftb-TS_dftb-ircr-dftb.log","N/A","C5H10O5","0","1","N/A","N/A","-28.9603757477","3.877","0.157947","-28.791107","-28.837595","56.1941","123.7445","277.30766698714024","88.83935317129989","0.7378583670063473","1s5","N/A","N/A","N/A","N/A","97.61548933162788","-58.98194353521595","1.4554897028402503","1.5177335203661413","1.5285607313404332","1.5365459616093493","1.5119145029772683","1.4656126550176891","1.445299966275513","1.4464284170791168","1.4496358426404887","1.4461588352335297","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose32-freeze_dftb-TS_dftb-ircf-dftb.log","N/A","C5H10O5","0","1","N/A","N/A","-28.9605071481","3.7185","0.158311","-28.790876","-28.837253","69.0603","126.2682","267.5614311949778","91.8649664008498","0.7299787543929254","1s5","N/A","N/A","N/A","N/A","84.78315247530867","-55.84627328757311","1.462782784538429","1.5131101862352918","1.535872105768576","1.5349985662120336","1.5114394505176185","1.4676106628384111","1.4407115693278096","1.4492290522681361","1.4510328016778258","1.4470057879555978","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose33-freeze_dftb-TS_dftb-ircf-dftb.log","N/A","C5H10O5","0","1","N/A","N/A","-28.9552802682","2.3143","0.157162","-28.786323","-28.834031","56.68","114.3376","258.94889580280733","90.14008310073517","0.7188991304032635","1s5","N/A","N/A","N/A","N/A","82.1983805125718","-60.82219105997258","1.4675128886527709","1.5153150153407047","1.540446270306433","1.5226003092115146","1.5181717351782043","1.465261860174829","1.4290930911945519","1.4524779025716708","1.4447727024307317","1.450490450820687","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose32-freeze_dftb-TS_dftb-ircr-dftb.log","N/A","C5H10O5","0","1","N/A","N/A","-28.9666271148","1.773","0.158749","-28.79712","-28.84182","111.3118","158.6165","178.72417184975725","177.6300531764759","0.5459670575669976","1c4","N/A","N/A","N/A","N/A","63.26375130320679","-66.13380454934973","1.4576254117773193","1.5220626237369472","1.5270359042258959","1.5319863094799508","1.5153382475252841","1.4606772686373948","1.4437425103559847","1.4482942579251636","1.4474500284793945","1.45317333851437","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
