File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-xylose29-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.364755118,2.6246,0.149292,-0.204162,-0.250835,54.4861,102.8484,261.9100052,90.25724668,0.689257796,1s5,N/A,N/A,N/A,N/A,87.31423117,-67.0552409,1.399513799,1.543046715,1.544771654,1.543955802,1.532667833,1.412402272,1.391705293,1.40244738,1.416319798,1.411901598,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose29-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.364755118,2.6246,0.149292,-0.204162,-0.250835,54.4861,102.8483,261.9099789,90.25728665,0.6892573,1s5,N/A,N/A,N/A,N/A,87.31414205,-67.05520508,1.399513738,1.543047432,1.544770362,1.543955599,1.53266729,1.412402534,1.39170516,1.402447528,1.416319827,1.411901758,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose35-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.374615665,3.3465,0.148387,-0.215394,-0.260477,104.3531,119.2595,99.73667929,167.9493994,0.526448236,1c4,N/A,N/A,N/A,N/A,63.9699268,-77.10271354,1.401154873,1.547526182,1.538110066,1.548180284,1.528162891,1.417096206,1.408536184,1.402944959,1.405126652,1.413970345,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose35-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.374615665,3.3465,0.148387,-0.215394,-0.260477,104.3532,119.2596,99.73663427,167.9495164,0.526448457,1c4,N/A,N/A,N/A,N/A,63.96994349,-77.10267119,1.401155124,1.547526388,1.538109997,1.548180524,1.528163073,1.417095385,1.408535764,1.402944331,1.405126726,1.41397027,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose36-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.374615665,3.3465,0.148387,-0.215394,-0.260477,104.3614,119.2547,99.73685351,167.949482,0.526448137,1c4,N/A,N/A,N/A,N/A,63.96992323,-77.10269278,1.401155106,1.54752665,1.538110179,1.548180391,1.52816335,1.417096153,1.408535764,1.402945197,1.405126813,1.413970984,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose36-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.374615665,3.3465,0.148387,-0.215394,-0.260477,104.3614,119.2546,99.73664271,167.9493996,0.526448406,1c4,N/A,N/A,N/A,N/A,63.96991174,-77.10267287,1.401155217,1.547526503,1.538109679,1.548180363,1.528163263,1.417095991,1.408536181,1.402944809,1.405126869,1.413970911,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose39-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.367495685,2.6011,0.1476,-0.208523,-0.255138,60.7921,125.4262,266.1936241,92.37613341,0.686690044,1s5,N/A,N/A,N/A,N/A,80.74092807,-58.52003972,1.396905634,1.539439741,1.54566775,1.542719073,1.53648774,1.417344212,1.407985087,1.402200918,1.40468047,1.405429551,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose39-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.374615665,3.3465,0.148387,-0.215394,-0.260477,104.3598,119.2517,99.73671529,167.9495223,0.526448293,1c4,N/A,N/A,N/A,N/A,63.96991241,-77.10265697,1.401155932,1.547526529,1.538109669,1.548181194,1.528163367,1.417094843,1.40853537,1.402944365,1.405126201,1.41397081,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose40-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.373184803,2.1498,0.148486,-0.213887,-0.258919,95.4825,132.0666,266.1948189,179.1724315,0.492287144,1c4,N/A,N/A,N/A,N/A,63.88398528,-70.79610317,1.393992325,1.544355479,1.539215227,1.545601564,1.530710878,1.414007924,1.410729402,1.401907135,1.403957548,1.417089122,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose40-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.369737993,2.1229,0.147928,-0.21064,-0.256633,73.184,129.6673,264.6571273,90.43599973,0.68722869,1s5,N/A,N/A,N/A,N/A,81.54557885,-60.90298118,1.396148935,1.540852358,1.54224101,1.543992208,1.533039637,1.417664963,1.409147437,1.401469785,1.406342646,1.413137255,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose45-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.371732598,3.6408,0.148145,-0.212546,-0.258173,94.2154,118.5436,111.9687722,173.7157046,0.489190583,1c4,N/A,N/A,N/A,N/A,64.55404525,-75.78803228,1.390618166,1.545351649,1.542244892,1.544145673,1.531480251,1.417554508,1.412208617,1.41160665,1.405445987,1.402178916,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose45-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.36585093,3.2884,0.147687,-0.206802,-0.253681,40.1292,111.6051,278.7343352,89.71900351,0.685913594,1s5,N/A,N/A,N/A,N/A,96.39133752,-62.0779017,1.393547699,1.542375383,1.546404068,1.544560743,1.53571659,1.416977708,1.415303845,1.409626266,1.404268782,1.405717629,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose47-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.366229903,0.6663,0.149275,-0.205767,-0.25238,39.2973,117.8924,4.994347237,87.70768105,0.715114755,o3b,N/A,N/A,N/A,N/A,-176.7463708,-125.1822597,1.420889082,1.552099474,1.545214029,1.543766045,1.53946637,1.414497499,1.394413718,1.416486365,1.403415156,1.40479395,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose47-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.372840506,1.8036,0.148258,-0.213616,-0.259024,106.2491,110.9607,94.37921599,171.7063146,0.502211735,1c4,N/A,N/A,N/A,N/A,64.87038727,-75.95497562,1.391722571,1.545784567,1.539853259,1.545103265,1.530996415,1.417075185,1.413094585,1.41395002,1.405178554,1.402673946,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose48-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.364941782,2.9289,0.147845,-0.205853,-0.252266,65.8174,99.056,262.8158783,93.88492277,0.683755186,1s5,N/A,N/A,N/A,N/A,84.03002584,-63.02880629,1.40349266,1.541748508,1.545976203,1.543347603,1.530496219,1.412031221,1.38978042,1.402943704,1.416840287,1.405421761,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose48-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.371306191,2.5331,0.148076,-0.212231,-0.257729,94.4977,115.5329,124.486704,169.2749454,0.535165615,1c4,N/A,N/A,N/A,N/A,64.61348131,-78.52490105,1.406286557,1.550149175,1.540986167,1.547742878,1.529523971,1.412553992,1.39272239,1.402622356,1.417548137,1.41275019,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose49-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.362810601,2.8146,0.147253,-0.204018,-0.25138,51.6952,76.861,266.6123102,95.73324293,0.656646109,1s5,N/A,N/A,N/A,N/A,86.99026559,-63.52774164,1.400787184,1.541897103,1.545779057,1.542028963,1.532738773,1.410861647,1.388313862,1.403375131,1.417461419,1.405247123,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose49-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.371306191,2.5331,0.148076,-0.212231,-0.257729,94.5046,115.5303,124.4869806,169.274877,0.535165806,1c4,N/A,N/A,N/A,N/A,64.61339631,-78.52492914,1.406286693,1.550149192,1.540986105,1.547742936,1.529524386,1.412554314,1.39272215,1.402622777,1.417548922,1.412750264,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose50-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.368526392,3.8816,0.147939,-0.209458,-0.255261,99.2584,108.8476,127.5621683,171.8133427,0.515790889,1c4,N/A,N/A,N/A,N/A,66.13713082,-78.30304071,1.398253337,1.551973375,1.542538826,1.545114036,1.532842611,1.41094138,1.393207605,1.41160006,1.416514561,1.402337955,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose50-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.363032969,2.7384,0.147605,-0.203986,-0.251083,44.5843,89.8504,278.6252968,87.50603473,0.686976725,1s5,N/A,N/A,N/A,N/A,106.2695289,-69.50185052,1.403115906,1.544930993,1.544113412,1.543217511,1.531242309,1.410653598,1.394643344,1.412395859,1.417347049,1.405214337,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose52-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.360440593,2.0408,0.149177,-0.199822,-0.246922,49.0966,91.143,30.66977983,86.3709963,0.698178445,3s1,N/A,N/A,N/A,N/A,-173.0817577,-150.838494,1.409644821,1.551855615,1.544026412,1.542069788,1.53472047,1.415668983,1.398083134,1.416716382,1.410516946,1.409597497,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose52-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.368597363,2.7944,0.150645,-0.206867,-0.253435,38.8022,80.3616,142.7835541,94.92018302,0.709187937,2so,N/A,N/A,N/A,N/A,82.32928075,-145.4641333,1.400277469,1.542612856,1.544233567,1.547120331,1.536046057,1.416916982,1.40700879,1.413381428,1.412878878,1.406600826,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose53-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.360440593,2.0408,0.149177,-0.199822,-0.246922,49.0896,91.1381,30.66980764,86.37107322,0.698178953,3s1,N/A,N/A,N/A,N/A,-173.0817989,-150.838449,1.409645101,1.551855703,1.544026945,1.54207058,1.534719881,1.415669244,1.398082468,1.416715789,1.410516858,1.409597016,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose53-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.368597363,2.7944,0.150645,-0.206867,-0.253435,38.806,80.3612,142.7835874,94.92026061,0.709187808,2so,N/A,N/A,N/A,N/A,82.32918629,-145.4640701,1.400277679,1.542612922,1.544233823,1.547120751,1.536046475,1.416916735,1.407008485,1.413380375,1.412877537,1.406601349,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose55-TS_pm7-ircf-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.368916675,1.3618,0.148532,-0.209125,-0.255955,36.8657,89.9644,202.8563085,87.74039997,0.711714435,1s3,N/A,N/A,N/A,N/A,52.70208131,-98.4473139,1.399967355,1.545739151,1.536811803,1.54076625,1.537872529,1.417257602,1.402001049,1.405043834,1.413527805,1.411128304,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose55-TS_pm7-ircr-pm7.log,N/A,C5H10O5,0,1,N/A,N/A,-0.36566279,0.9411,0.147396,-0.206859,-0.253514,73.174,84.3374,347.4772065,3.891920823,0.566126814,4c1,N/A,N/A,N/A,N/A,-179.6790049,170.2435116,1.417618663,1.548034881,1.536368807,1.54192041,1.539207067,1.411341049,1.39635747,1.411619589,1.412586024,1.410438609,N/A,N/A,N/A,N/A,N/A,N/A,N/A
