"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-xylose27-TS_APFD-ircr_APFD.log","N/A","C5H10O5","0","1","APFD","6-31+G(d,p)","-572.244264309","1.9285","0.165083","-572.068227","-572.114997","18.351","109.998","192.9781954404821","86.43620261992524","0.7283158650512743","bo3","N/A","N/A","N/A","N/A","59.45774455194216","-112.02485575742234","1.406380862999067","1.5438844371237765","1.5238546531733268","1.5243926333884588","1.5408754067535766","1.4285697582456376","1.406549860709175","1.4131796389596052","1.4262083830163108","1.414235966399879","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose41-TS_APFD-ircr_APFD.log","N/A","C5H10O5","0","1","APFD","6-31+G(d,p)","-572.241462063","1.7677","0.164568","-572.065908","-572.111934","47.0552","114.5964","96.09779006562395","87.4945872243643","0.7318565882324033","5s1","N/A","N/A","N/A","N/A","148.50110810122496","174.3924832055891","1.4094339518356296","1.532915722893467","1.5227950854487944","1.5457176866999354","1.5202152532631683","1.427618700943988","1.4043177420089088","1.409591219767632","1.417160945419397","1.4173174886298412","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose14-optall_APFD.log","N/A","C5H10O5","0","1","APFD","6-31+G(d,p)","-572.24442701","5.3189","0.165674","-572.068217","-572.112799","72.5039","169.6131","17.964738685182574","91.41836145804157","0.7790692235583502","3s1","N/A","N/A","N/A","N/A","-172.57601746037727","-138.04553727033215","1.4323612542043993","1.5454312475791343","1.5464173934617393","1.535539412444044","1.5439673950116306","1.421746099203722","1.3827318619551656","1.4090481883945631","1.4132980409163525","1.4295040780861732","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose90-TS_APFD-ircf_APFD.log","N/A","C5H10O5","0","1","APFD","6-31+G(d,p)","-572.245177718","2.7736","0.165694","-572.068959","-572.113963","37.8657","165.8166","345.19599278964193","91.18510254306258","0.7699600596698607","o3b","N/A","N/A","N/A","N/A","-168.37489172432686","-103.57457246603862","1.4310361472370292","1.5520272323815714","1.5379275153520726","1.5456926194382892","1.5406539268064066","1.418631538860602","1.3888025855714698","1.4130577419475823","1.4092847259720087","1.4312941925998302","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose62-TS_APFD-ircf_APFD.log","N/A","C5H10O5","0","1","APFD","6-31+G(d,p)","-572.239367335","0.4854","0.165077","-572.063448","-572.108605","86.3212","150.157","29.280973557517566","90.73122706973436","0.7550131910876353","3s1","N/A","N/A","N/A","N/A","-173.05671537308058","-151.61923880315504","1.4047480478224557","1.538570189508753","1.533607447597005","1.5341587565154395","1.5416644235718098","1.425668462091029","1.3919082740701703","1.4254794637924462","1.4135951790385395","1.4213393247782178","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose12-optall_APFD.log","N/A","C5H10O5","0","1","APFD","6-31+G(d,p)","-572.248635881","2.4272","0.165338","-572.07241","-572.118057","68.3076","103.8158","155.42871741237195","86.84594807710745","0.7615092836821188","2so","N/A","N/A","N/A","N/A","82.9408418189917","-150.83242951394413","1.404935599128302","1.5365275345847207","1.519548970740002","1.5261972669396313","1.5363697747489045","1.4255848908633957","1.4079414698392119","1.4161033710121589","1.412294738870396","1.416548704610611","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose8-optall_APFD.log","N/A","C5H10O5","0","1","APFD","6-31+G(d,p)","-572.243977106","2.9787","0.165107","-572.067952","-572.113263","83.2103","152.6208","272.87873508947854","90.35877178481492","0.7272949776864674","1s5","N/A","N/A","N/A","N/A","89.41165265313198","-60.53000209574428","1.397769259415874","1.529443833666016","1.5415306602727694","1.541464276467995","1.5212333332194639","1.4347661189214778","1.418592759411241","1.414885484338927","1.415898783306561","1.413437380137868","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose2-optall_APFD.log","N/A","C5H10O5","0","1","APFD","6-31+G(d,p)","-572.257168788","1.9648","0.16657","-572.080476","-572.12383","138.6043","176.4959","333.70271357171816","177.27357433370835","0.5492109924194445","1c4","N/A","N/A","N/A","N/A","62.90289698434851","-67.6156557222077","1.4038315423689554","1.5376159226168933","1.5424868114483183","1.545094244190949","1.5184784630840176","1.4276464681681527","1.4184821035554167","1.4084578568082895","1.4120907536521865","1.4288074274138558","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose13-optall_APFD.log","N/A","C5H10O5","0","1","APFD","6-31+G(d,p)","-572.245787847","2.8619","0.165733","-572.069564","-572.114092","68.8237","162.4458","20.369464126836164","90.73451706232609","0.7902955464176593","3s1","N/A","N/A","N/A","N/A","-170.4534929847456","-143.32469910277933","1.4176194460235088","1.5416993174409852","1.541021507945298","1.5383402459641367","1.5475122063938622","1.4355955372914058","1.3878813706026896","1.4250897677483336","1.4116635665873085","1.418952152789163","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose27-TS_APFD-ircf_APFD.log","N/A","C5H10O5","0","1","APFD","6-31+G(d,p)","-572.244345707","1.3708","0.16528","-572.068251","-572.113339","80.1577","158.6277","274.7594912698844","90.22857583921429","0.7247133221741502","1s5","N/A","N/A","N/A","N/A","90.86059158167181","-60.27997595249022","1.398599719914887","1.5228666579963595","1.5493818150372103","1.542107501721913","1.5217492239225887","1.4309378170762699","1.4218081746149864","1.4138781790140196","1.4160872588329436","1.4143361478149385","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
