"File Name","Solvent type","Stoichiometry","Charge","Mult","Functional","Basis Set","Energy (A.U.)","dipole","ZPE (kcal/mol)","H298 (Hartrees)","G298 (Hartrees)","Freq 1","Freq 2","phi","theta","Q","Pucker","HM1 (deg)","HM2 (deg)","AC1 (deg)","AC2 (deg)","Ano1 (deg)","Ano2 (deg)","R1 (A)","R2 (A)","R3 (A)","R4 (A)","R5 (A)","R6 (A)","O1 (A)","O2 (A)","O3 (A)","O4 (A)","O6 (A)","Ion1 (A)","Ion2 (A)","Ion3 (A)","Ion4 (A)","Ion5 (A)","Ion6 (A)"
"beta-xylose23-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.354640229046","1.7021","0.161455","-0.18234","-0.227777","52.0507","165.9031","4.329334080441679","94.13131720067786","0.6955278377833076","o3b","N/A","N/A","N/A","N/A","-168.57068176594086","-110.55437927062202","1.4161119247347649","1.5618233161702382","1.558142838497806","1.5555902195983362","1.5501453846004252","1.4112667315837215","1.3941469436702145","1.4209264524851382","1.3996402301698818","1.4082352658011372","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose89-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.355986929176","1.8355","0.161012","-0.183747","-0.230915","19.9291","109.4977","357.4055955674395","87.83880453984915","0.6505770632459975","o3b","N/A","N/A","N/A","N/A","170.01515713297886","-111.0577245538396","1.416876553399766","1.5593285263054728","1.5575471143692574","1.556727692609404","1.5496321732927458","1.408145966128867","1.3942172234587409","1.4147047800555423","1.4042753780516124","1.4057890992360844","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose25-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.357068893799","1.3664","0.161293","-0.184629","-0.231744","16.4762","112.0789","354.92674169167867","86.86192518035516","0.6481636826874965","o3b","N/A","N/A","N/A","N/A","-177.08708037172144","-114.97344425389959","1.4137387312092007","1.5674686099316313","1.555324800021526","1.5566040216525845","1.5502747702401016","1.4094521293218862","1.3865902315381426","1.4119966883381845","1.406488158574753","1.4043896966479779","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose79-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.355880308955","1.3113","0.161819","-0.183284","-0.228628","45.1044","168.6033","2.924817823041854","93.85229499929733","0.6950887853678027","o3b","N/A","N/A","N/A","N/A","-175.62384956199827","-114.29750850525808","1.413054515952233","1.5695856131925399","1.556746582417317","1.5544476231603956","1.5516016639746817","1.412389164556993","1.3862133807271526","1.416847694546594","1.401597955635995","1.4071084711329116","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose53-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.352400608172","1.8447","0.161864","-0.179681","-0.225345","42.6734","158.6157","1.939411973912065","96.10144215704571","0.659524470946424","o3b","N/A","N/A","N/A","N/A","166.29461635403177","-106.67006641726775","1.4072424806457486","1.5659364984589892","1.5561472121598907","1.5528149352430893","1.549740388387681","1.411411407934979","1.392455983379726","1.418342631136426","1.4087224826962907","1.4090720983948977","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose81-TS_pm3-ircr-pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.357785531618","0.2285","0.161578","-0.185053","-0.231949","23.16","109.8329","358.3549763618692","88.68029127871297","0.6374165438364428","o3b","N/A","N/A","N/A","N/A","-172.24480029254315","-110.74559957607642","1.4129861232375922","1.5611643508221675","1.5575042520346454","1.556720521989095","1.5498188680603937","1.409695243992119","1.393630777703334","1.413699670080247","1.4049156025715568","1.4052545508273582","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose22-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.35620111178","1.8167","0.161081","-0.183986","-0.230279","45.6559","107.7762","338.4390426295246","87.86071720561193","0.6605603228144357","os2","N/A","N/A","N/A","N/A","-158.24415807843098","-94.87341244348738","1.4184312666653962","1.5623829142383756","1.5535941288142152","1.5616241376342774","1.5468442823587643","1.4073405310094638","1.3938728637788311","1.404239921030947","1.4039874492651279","1.4145826064875109","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose86-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.353606684775","0.957","0.159862","-0.18198","-0.230677","25.7214","64.6884","24.453627054474648","86.93011902915738","0.6376926551673435","3s1","N/A","N/A","N/A","N/A","-175.55897667918615","-139.6112329231275","1.4086552498769875","1.567975966738649","1.5526830332698303","1.5558234080007285","1.5461329737913876","1.4096172428648848","1.3876433489106639","1.414414806907083","1.4137735627299024","1.4071586277502617","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose44-TS_pm3-ircf-pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.351663499464","1.4257","0.161878","-0.179246","-0.223722","98.5662","127.4557","335.2688043715252","101.34337235613538","0.6748801833104028","os2","N/A","N/A","N/A","N/A","136.14413671388039","-75.53191903068692","1.4162795236696744","1.5606597218362497","1.5519423882960348","1.5601331801000196","1.5486878562089264","1.4068491494051518","1.4045051573379856","1.40288979620817","1.4021033923562842","1.423198581649448","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose26-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.353993043423","2.0249","0.161111","-0.181643","-0.228626","30.5394","87.8913","339.93811288969954","87.70284702997122","0.6228738212796375","os2","N/A","N/A","N/A","N/A","161.19438380416415","97.53575433316664","1.409221545502694","1.5627972417178748","1.5542965047959807","1.5566132156348278","1.549192974619044","1.4082508522315897","1.3920534119846122","1.4137616300568507","1.413116884686826","1.406253484857548","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose80-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.354825966094","1.7635","0.160842","-0.182704","-0.229882","25.1837","91.1694","325.46966160331567","85.65474114140602","0.6398640761090374","os2","N/A","N/A","N/A","N/A","-156.04891738538672","92.64022975751809","1.4139414278013782","1.564022418940981","1.5500690018518528","1.561750403959287","1.546171165626238","1.4063504108734777","1.386328034498329","1.4147256395393422","1.4151701654140405","1.405982966722926","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose84-TS_pm3-ircr-pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.354138784383","0.9261","0.160757","-0.182041","-0.229361","26.2996","85.9827","344.28479898128177","86.43369904145045","0.6201405950908698","os2","N/A","N/A","N/A","N/A","-166.16776564480244","-102.6454002565161","1.4102207562172668","1.5645928368610793","1.5506361203689922","1.5601420510277262","1.548273724873286","1.407515373541618","1.3901708595410136","1.4155845974730723","1.4141097435948882","1.406369149113774","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose46-TS_pm3-ircf-pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.350888236447","3.3311","0.162213","-0.178197","-0.22266","80.4055","127.0522","335.4446224803881","101.6231333083259","0.6605112881957842","os2","N/A","N/A","N/A","N/A","136.96078127138563","-74.54119695381966","1.4163404499388557","1.5570804254122523","1.5510952663843702","1.5596345211622495","1.553117290255955","1.4064476474081784","1.4058856320643582","1.4038235444335587","1.40323557470191","1.4214454490820252","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose48-TS_pm3-ircr-pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.349159802384","1.2551","0.161788","-0.176655","-0.221596","92.5956","143.3464","334.8753573629443","100.01465067447269","0.6961917869693125","os2","N/A","N/A","N/A","N/A","144.8535059514552","-79.35763896415592","1.4171646955647037","1.5628645530131524","1.55022649394532","1.5576963522856435","1.5543292073782182","1.4065118024236414","1.388505932293413","1.4157058192622505","1.4176505941204274","1.4074686635772746","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose30-TS_pm3-ircr-pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.353664770379","2.7623","0.160482","-0.181815","-0.229043","30.1094","88.0062","322.77596708193573","86.61308483224677","0.6387088234887885","os2","N/A","N/A","N/A","N/A","-152.00681656270524","-89.77478647255616","1.412152837621339","1.563266057161736","1.5534584619441874","1.5579565381017533","1.5470179461770959","1.4068315392050321","1.387798694020498","1.413067203909991","1.4144270230368903","1.4059263116426124","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose14-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.354968116283","3.5152","0.160854","-0.182878","-0.229384","46.1971","109.6009","337.1348417956391","87.42830589335871","0.6541293485690197","os2","N/A","N/A","N/A","N/A","-157.27259670315803","-94.29095800440201","1.4193389241143215","1.5625426781678637","1.5541627790807502","1.5585510720300442","1.5497054928892133","1.4055434981931365","1.3936862867779822","1.404229640893184","1.404351642081142","1.4147715948806012","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose66-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.352075454163","2.3844","0.160593","-0.180186","-0.226485","86.0012","102.3559","105.1969333390302","168.94043703832318","0.4623717377880749","1c4","N/A","N/A","N/A","N/A","73.35848232532607","-81.43923980069171","1.4104112222614367","1.5589214088032146","1.5548292484861481","1.5574588730200871","1.5374604742145406","1.411591950779332","1.3991189882011466","1.4071266073800894","1.4108490742248088","1.4129541367694847","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose87-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.350794179602","2.2496","0.160316","-0.178915","-0.226544","39.818","81.5188","28.878436157964046","85.03473822284562","0.6818301165363314","3s1","N/A","N/A","N/A","N/A","-173.121087270172","-139.96983273873107","1.4111776931839588","1.5651209653752007","1.5601387045275816","1.557098885236901","1.544942862758685","1.4131070106785968","1.3947611644224247","1.4112318173631146","1.406403309234588","1.4131186882052758","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose82-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.357948429661","1.589","0.161464","-0.18535","-0.231765","38.4985","114.8102","22.43656278747145","88.45747946986829","0.6529081470081998","3s1","N/A","N/A","N/A","N/A","178.6212039131901","-132.53639697509078","1.4094315217941593","1.5654170407172652","1.5577463129794273","1.5554318706700072","1.5479252980021356","1.4131778579800207","1.3923871492587827","1.412297522145741","1.4052871274216527","1.4050543415209962","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose85-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.357135382822","1.3485","0.160978","-0.184924","-0.231686","31.7243","114.2784","19.695983396753462","87.23835013293875","0.6666729024225656","3s1","N/A","N/A","N/A","N/A","-172.9950472746433","-136.67651756787367","1.4123724713113037","1.568114497644225","1.557633304223109","1.5550564746201343","1.5489162646356969","1.4118638794012686","1.3862458958143031","1.4117846223942945","1.4055400569265182","1.4048910197157642","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose31-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.354156989422","2.1911","0.161339","-0.181747","-0.227952","43.6134","118.6425","218.14523297140104","84.05225437777074","0.7020325734780795","1s3","N/A","N/A","N/A","N/A","71.12040812915085","-94.08491211916493","1.407516948732057","1.5638765195324722","1.559625504922896","1.550051468150977","1.5467583217691114","1.4181589115293118","1.3929268458113644","1.4042534639138344","1.4098049933104235","1.4014660844394349","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"beta-xylose29-optall_pm3.log","N/A","C5H10O5","0","1","N/A","N/A","-0.354891844377","1.7942","0.161258","-0.182599","-0.228724","43.0435","118.9646","219.36407954719365","85.00248510534998","0.6866808583321901","1s3","N/A","N/A","N/A","N/A","71.14892235299718","-92.76696493433273","1.4065177453377542","1.5634529548560137","1.5585920150408188","1.550483191680258","1.5432850822770885","1.4188721526152384","1.3934544549984402","1.4044957433762482","1.4134196412304452","1.4093148466943077","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
