File Name,Solvent type,Stoichiometry,Charge,Mult,Functional,Basis Set,Energy (A.U.),dipole,ZPE (kcal/mol),H298 (Hartrees),G298 (Hartrees),Freq 1,Freq 2,phi,theta,Q,Pucker,HM1 (deg),HM2 (deg),AC1 (deg),AC2 (deg),Ano1 (deg),Ano2 (deg),R1 (A),R2 (A),R3 (A),R4 (A),R5 (A),R6 (A),O1 (A),O2 (A),O3 (A),O4 (A),O6 (A),Ion1 (A),Ion2 (A),Ion3 (A),Ion4 (A),Ion5 (A),Ion6 (A)
beta-xylose82-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.398156446,1.799,0.166463,-0.220662,-0.266852,71.3254,84.4621,157.2156672,1.17837048,0.571479837,4c1,N/A,N/A,N/A,N/A,-179.0044932,171.1927572,1.419297187,1.545764883,1.532515184,1.541454557,1.53124569,1.421904656,1.401532053,1.413855299,1.413209171,1.41588869,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose30-freeze_am1-TS_am1-ircf-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.399463351,1.7231,0.166805,-0.221836,-0.267889,44.7065,85.1273,159.4941046,85.75754156,0.713380926,2so,N/A,N/A,N/A,N/A,80.18117956,-139.5853178,1.412836242,1.540523098,1.535000542,1.537843785,1.532846806,1.422165676,1.40970681,1.416799012,1.416377949,1.417425147,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose30-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.400867154,0.8563,0.166796,-0.223303,-0.268754,81.5218,88.4524,191.099757,0.801574438,0.568183437,4c1,N/A,N/A,N/A,N/A,-178.7884091,170.2452796,1.420179027,1.543222995,1.534047444,1.538869242,1.532440469,1.421391402,1.401559689,1.416577483,1.416735779,1.41570817,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose82-freeze_am1-TS_am1-ircf-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.398661853,1.1341,0.167327,-0.220723,-0.266631,21.7286,131.2637,0.718363413,87.92672292,0.696106059,o3b,N/A,N/A,N/A,N/A,-179.4782569,-119.9874787,1.421921675,1.547511124,1.540409494,1.53777672,1.535591455,1.422938763,1.400283586,1.417765223,1.412254797,1.412174792,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose39-freeze_am1-TS_am1-ircf-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.397869324,2.265,0.167148,-0.220025,-0.265544,49.6551,115.2573,268.8003588,88.55078991,0.683929212,1s5,N/A,N/A,N/A,N/A,89.79730357,-60.28361,1.414849396,1.537058337,1.541320689,1.540412083,1.527955585,1.422178417,1.409884141,1.410874789,1.412730723,1.412166401,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose89-freeze_am1-TS_am1-ircf-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.399252295,1.1648,0.166913,-0.221453,-0.268075,28.1007,74.759,162.8359012,88.81295796,0.713325675,2so,N/A,N/A,N/A,N/A,72.38585454,-131.5280643,1.417591829,1.540575541,1.538218184,1.535138453,1.534601785,1.421736722,1.407582748,1.416853713,1.414117358,1.413815952,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose74-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.394968385,2.7596,0.16639,-0.217584,-0.263714,65.2969,78.9606,313.3605718,4.551301881,0.545372582,4c1,N/A,N/A,N/A,N/A,-178.354648,166.3364356,1.421277593,1.546130009,1.534947311,1.540797048,1.528902326,1.41928237,1.401883004,1.417004305,1.416632493,1.419685099,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose74-freeze_am1-TS_am1-ircf-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.398942583,1.7302,0.166779,-0.221257,-0.267804,36.7011,72.7411,127.3897139,92.04410679,0.701462782,25b,N/A,N/A,N/A,N/A,108.4090872,-160.9629277,1.413843818,1.539807177,1.537287545,1.541714081,1.529347073,1.423807222,1.406923501,1.417162908,1.416916267,1.413680432,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose39-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.40356204,2.8028,0.167567,-0.225546,-0.270155,89.9273,110.9193,109.8629407,167.3968705,0.514246148,1c4,N/A,N/A,N/A,N/A,65.57927789,-75.31812816,1.416808316,1.543100212,1.536089823,1.541729699,1.526429898,1.424536988,1.408050931,1.410226692,1.412364849,1.417634594,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose89-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.397707117,1.4712,0.167217,-0.219782,-0.265778,27.6525,124.2986,350.219292,90.16573693,0.694001256,o3b,N/A,N/A,N/A,N/A,-165.9101985,-104.5564558,1.423768396,1.54373059,1.538049862,1.539488254,1.534381688,1.420558456,1.406439007,1.420128891,1.410698014,1.41380066,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose59-freeze_am1-TS_am1-ircf-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.397191434,1.3539,0.166477,-0.219609,-0.266949,27.6293,59.295,141.5528076,94.56465994,0.681957167,2so,N/A,N/A,N/A,N/A,86.59936267,-143.2292857,1.414259385,1.543900634,1.536040725,1.543663705,1.52776354,1.422549282,1.409905831,1.417348058,1.419949874,1.416170479,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose66-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.399562799,1.1657,0.167062,-0.221755,-0.267735,40.4632,81.187,174.4836042,87.08868431,0.692137303,bo3,N/A,N/A,N/A,N/A,68.2516558,-123.3755845,1.414287466,1.540619519,1.534637062,1.535852079,1.532840356,1.422727266,1.407494972,1.413240662,1.418000924,1.417737988,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose66-freeze_am1-TS_am1-ircf-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.403063548,1.5335,0.167822,-0.224948,-0.269083,103.2051,134.3962,61.42486561,177.9049894,0.498423859,1c4,N/A,N/A,N/A,N/A,66.90607164,-69.07724032,1.41341728,1.540745551,1.536394664,1.539861939,1.528388572,1.421182187,1.408556456,1.410600989,1.410255089,1.4202269,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose59-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.394529558,0.9048,0.166689,-0.216837,-0.263423,38.5502,84.389,111.9031787,153.0938356,0.487746076,1c4,N/A,N/A,N/A,N/A,75.14403993,-91.24361435,1.411549589,1.542117536,1.539426483,1.537400674,1.526057979,1.423028085,1.408223335,1.421729265,1.419552792,1.412857593,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose45-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.401839714,3.1712,0.167653,-0.223803,-0.268171,99.8805,129.4044,97.72630494,173.0003923,0.496841119,1c4,N/A,N/A,N/A,N/A,67.34834475,-72.99618121,1.411323947,1.541580727,1.539243692,1.538479527,1.527626858,1.424558291,1.409931051,1.416770272,1.410907257,1.411357312,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose56-freeze_am1-TS_am1-ircf-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.400575404,1.3062,0.167046,-0.222792,-0.268737,42.9498,77.9133,160.3686634,89.48089631,0.710216667,2so,N/A,N/A,N/A,N/A,73.61103697,-132.85764,1.417797294,1.541716029,1.536328392,1.537166275,1.531114964,1.42234122,1.407618488,1.416414945,1.418684757,1.416052174,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose56-freeze_am1-TS_am1-ircr-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.396163037,2.8644,0.166488,-0.218688,-0.264842,64.6336,82.8463,258.6325373,6.917350088,0.54181222,4c1,N/A,N/A,N/A,N/A,-169.4809391,-159.7902494,1.426225348,1.542393449,1.537892748,1.533950864,1.528677146,1.415311917,1.404495831,1.416163344,1.417997627,1.414032643,N/A,N/A,N/A,N/A,N/A,N/A,N/A
beta-xylose45-freeze_am1-TS_am1-ircf-AM1.log,N/A,C5H10O5,0,1,N/A,N/A,-0.39792868,2.4195,0.167101,-0.220062,-0.266591,16.6392,128.537,359.0173512,88.36280122,0.684942279,o3b,N/A,N/A,N/A,N/A,-174.2543594,-116.3135678,1.421668812,1.545236013,1.539862714,1.538037693,1.534706594,1.422562056,1.405146955,1.417462548,1.411069201,1.412908203,N/A,N/A,N/A,N/A,N/A,N/A,N/A
